Second,Count,0,1,2,3,4,5,6,7,8,9,10,11,12
19.0,5077,-172.51393,93.961945,-6.290283,18.446281,-13.953251,36.829697,-14.125764,6.7678804,-0.8241434,6.3227367,-6.3476954,-5.4204483,-8.741538
19.5,5107,-225.1504,141.01454,-16.43102,13.031629,18.016716,25.708649,3.7594926,-0.4539189,1.0275637,6.845542,1.2096442,3.1672356,-5.210829
20.0,5239,-222.18716,154.9619,-26.934616,-4.6454115,8.359029,19.250734,-1.7659309,-6.020094,-5.2289753,0.22187547,-0.9443095,-8.182374,-4.902083
20.5,5222,-198.86472,120.99865,-28.84304,7.8776517,-3.2565901,12.040036,-18.868597,3.2077487,-6.0752187,-5.5387177,-3.3602908,-8.126607,-6.6695094
21.0,5113,-140.49547,97.22203,-21.962566,19.629263,-4.3220663,22.38633,-14.138096,0.8180357,-2.668725,0.43019822,-4.562353,-7.8456917,-6.8735685
21.5,5063,-104.75828,82.74942,-31.879381,25.641426,-0.8442514,11.847835,-8.326851,1.6375946,6.7026553,-0.53865093,3.39349,-6.3028836,-3.6337688
22.0,5253,-251.1122,155.41942,-17.91559,-0.68263304,22.21731,11.992971,3.6942081,7.9948487,6.347975,7.563234,2.6669483,0.87899107,2.0457275
22.5,5198,-219.25304,129.15483,-16.891058,14.238179,12.058398,25.458782,10.755102,5.2448807,3.1547065,7.368994,8.913171,7.509862,0.2553992
23.0,4910,-175.62198,118.87772,-14.110889,24.002327,-8.853836,23.70932,-14.230143,5.9749217,-8.017682,-1.3855301,-2.1528246,-5.1158786,-9.889383
23.5,5234,-193.10585,94.5039,-11.918768,5.8553767,-12.987529,24.04322,-14.159685,6.2972255,-12.75663,-4.751721,-7.777874,-6.902751,-6.1622505
24.0,5088,-150.09727,110.6627,-5.8027186,20.840593,-6.7500973,24.830952,-2.7026877,13.76991,1.5259511,5.876106,7.071876,4.9164076,-0.61193335
24.5,5083,-109.20619,87.77783,-37.16377,21.433918,-6.6991277,6.3699503,-10.94151,8.25505,10.238986,4.974669,19.861748,-1.5716136,-1.3027009
25.0,4987,-199.83534,132.07658,-33.45796,12.84067,8.280089,11.392861,-14.990873,15.324295,0.26122662,4.3137684,11.842882,-6.638771,1.3085483
25.5,4831,-250.94698,130.88559,1.9850084,33.298653,19.546644,18.975462,14.845252,16.357178,1.7580776,0.21508004,-5.278435,-10.193184,-15.073743
26.0,4847,-251.04892,112.488976,-7.7869062,38.348938,14.008599,16.010817,7.982837,13.41327,-0.50333095,7.9741297,7.626061,-14.747323,-19.792288
26.5,4762,-242.75386,94.49853,-9.078704,23.942352,-2.93579,12.16383,-3.1925943,7.818352,-3.7785397,-3.1569135,-5.2133617,-10.30758,-12.929434
27.0,4744,-159.96677,95.60767,-19.495,28.14894,-6.4247804,21.414387,-8.055481,9.694327,-7.4595323,-4.953824,1.6467662,-8.7019415,-6.465216
27.5,4736,-99.946075,81.98843,-37.020695,24.355732,-5.772986,6.332787,-9.796141,0.5271463,4.3692265,4.373859,15.993929,3.8700154,3.1721215
28.0,4646,-200.78517,134.55458,-32.88059,14.957599,8.395403,18.917156,-9.405913,11.191016,6.118524,5.0547614,15.211766,0.69206107,0.96515805
28.5,4568,-238.9342,123.22093,3.176279,34.385227,16.334196,21.073435,18.414705,18.902414,3.0364866,5.8444457,-2.1819408,-13.540499,-19.863636
29.0,4339,-248.06932,116.394135,-4.1984706,28.595507,6.754435,18.227596,7.0292006,28.189678,-1.6795506,-9.588999,0.6799474,-12.002299,-21.505224
29.5,4625,-231.55031,100.44887,-24.481537,5.7215276,-4.0889263,12.793626,-6.4976354,19.102728,5.162457,0.13745022,3.7523177,-3.0499783,-24.364916
30.0,4705,-151.79721,121.95503,-8.171352,18.995577,-4.141775,28.024652,-1.3845841,7.093472,4.9480333,0.74068725,3.5593598,4.2401123,-0.56306833
30.5,4580,-107.97017,99.04138,-10.547606,26.571264,-11.403438,7.1913295,-7.0902886,-2.851541,-5.9599795,-3.2646196,9.842694,-2.7649252,-3.954076
31.0,4547,-166.38412,126.87481,5.175278,22.009106,-13.500733,23.940876,-25.231329,2.4739957,-1.3176367,-4.067561,2.4525054,-4.725835,-8.655364
