0,1,2,3,4,5,6,7,8,9,10,11,12
-376.07584,44.313038,-18.134941,11.155921,-0.6759809,1.7576022,1.102759,-0.2970075,3.8275874,3.1488626,4.4745617,1.5460439,-0.32999736
-280.84192,104.310646,-28.269068,5.8368206,10.205873,-7.4197793,-3.9634626,-1.3655019,0.98868483,2.7783554,0.49117985,3.053816,-0.8277539
-302.1203,59.372074,-27.091587,7.859086,7.720972,6.1603985,-8.6756525,-5.536832,-3.7228763,-0.77699244,-4.9593053,6.613688,0.15197895
-403.78897,66.58277,3.4331641,-13.798242,2.255334,4.5210805,-6.411512,-7.46375,-2.617594,-3.3422134,-3.7105422,0.26499403,1.008464
-350.33984,14.293149,-19.413279,10.302394,-1.400332,6.7645116,-1.7177945,1.8748219,-3.5302982,0.8274556,-3.9855587,-0.31047505,-4.875456
-456.17673,21.30292,3.2025967,-6.5321946,-6.0316014,-4.350249,-4.8830824,-3.771373,0.044972986,2.5827408,1.3862338,-1.4558005,-2.889669
-408.39938,39.711197,3.8352776,-9.217656,-12.966889,-8.746011,-9.80258,-5.1321936,0.90849346,4.6998787,-0.459113,-4.556174,-4.361917
-323.21924,33.681667,-38.923923,1.1210506,3.6823657,5.6481657,-10.426058,-8.066141,-5.0269437,-3.519604,-10.507002,2.1151106,-2.1261163
-423.34003,46.946762,-2.8511202,-15.581093,-1.4645699,0.6911141,-8.891526,-10.25521,-6.424476,-7.6627507,-8.0182705,-2.6638696,0.4426639
-353.40582,9.550359,-24.54922,8.407723,-2.0778387,4.8295465,-4.003922,0.67400956,-4.6896515,-0.5719385,-4.749153,-0.279866,-3.631801
-373.1537,54.732784,-6.2690687,17.31452,2.596801,2.275443,0.04506548,-2.3316553,1.6811123,1.3570074,3.9971504,2.5307617,1.3462131
-263.75732,119.43405,-8.613523,23.116247,17.435127,3.36099,-1.2246289,3.2302256,1.0205096,5.1844335,3.0021567,5.054192,4.8122716
-213.05063,49.907738,-13.420215,30.602465,-7.4840455,21.619997,-12.612209,6.8107796,-6.134046,2.7221322,5.7566285,9.744162,1.1873732
