0,1,2,3,4,5,6,7,8,9,10,11,12
-517.7468,58.52977,20.631062,-1.390002,-1.1913165,3.0950906,0.9012884,-2.182525,-1.6091217,-0.94350094,-2.0453603,-1.7326568,0.4448305
-334.77298,174.1204,44.612904,1.663144,-13.547599,-3.9953701,-10.239634,10.1354475,-7.0269294,-5.896482,5.0233154,-1.6621428,-4.309916
-278.93146,147.581,16.396746,10.278749,-35.156834,8.925182,-15.208679,1.8503015,14.895217,0.30315235,-13.057222,11.693081,-4.0246944
-274.79816,130.65884,25.261295,25.143002,-31.66178,23.148008,-10.562986,-0.8938301,-3.3226347,-5.5117154,-8.76142,11.68415,-8.63977
-302.32214,135.57388,21.329603,18.808216,-9.71555,20.32668,-16.480822,-3.1773908,7.7568893,-4.123484,-6.8668594,7.9969587,-10.715482
-338.6454,156.33693,42.91854,17.7998,-21.799059,21.51795,-7.823694,-9.655516,5.663763,-8.073788,-8.70676,5.0769897,-8.923266
-407.37762,170.22862,64.02086,3.5345466,-10.7685375,-0.22078946,3.6543012,-1.5871557,-3.8342226,-4.8562226,-2.688059,-1.4698644,-3.2210374
-296.98346,110.70968,21.39317,46.76382,-3.3728173,17.095102,-24.264603,-2.52612,-2.631633,-1.9231727,-6.676944,8.290704,-5.4334664
-324.21924,153.46504,6.8645597,9.815497,0.023283226,33.053165,-4.862607,-12.293629,-4.0131197,-16.436981,1.3522209,19.696053,-5.8744063
-276.8389,159.89737,-13.162594,18.776743,-9.975353,24.225021,-4.516079,-21.892408,10.512824,-5.957799,-17.77133,16.59194,-0.9256003
-265.24857,129.07289,19.180027,22.697052,-13.253733,35.073093,-10.764786,-11.61136,-4.0520153,0.8726763,-8.424381,2.7161791,-7.9134393
-327.43753,162.82164,19.440256,21.647234,-4.4156585,17.688673,-5.30541,-11.578617,15.216809,1.5091226,-17.247337,1.2862418,-3.2639718
-379.55502,189.87595,55.973106,-6.7866225,-8.548282,4.359492,1.5417532,-0.2707874,-0.11138549,-3.8382022,-2.920679,-2.3584857,-4.8569207
-251.43736,147.73987,-13.191078,23.9906,-9.422445,22.261452,-15.788719,1.3584468,8.13271,-19.980124,-7.4457903,14.393179,-13.820606
-256.3631,139.31151,-20.913221,10.660712,-11.696663,20.416096,-15.315063,-1.8362724,-6.4865637,-9.158786,-10.345369,0.96402854,-2.8123822
-264.71152,120.70898,-13.511388,17.471577,-6.8729696,28.620594,-16.76897,2.652902,-10.480681,-14.298029,-6.5823665,13.017729,-7.9552712
-292.07474,170.1513,30.359383,22.817602,-19.64076,20.501257,-8.606686,-10.92591,12.06226,-3.8094954,-16.323517,4.538369,-3.9763153
-306.94864,166.0747,10.712379,19.93307,-6.508626,7.349928,-9.976317,-1.8472682,14.933013,-11.148327,-13.2883215,6.814627,-6.3871064
-313.6904,160.4672,31.058018,22.948784,-5.2062883,9.703572,-14.251253,-4.951503,1.7836293,-7.0811357,-5.6452894,1.7089127,-2.9627528
-310.76895,173.04541,11.269052,13.491868,-6.5532207,15.266444,-4.4441786,-10.06812,8.418232,-10.900417,-6.2583766,16.795387,-2.9288874
-307.80963,141.04529,20.223694,32.562393,-3.232271,19.408602,-8.67586,3.0997968,2.573384,-11.466359,-5.4302278,8.468901,0.3891288
-264.16638,105.59331,-14.936985,40.057835,-3.4039385,32.11482,-18.741886,8.853015,3.8145418,-19.131016,-1.636927,16.047644,-7.731929
-316.92474,175.24945,25.101778,15.65141,-11.67198,19.558893,-9.467597,-16.867525,10.51475,-6.310091,-11.961085,-1.8959081,-4.2282033
-340.5265,173.4575,20.708586,-0.5130381,-3.4300582,18.365694,0.5881636,-7.942583,6.3068037,-13.431556,-16.284153,9.902384,-3.0848186
-311.93735,173.22507,12.868299,21.058504,0.12340155,8.690475,-7.1234684,-8.95672,1.2253406,-13.291658,-7.068698,9.200347,-6.6109285
-241.18294,130.56981,-10.3613405,17.893068,-14.429453,19.64814,-8.937374,-6.3370113,-4.1729565,-0.9461448,-11.73891,13.248051,0.5417802
-257.76395,153.87416,-12.588131,18.301247,-9.1577635,19.75089,-8.080314,-5.438851,-3.4133742,-6.3158555,-3.630364,6.191557,0.42925796
-269.5993,166.33978,-15.84041,15.146544,-5.5374603,24.010778,-9.584779,-11.168921,11.530203,-7.5690727,-5.4264035,6.1741896,-2.3407953
-254.19963,115.32113,11.918872,48.077965,-9.603428,32.73142,-18.98598,-2.9044485,4.776069,-7.0900483,-5.1841826,1.2267867,-12.888492
-364.42203,166.14897,27.702322,8.21257,11.784612,8.400746,-11.607761,-0.30904526,6.6648154,-6.8429723,-4.5927753,-0.8879013,-4.6626635
-288.4172,131.01202,13.602011,36.526527,0.9721009,21.891243,-24.991137,-7.847124,4.295615,-7.8405805,-1.0307659,8.045309,-9.531699
-252.88402,166.46564,-17.279821,16.336237,-1.3641733,26.161366,-18.67738,-13.836324,9.949629,-15.570906,-13.184559,10.541918,-2.5082123
-266.85995,119.183846,9.091968,28.409988,-19.25103,33.243534,-14.2526655,-9.85657,5.5678725,-8.030569,-11.940764,11.868582,-9.012749
-263.0358,177.37708,-19.20595,2.1383564,3.8787289,9.222434,-17.353,2.327652,10.265611,-10.860764,-8.336905,-0.084788166,8.216312
-274.07666,162.47012,12.859611,-0.2489029,-5.960374,34.16437,-25.788244,1.5232979,18.232008,-14.824661,-9.638307,4.2124515,-12.536034
-323.06738,169.11896,23.483713,7.3419876,-15.071482,5.77772,-8.283432,6.73601,0.10725709,-11.810314,-1.0162861,-4.8469043,-6.9772964
-278.57278,162.89943,-6.3843794,-4.8200574,-5.9043984,21.410988,-18.050983,-3.3055143,2.3402958,-11.789363,-8.996956,4.2143035,0.06909818
-233.54642,104.15129,-23.478003,30.4593,-11.440328,17.81328,-22.158566,2.6955254,-10.983377,-4.09215,-5.465147,-3.3595471,0.9499232
-257.87787,128.41591,-37.657597,12.621286,-0.7608112,26.590982,-17.237951,-6.7330775,-6.6594033,-7.3343024,-3.9803915,8.523137,-7.1064467
-275.58115,166.99478,-3.8774421,12.141223,3.9134977,10.42901,-22.127771,-1.0310539,4.409975,-6.327255,-16.524075,8.23099,-4.9324975
-281.39407,147.05783,-13.313468,23.569712,11.743676,24.5527,-22.597702,-9.316916,16.13388,-18.012709,-12.749977,6.4273787,-6.0203047
-315.5216,171.29225,32.93783,-0.055861805,-3.7597904,15.59222,-20.12113,2.7712505,3.2884192,-8.816025,-5.595239,2.449318,-5.607046
-254.92369,131.05495,2.9087152,32.978035,-9.459791,22.027403,-11.436602,-6.967515,2.477887,-5.743204,-10.2890215,10.223804,5.1029267
-308.28802,175.89807,16.035578,23.682262,-2.6606956,6.6182604,-4.5615034,-7.638371,8.832871,-6.1986256,-9.141187,16.019678,-1.0884458
-273.4966,143.84717,-23.503166,26.1648,8.205898,28.417156,-17.944792,-0.6636969,8.31484,-21.096987,-7.940456,12.914541,0.3446547
-242.08804,141.83223,-5.7459335,38.404446,4.06275,24.65482,-33.015953,-1.0460042,25.2608,-22.092794,-8.692226,12.726825,-17.031244
-287.21292,134.25087,-13.357187,18.859934,22.714808,24.685825,-29.559273,-12.437977,24.869781,-16.187185,-7.4542847,9.179148,-15.069021
-316.90536,152.61636,22.641472,21.530561,1.8548527,23.446058,-17.358597,-2.4009728,10.864454,-9.890029,-5.11062,4.51038,-8.7138605
-281.41205,141.51604,-0.85062224,26.694195,-2.5944693,26.20556,-24.390074,-7.808095,25.76519,-7.8880415,-14.473412,19.238138,-10.966074
-231.08952,106.64,-17.999023,34.99025,-33.966404,14.850454,-20.559717,2.9565299,13.034174,-4.0094867,-4.5328364,13.108465,-5.2882447
-312.25165,137.7707,-8.977549,13.390105,2.441316,21.931927,-18.897785,-3.9902422,11.599053,-3.3852015,6.7480874,6.1446247,-11.503849
-292.32275,167.7431,18.385847,15.621878,-12.726693,14.111688,-4.4990244,2.3499947,9.769699,-16.7708,-5.45298,14.831821,-14.402745
-238.60771,124.705574,7.253903,32.538467,-21.85702,25.965435,-14.179159,-1.6146196,-2.3876793,-7.2071185,-8.125928,11.33466,-11.061858
-230.26018,133.63205,-31.912312,28.523216,-6.4124975,30.105864,-19.419645,-10.561084,14.222066,-11.731599,-3.5815377,14.178258,-10.306842
-326.04932,199.99702,4.5290575,-7.492299,24.949554,10.607249,-3.0245318,0.8884711,5.6894426,1.3492086,0.68585765,2.3174994,-2.0603647
-236.53404,177.56558,2.0601823,5.1763115,1.7193779,11.053924,-17.578222,18.07305,4.4574513,-6.243776,-5.088494,0.9817237,-0.29636762
-188.69023,162.95506,-13.332816,16.854738,-2.20611,21.399187,-15.422386,11.561511,10.052902,-1.5975575,-14.265063,9.075272,8.1925
-203.05959,144.97214,-16.87832,36.60821,-14.774876,17.435223,-22.801025,14.363663,7.535682,-15.68157,-3.3574042,5.80358,1.6837689
-192.25948,173.75945,-18.988289,13.852719,-1.1338311,17.200682,-25.143387,1.9494629,2.1788228,-5.045382,-8.877852,4.959067,1.409061
-187.60425,145.45178,-15.178162,33.786503,-13.020455,18.993402,-26.698668,9.206869,1.2918282,-15.542219,-6.8937507,0.71633166,-6.076435
-240.28711,171.86769,8.641019,33.295757,-9.244165,16.949354,-6.4808106,0.695676,9.790942,-6.0779552,-9.623017,3.3077676,-7.1176944
