0,1,2,3,4,5,6,7,8,9,10,11,12
-350.03113,107.83038,3.3982368,-12.059052,2.4488535,-4.16129,-3.648601,2.8329008,0.8062242,1.1698798,3.1053054,-0.27286625,-2.34501
-277.43658,181.63206,24.827179,-13.780305,4.895041,-2.7629442,-7.258939,2.0015085,-0.94370675,-7.586905,-6.4588337,-4.7829504,-2.1669974
-256.31134,168.3211,-11.422381,-8.117169,16.259537,-3.878886,-2.0533042,4.956696,2.537544,-3.942175,-11.648697,-6.4278655,-2.383024
-257.00708,167.31007,-26.404366,-26.697813,20.673267,-1.7622086,-13.712756,6.0592656,10.59442,-1.0475411,-6.5576334,-1.0041283,0.38979587
-214.68755,175.84705,-42.378185,-9.512696,22.032074,-8.439521,-6.150128,2.8273764,-2.8387768,-8.732648,-8.395629,-3.7871616,-0.40020797
-258.25003,190.06186,9.380673,-23.528952,10.554201,2.39756,-9.528498,0.26216868,0.6083241,-7.35894,-3.6908073,4.7324586,2.0340757
-255.46432,184.23294,-2.043284,-24.812902,14.01574,7.4668465,-1.2637286,6.450204,7.789138,2.8210897,0.30462235,3.514608,5.4773397
-237.45773,195.17616,-11.340755,-34.15093,11.36487,3.4390526,-6.059278,2.651484,2.0623183,-0.08299304,2.8761559,4.9996967,5.2712255
-263.623,185.65825,6.630344,-32.381752,-1.4865978,-2.9911137,-9.232209,-1.5161862,-0.8527792,-1.9591205,0.68854374,-2.4278605,-6.1947155
-267.82217,187.09346,20.555042,-16.695992,4.722256,-2.9552052,-6.110757,3.6700346,0.13265237,-5.8737025,-5.0046096,-4.9225564,-3.244179
-269.73444,168.50754,4.0881844,-7.793272,11.525134,-1.6790706,-4.2930236,1.0904957,2.192475,-3.9472368,-9.201199,-6.0495157,-4.8640213
-231.21353,169.69827,-43.349083,-19.580448,23.461744,-4.1026764,-7.2277803,5.0483937,7.9223313,1.2574857,-10.644621,-5.735532,2.0402353
-230.99678,174.47287,-37.152798,-17.650211,20.66912,-10.447399,-7.174206,5.137636,-1.2156479,-3.030407,-9.558197,-7.4754186,3.8544834
-237.24474,200.17305,-2.7986717,-28.266985,15.281057,1.777954,-14.234532,-2.5246906,0.7567302,-5.5055346,-5.111136,0.37643853,2.3086946
-271.36163,179.56714,9.506721,-23.815191,10.241807,9.490499,-1.3369272,2.8286917,4.7932177,0.8642273,0.33419994,4.4061837,5.4868803
-245.35252,194.13852,-1.0405788,-30.271076,6.8137836,5.3623843,5.1320004,9.4841175,0.34093824,-0.081160255,6.053215,4.367233,4.410775
-237.96132,193.79045,-12.47276,-37.45353,3.9427035,2.4099774,1.6961031,3.7630231,-7.4954967,-9.989603,-6.502226,-8.659878,-7.2943726
-243.90627,200.51688,6.2216997,-28.521631,8.014656,2.27846,-6.7191486,0.98870254,-0.6425053,-4.75506,-5.6027126,-9.828922,-8.328443
-275.28564,170.26973,11.502188,-11.5239935,5.5722203,0.027238091,-2.0829084,0.31399047,0.26826262,-3.1598952,-6.3217974,-7.4221163,-5.990175
-210.31398,169.15335,-59.22656,-10.956461,26.52663,-9.1862955,0.90292835,8.695594,0.07871092,-0.9221493,-6.6684937,-5.8557897,-1.8164335
-235.58208,170.93614,-41.045795,-24.039818,22.660475,-3.5348625,-7.876237,3.8688877,1.7929734,-3.6624558,-10.8985815,-6.296907,1.3865998
-243.53252,200.67984,6.231624,-26.540325,11.535404,1.7454885,-11.614725,-0.567481,0.50745654,-8.39563,-6.9052663,1.9607615,3.872265
-233.77391,169.36453,-30.538094,-7.9429016,20.627197,-0.025896804,3.0146024,6.570666,2.6863651,-4.9525914,-9.98052,-2.4259863,-1.4423062
-214.0663,204.15016,-21.21206,-27.310677,21.390705,4.9260774,-0.27678633,5.9303203,-5.869135,-9.51085,-3.4799101,1.5142778,7.341718
-235.6242,187.69745,-23.148802,-34.9456,8.727085,-6.6051173,-11.683987,0.6236608,-3.6435475,-9.298789,-6.4093065,-2.8274066,-2.975022
-238.66933,201.93634,4.4667087,-24.377987,9.400644,-4.115036,-10.431772,2.560889,0.23907408,-3.3886783,-0.10460381,-1.6417679,-2.2035928
-286.38242,177.94044,27.841185,-15.671468,5.9003177,1.3723727,-11.446385,-4.6920943,-1.7210683,-7.9643435,-8.163287,-5.4632387,-3.849528
-296.68732,167.02858,22.004385,-19.13383,9.776679,13.059908,-6.5518613,-8.989498,0.29825512,1.7382561,-1.9660075,-3.6950073,-4.6435847
-281.72617,159.50099,-0.81507695,-18.362303,11.811728,5.1746583,-11.953817,-6.083349,2.9078104,-0.8146427,-0.12902851,-3.3185387,-8.708829
-202.66751,203.96661,-24.181377,-20.561726,17.286177,-3.0150955,-11.859699,-0.8477923,2.4543097,-9.793923,-10.912695,-0.4646971,2.345121
-218.21474,172.69896,-38.75489,-8.833644,17.000757,-6.327965,-6.146226,3.0632875,7.828468,-2.8401144,-6.068532,1.7858872,1.395165
-198.17682,185.23656,-24.296207,-7.5217547,3.3772032,3.3042226,3.2695398,2.606667,5.235527,2.8911164,2.0508385,8.990113,7.3246546
-151.91519,133.20523,-19.085413,30.030088,-20.283916,25.41674,-13.447466,-10.571274,-8.8420725,-8.32511,-7.801105,-4.448347,-8.282874
-135.70302,118.871765,-4.338001,62.168053,-35.790363,18.64255,-4.0267215,13.014447,-1.9421846,-3.531382,-5.2816544,-6.8005214,-9.581387
-182.27966,109.36568,9.616703,58.75459,-26.100946,12.791208,-12.338204,4.113691,-1.2808238,-3.2429323,-14.062707,-15.620243,-11.851017
-162.63026,102.87514,-17.376928,50.456604,-22.283752,26.050268,-5.2503843,-8.743813,-3.64972,0.2826706,-5.637027,-4.501535,-13.530898
-240.44736,117.56818,-10.981041,33.620934,-12.118769,14.741912,5.572785,-11.013511,4.440587,-1.5814606,3.1531007,4.8554716,2.1003401
-210.12625,162.77634,5.366489,25.913254,-8.971741,7.300432,2.2084594,-8.871124,-0.94606256,-3.606408,-7.4639263,-0.6222625,3.3303592
-197.54863,124.42217,1.9278611,45.745464,-19.617529,20.70835,-3.6471179,-13.380101,0.60962474,-6.6603317,-10.380195,2.0218585,-1.1371334
-174.6263,146.82214,-7.940132,33.699764,-8.350063,19.229584,-8.509117,-4.0814934,-0.33448476,-10.905131,-5.46826,13.132053,5.600738
-187.51805,139.71104,-2.2062852,21.936548,-24.629536,19.424986,-9.195525,-4.2486677,4.9414444,-7.901881,-12.690359,-4.1155705,-3.2651222
-193.07626,165.96715,3.502076,21.72325,-14.747199,13.191299,-10.237647,0.35494733,11.073227,-15.611551,-8.274641,-10.02032,-10.222529
-182.71642,119.61303,2.200494,51.37505,-24.361172,13.174298,-7.3408847,-6.3056974,-0.43369347,-5.262449,-14.525608,0.56444484,-5.4216156
-184.94705,106.58285,-3.361509,44.725296,-25.580963,26.640554,-9.504333,-10.040473,-0.48222944,0.5154387,-7.412762,-6.429942,-13.120227
-240.07883,145.33614,-2.8840091,7.5221496,-6.2271724,13.124238,-10.541413,-3.838655,10.964013,-7.8473964,-8.874823,-0.03554813,6.0701675
-233.09059,155.56367,6.540721,20.185366,-5.3433805,9.575308,-1.0819741,-8.854274,8.1178255,-4.3747644,-7.2191873,-0.17773493,-0.7834676
-158.67844,116.6879,1.3023401,51.52684,-23.45904,14.69947,-16.92112,-23.296871,-4.515368,9.282775,-12.701734,-6.337184,-1.1262265
-210.21478,155.463,-7.595447,19.53865,-6.043668,11.595498,-0.1727775,-8.942199,2.7498753,1.3745705,7.758347,9.476203,10.786546
-166.21765,106.66678,-18.302282,61.979496,-22.903456,7.846701,-1.1805326,9.696157,5.891019,-10.363347,-10.648059,9.120645,-6.941819
-175.78331,139.6005,7.688093,38.37266,-33.81471,15.303081,2.181437,-7.0417876,-2.8280334,3.0595915,-13.894321,-9.046172,-6.602182
-172.23724,139.43602,6.821876,33.791096,-22.417778,27.403448,-10.433637,-9.550414,-2.3715174,-2.7016392,-13.052037,-16.620388,-6.305007
-193.65044,154.82787,2.7700572,8.2171545,-24.83806,16.501482,-4.641141,-3.2536874,4.7194514,-9.088136,-16.851059,-6.9254227,-0.64378315
-223.5797,141.63066,-5.9055123,13.269706,-4.522592,17.20078,-14.7525625,-18.432335,2.5438447,-1.6653239,-3.6459734,2.0481145,-2.7671697
-201.04591,144.30165,-8.581343,34.501713,-3.1707168,16.309202,-17.381168,-26.739294,1.4670981,-5.2487917,-4.7808747,-0.8143999,-0.7024771
-206.85979,170.82472,0.37027693,17.063763,-5.145116,12.925494,-10.928182,-21.588108,3.5015054,-5.6002216,-10.444517,-3.2165954,1.2300868
