0,1,2,3,4,5,6,7,8,9,10,11,12
-305.41962,-36.495018,-15.240176,-18.078516,-22.527288,-2.2942414,-7.764522,-1.7517431,-14.520127,-10.700349,3.4898977,16.062994,16.043251
-249.40462,9.336889,-19.404804,-30.265835,-26.424648,-8.063995,-8.314082,4.478116,-10.203437,-11.397133,-5.2848253,-0.29070815,-5.744486
-223.64174,24.66518,-15.787854,-18.736631,-20.810738,-12.598651,-16.793552,-3.1172857,-12.65763,-7.8539352,-7.0053163,-5.844637,-5.873769
-216.83148,28.402653,-10.129407,-16.745998,-9.236433,-0.6700265,-19.99868,-12.766165,-14.519682,-4.2068367,-5.821502,-5.633873,-6.8468137
-236.97174,8.017446,-12.193889,-9.090389,-4.0040536,7.636302,-11.9614725,-8.205521,-9.4097805,-3.7916179,-14.635147,-17.858229,-11.949023
-279.30975,-36.330967,-27.1586,-24.588886,-15.581916,13.778677,0.601277,7.7308507,12.301508,9.831025,-11.323446,-16.603334,-15.925377
-263.62195,-53.59727,-55.7538,-23.651382,-35.08415,13.758062,0.72840387,13.083147,17.868382,13.560512,-9.364826,-6.022454,-9.565411
-286.44992,-19.537401,-80.357185,-3.1327767,-53.75586,6.544102,-16.991728,-0.7940786,4.114102,15.7729025,10.853222,8.457721,-14.328207
-307.32684,15.225969,-97.208336,-10.768635,-40.589073,-8.504478,-9.671188,-6.3259993,10.794264,5.687415,18.719292,7.160437,-10.266014
-296.73282,22.678747,-101.88677,-12.396729,-41.021854,-14.307733,-14.189084,-14.110701,4.6352243,9.477335,17.116001,16.76138,20.487469
-338.2859,27.32116,-84.26031,-18.298908,-27.22905,-16.57639,-7.1842713,-10.565653,1.1359799,10.94328,12.654492,16.440712,18.42256
-308.44672,24.339426,-94.772644,-12.7022,-39.147102,-13.658712,-9.514636,-14.619111,2.8424003,8.165088,9.683656,12.3584585,24.064373
-243.5864,61.944557,-100.72395,-10.711594,-27.419432,-3.7111564,-22.549513,-30.851358,-10.8826475,-3.0548606,-3.5971513,-5.5716643,9.53258
-233.09691,68.176346,-107.22235,-9.905564,-23.999943,-2.3737533,-24.9774,-33.25737,-0.26009813,-3.7896566,-3.81359,-11.990995,-9.992137
-221.62727,88.026855,-92.73454,-21.688477,-45.660435,-17.305046,-28.741396,-24.589094,-0.12775683,-13.081361,-7.121344,-11.448063,-14.114081
-257.14566,58.460358,-94.489044,-11.93988,-32.93218,-11.596491,-24.981213,-25.92422,-6.1307545,-6.228354,-0.118651874,-5.408488,-8.2641115
-315.7006,38.193974,-90.15269,-11.952186,-19.773777,-16.884455,-12.402459,-15.549776,-5.073376,-0.90939003,2.8617988,6.687167,7.906083
-236.76915,78.72436,-94.56994,-29.626587,-44.534466,-6.7028346,-12.166461,-19.492378,-10.792196,-3.3965075,-0.45289576,-2.0157142,12.553237
-222.7884,89.79136,-91.663216,-26.87915,-47.928505,-13.403794,-20.660154,-26.412916,-12.247748,-3.95338,-1.282845,-4.957983,15.139206
-253.45117,65.98026,-102.07099,-28.487793,-42.806137,-10.121133,-14.768488,-21.868654,-2.812676,-3.2376428,3.6864455,1.4597981,8.030559
-300.9929,30.555735,-99.64172,-17.847326,-41.300507,-12.908825,-9.6137905,-9.97451,10.22794,1.9914054,17.796612,8.085409,-7.013672
