boundaries,labels
0.4179591836734694,5.0
4.597551020408163,3.0
8.730702947845804,3.0
12.910294784580499,3.0
17.08988662131519,3.0
20.712199546485262,4.0
24.891791383219953,4.0
29.071383219954647,4.0
33.25097505668934,4.0
36.36244897959184,1.0
40.542040816326534,1.0
44.72163265306123,1.0
46.81142857142857,1.0
50.991020408163266,1.0
55.17061224489796,2.0
59.350204081632654,2.0
60.3718820861678,2.0
62.461678004535145,2.0
66.64126984126985,2.0
70.82086167800453,3.0
75.00045351473923,1.0
78.11192743764173,1.0
82.29151927437641,1.0
86.47111111111111,4.0
89.5825850340136,4.0
91.67238095238095,4.0
95.85197278911565,4.0
100.03156462585034,4.0
104.21115646258504,4.0
108.39074829931972,4.0
111.50222222222222,4.0
115.68181405895692,1.0
119.8614058956916,1.0
122.46204081632654,1.0
126.64163265306122,1.0
129.75310657596373,2.0
133.74693877551022,2.0
135.7902947845805,2.0
137.8336507936508,2.0
141.78104308390022,2.0
145.96063492063493,1.0
150.14022675736962,1.0
152.23002267573696,1.0
156.3631746031746,1.0
160.5427664399093,3.0
161.61088435374148,3.0
164.722358276644,4.0
165.74403628117915,4.0
169.92362811791384,4.0
174.10321995464852,4.0
178.2828117913832,4.0
182.46240362811793,4.0
186.6419954648526,4.0
190.8215873015873,4.0
195.001179138322,4.0
199.1807709750567,3.0
203.31392290249434,2.0
207.53995464852608,2.0
208.56163265306122,2.0
212.7412244897959,1.0
216.9208163265306,1.0
219.01061224489797,1.0
223.1437641723356,1.0
227.36979591836734,1.0
228.3914739229025,2.0
232.57106575963718,2.0
236.7506575963719,2.0
240.93024943310658,2.0
245.06340136054422,2.0
248.73215419501133,2.0
252.91174603174602,2.0
257.0913378684807,2.0
261.2709297052154,2.0
265.45052154195014,2.0
269.7229931972789,1.0
269.74040816326533,5.0
