Second,Count,Tempo (BPM),Beat Times (s)
50.0,3137,[139.67483108],42.93369614512471
50.5,3064,[139.67483108],43.36326530612245
51.0,3103,[139.67483108],43.79283446712018
51.5,3074,[139.67483108],44.21079365079365
52.0,3105,[139.67483108],44.64036281179138
52.5,3045,[139.67483108],45.09315192743764
53.0,3061,[139.67483108],45.51111111111111
53.5,3006,[139.67483108],45.94068027210884
54.0,2844,[139.67483108],46.35863945578231
54.5,2785,[139.67483108],46.78820861678005
55.0,2747,[139.67483108],47.217777777777776
55.5,2703,[139.67483108],47.64734693877551
56.0,2651,[139.67483108],48.06530612244898
56.5,2611,[139.67483108],48.529705215419504
57.0,2549,[139.67483108],48.94766439909297
57.5,2506,[139.67483108],49.3772335600907
58.0,2508,[139.67483108],49.78358276643991
58.5,2270,[139.67483108],50.21315192743764
59.0,2365,[139.67483108],50.64272108843537
59.5,2359,[139.67483108],51.07229024943311
60.0,2285,[139.67483108],51.5134693877551
60.5,2156,[139.67483108],51.9546485260771
61.0,2354,[139.67483108],52.37260770975057
61.5,2358,[139.67483108],52.82539682539682
62.0,2281,[139.67483108],53.22013605442177
62.5,2225,[139.67483108],53.6497052154195
63.0,2219,[139.67483108],54.07927437641723
63.5,2212,[139.67483108],54.49723356009071
64.0,2312,[139.67483108],54.9384126984127
64.5,2346,[139.67483108],55.356371882086165
65.0,2260,[139.67483108],55.7859410430839
65.5,2249,[139.67483108],56.21551020408163
66.0,2116,[139.67483108],56.64507936507937
66.5,2176,[139.67483108],57.0746485260771
67.0,2039,[139.67483108],57.50421768707483
67.5,1769,[139.67483108],57.933786848072565
68.0,1794,[139.67483108],58.36335600907029
68.5,1923,[139.67483108],58.79292517006802
69.0,1954,[139.67483108],59.2108843537415
69.5,1802,[139.67483108],59.65206349206349
70.0,1909,[139.67483108],60.070022675736965
70.5,1786,[139.67483108],60.499591836734695
71.0,1792,[139.67483108],60.92916099773242
71.5,1806,[139.67483108],61.35873015873016
72.0,1842,[139.67483108],61.78829931972789
72.5,1915,[139.67483108],62.21786848072562
73.0,1865,[139.67483108],62.64743764172336
73.5,1796,[139.67483108],63.07700680272109
74.0,1910,[139.67483108],63.49496598639456
74.5,1730,[139.67483108],63.92453514739229
75.0,1990,[139.67483108],64.35410430839002
75.5,2101,[139.67483108],64.78367346938775
76.0,2424,[139.67483108],65.2132426303855
76.5,2667,[139.67483108],65.64281179138322
77.0,2764,[139.67483108],66.07238095238095
77.5,2821,[139.67483108],66.50195011337868
78.0,3240,[139.67483108],66.93151927437641
78.5,3352,[139.67483108],67.36108843537414
79.0,3583,[139.67483108],67.79065759637189
79.5,3674,[139.67483108],68.22022675736962
80.0,3498,[139.67483108],68.66140589569162
80.5,3380,[139.67483108],69.07936507936508
81.0,3566,[139.67483108],69.49732426303855
81.5,3564,[139.67483108],69.92689342403628
82.0,3699,[139.67483108],70.35646258503401
82.5,3521,[139.67483108],70.78603174603174
83.0,3189,[139.67483108],71.21560090702948
83.5,3269,[139.67483108],71.64517006802721
84.0,3141,[139.67483108],72.07473922902494
84.5,2943,[139.67483108],72.50430839002267
85.0,3025,[139.67483108],72.9338775510204
85.5,3045,[139.67483108],73.36344671201815
86.0,3861,[139.67483108],73.79301587301588
86.5,3503,[139.67483108],74.2225850340136
87.0,3796,[139.67483108],74.64054421768708
87.5,3880,[139.67483108],75.07011337868481
88.0,4181,[139.67483108],75.49968253968254
88.5,3664,[139.67483108],75.92925170068027
89.0,3144,[139.67483108],76.358820861678
89.5,2651,[139.67483108],76.78839002267574
90.0,2656,[139.67483108],77.2063492063492
90.5,2849,[139.67483108],77.6475283446712
91.0,2781,[139.67483108],78.06548752834468
91.5,3158,[139.67483108],78.50666666666666
92.0,3441,[139.67483108],78.9362358276644
92.5,3488,[139.67483108],79.36580498866213
93.0,3574,[139.67483108],79.7837641723356
93.5,3450,[139.67483108],80.21333333333334
94.0,3631,[139.67483108],80.64290249433107
94.5,4610,[139.67483108],81.0724716553288
95.0,4602,[139.67483108],81.50204081632653
95.5,4362,[139.67483108],81.93160997732426
96.0,4158,[139.67483108],82.37278911564626
96.5,3322,[139.67483108],82.83718820861678
97.0,2005,[139.67483108],83.22031746031746
97.5,1994,[139.67483108],83.64988662131519
98.0,1974,[139.67483108],84.06784580498866
98.5,2282,[139.67483108],84.4974149659864
99.0,2273,[139.67483108],84.92698412698412
99.5,2703,[139.67483108],85.37977324263039
100.0,2898,[139.67483108],85.79773242630385
100.5,3113,[139.67483108],86.22730158730158
101.0,2823,[139.67483108],86.65687074829933
101.5,2909,[139.67483108],87.08643990929706
102.0,2773,[139.67483108],87.50439909297052
102.5,2591,[139.67483108],87.93396825396826
103.0,2768,[139.67483108],88.36353741496599
103.5,2157,[139.67483108],88.80471655328799
104.0,1898,[139.67483108],89.2110657596372
104.5,1988,[139.67483108],89.64063492063492
105.0,1938,[139.67483108],90.07020408163265
105.5,1767,[139.67483108],90.51138321995464
106.0,1774,[139.67483108],90.91773242630386
106.5,1853,[139.67483108],91.35891156462586
107.0,1796,[139.67483108],91.7884807256236
107.5,1711,[139.67483108],92.2296598639456
108.0,1587,[139.67483108],92.65922902494331
108.5,1653,[139.67483108],93.1004081632653
109.0,1494,[139.67483108],93.51836734693876
109.5,1519,[139.67483108],93.9479365079365
110.0,1595,[139.67483108],94.36589569160998
110.5,1513,[139.67483108],94.79546485260772
111.0,1508,[139.67483108],95.23664399092972
