Second,Count,Tempo (BPM),Beat Times (s)
0.0,1368,[161.49902344],0.3599092970521542
0.5,2727,[161.49902344],0.7314285714285714
1.0,2656,[161.49902344],1.1029478458049886
1.5,2694,[161.49902344],1.474467120181406
2.0,2826,[161.49902344],1.869206349206349
2.5,2844,[161.49902344],2.229115646258504
3.0,3045,[161.49902344],2.6238548752834467
3.5,3038,[161.49902344],2.9837641723356008
4.0,2954,[161.49902344],3.3668934240362813
4.5,3006,[161.49902344],3.738412698412698
5.0,2949,[161.49902344],4.109931972789116
5.5,2859,[161.49902344],4.481451247165533
6.0,2733,[161.49902344],4.864580498866213
6.5,2771,[161.49902344],5.224489795918367
7.0,2668,[161.49902344],5.607619047619048
7.5,2712,[161.49902344],5.990748299319728
8.0,2667,[161.49902344],6.373877551020408
8.5,2790,[161.49902344],6.733786848072563
9.0,2783,[161.49902344],7.116916099773243
9.5,2976,[161.49902344],7.48843537414966
10.0,3106,[161.49902344],7.87156462585034
10.5,3308,[161.49902344],8.231473922902495
11.0,3410,[161.49902344],8.626213151927438
11.5,3692,[161.49902344],8.986122448979591
12.0,3835,[161.49902344],9.369251700680271
12.5,3762,[161.49902344],9.740770975056687
13.0,3881,[161.49902344],10.112290249433109
13.5,4119,[161.49902344],10.483809523809525
14.0,4160,[161.49902344],10.866938775510205
14.5,4325,[161.49902344],11.226848072562358
15.0,4468,[161.49902344],11.6215873015873
15.5,4568,[161.49902344],11.981496598639456
16.0,4782,[161.49902344],12.3762358276644
16.5,5038,[161.49902344],12.736145124716554
17.0,5190,[161.49902344],13.119274376417234
17.5,5281,[161.49902344],13.479183673469388
18.0,5206,[161.49902344],13.862312925170068
18.5,5060,[161.49902344],14.233832199546486
19.0,5077,[161.49902344],14.628571428571428
19.5,5107,[161.49902344],14.988480725623583
20.0,5239,[161.49902344],15.371609977324264
20.5,5222,[161.49902344],15.731519274376415
21.0,5113,[161.49902344],16.12625850340136
21.5,5063,[161.49902344],16.486167800453515
22.0,5253,[161.49902344],16.869297052154195
22.5,5198,[161.49902344],17.22920634920635
23.0,4910,[161.49902344],17.61233560090703
23.5,5234,[161.49902344],17.98385487528345
24.0,5088,[161.49902344],18.36698412698413
24.5,5083,[161.49902344],18.738503401360543
25.0,4987,[161.49902344],19.121632653061223
25.5,4831,[161.49902344],19.481541950113375
26.0,4847,[161.49902344],19.86467120181406
26.5,4762,[161.49902344],20.23619047619048
27.0,4744,[161.49902344],20.61931972789116
27.5,4736,[161.49902344],20.99083900226757
28.0,4646,[161.49902344],21.36235827664399
28.5,4568,[161.49902344],21.73387755102041
29.0,4339,[161.49902344],22.15183673469388
29.5,4625,[161.49902344],22.488526077097507
30.0,4705,[161.49902344],22.871655328798187
30.5,4580,[161.49902344],23.2431746031746
31.0,4547,[161.49902344],23.61469387755102
31.5,4451,[161.49902344],23.98621315192744
32.0,4352,[161.49902344],24.36934240362812
32.5,4107,[161.49902344],24.74086167800453
33.0,4165,[161.49902344],25.112380952380956
33.5,4139,[161.49902344],25.48390022675737
34.0,4127,[161.49902344],25.86702947845805
34.5,4015,[161.49902344],26.2269387755102
35.0,4115,[161.49902344],26.61006802721089
35.5,4042,[161.49902344],26.9815873015873
36.0,4246,[161.49902344],27.36471655328798
36.5,4127,[161.49902344],27.7362358276644
37.0,4202,[161.49902344],28.11936507936508
37.5,4041,[161.49902344],28.479274376417237
38.0,3912,[161.49902344],28.862403628117917
38.5,3945,[161.49902344],29.23392290249433
39.0,3795,[161.49902344],29.61705215419501
39.5,3979,[161.49902344],29.9653514739229
40.0,4073,[161.49902344],30.313650793650798
40.5,3985,[161.49902344],30.731609977324265
41.0,3971,[161.49902344],31.126349206349207
41.5,3883,[161.49902344],31.48625850340136
42.0,3947,[161.49902344],31.846167800453514
42.5,3945,[161.49902344],32.24090702947846
43.0,3920,[161.49902344],32.62403628117914
43.5,3755,[161.49902344],32.98394557823129
44.0,3749,[161.49902344],33.36707482993197
44.5,3760,[161.49902344],33.73859410430839
45.0,3697,[161.49902344],34.11011337868481
45.5,3740,[161.49902344],34.481632653061226
46.0,3812,[161.49902344],34.864761904761906
46.5,3684,[161.49902344],35.236281179138324
47.0,3747,[161.49902344],35.619410430839004
47.5,3758,[161.49902344],35.99092970521542
48.0,3862,[161.49902344],36.3740589569161
48.5,3863,[161.49902344],36.73396825396826
49.0,3843,[161.49902344],37.11709750566894
49.5,3786,[161.49902344],37.477006802721085
50.0,3862,[161.49902344],37.860136054421766
50.5,3921,[161.49902344],38.23165532879818
51.0,3940,[161.49902344],38.626394557823126
51.5,3948,[161.49902344],38.98630385487528
52.0,3925,[161.49902344],39.3578231292517
52.5,3856,[161.49902344],39.72934240362812
53.0,3862,[161.49902344],40.1124716553288
53.5,3800,[161.49902344],40.483990929705215
54.0,3806,[161.49902344],40.867120181405895
54.5,3655,[161.49902344],41.23863945578231
55.0,3762,[161.49902344],41.61015873015873
55.5,3764,[161.49902344],41.98167800453515
56.0,3796,[161.49902344],42.353197278911566
56.5,3847,[161.49902344],42.736326530612246
57.0,3919,[161.49902344],43.10784580498866
57.5,3790,[161.49902344],43.47936507936508
58.0,3860,[161.49902344],43.86249433106576
58.5,3423,[161.49902344],44.23401360544218
59.0,3435,[161.49902344],44.61714285714286
59.5,3528,[161.49902344],44.98866213151928
60.0,3442,[161.49902344],45.37179138321996
60.5,3460,[161.49902344],45.743310657596375
61.0,3350,[161.49902344],46.126439909297055
61.5,3349,[161.49902344],46.4863492063492
62.0,3307,[161.49902344],46.86947845804988
62.5,3294,[161.49902344],47.2409977324263
63.0,3300,[161.49902344],47.62412698412698
63.5,3181,[161.49902344],47.98403628117914
64.0,3163,[161.49902344],48.36716553287982
64.5,3153,[161.49902344],48.73868480725624
65.0,3111,[161.49902344],49.12181405895692
65.5,3220,[161.49902344],49.49333333333333
66.0,3242,[161.49902344],49.86485260770975
66.5,2967,[161.49902344],50.24798185941043
67.0,2960,[161.49902344],50.63111111111111
