0,1,2,3,4,5,6,7,8,9,10,11
0.4829115,0.5186471,0.46793675,0.4944069,0.5246257,0.42088944,0.28633773,0.2997723,0.68032795,0.5116832,0.2922828,0.48722002
0.24125658,0.3603593,0.51826006,0.50466615,0.6191412,0.29020566,0.18115778,0.14559174,0.19093563,0.17951143,0.25390366,0.41028157
0.25328377,0.2527628,0.34131533,0.62369305,0.6336871,0.4039139,0.2716612,0.24485242,0.2198345,0.34403652,0.43775895,0.18916467
0.4418476,0.5470205,0.72426856,0.5907975,0.255502,0.17312568,0.2531817,0.22496814,0.23020862,0.42642704,0.4159973,0.3161912
0.35470015,0.31468636,0.28070107,0.4190218,0.55987376,0.27607238,0.22724214,0.3887588,0.5317467,0.59125686,0.3482605,0.36009628
0.37510592,0.4607732,0.3661627,0.2315577,0.34529623,0.70868397,0.4634248,0.2252013,0.3151344,0.37565374,0.5109329,0.47156325
0.6589981,0.38123885,0.44626465,0.44716763,0.4481359,0.19400959,0.3754496,0.5410216,0.44649327,0.49270695,0.3164228,0.49550465
0.89269257,0.2883263,0.111180395,0.21031646,0.53107774,0.17106916,0.103568986,0.28957108,0.5797824,0.83914566,0.31429285,0.44933647
0.65982604,0.18553576,0.052376494,0.19577198,0.64471674,0.1340379,0.054161195,0.15327492,0.30603388,0.882948,0.22678348,0.33922684
0.2961736,0.12012383,0.21801518,0.28412667,0.685468,0.2383766,0.4488014,0.6144936,0.24934237,0.16073212,0.30112976,0.9136264
0.285722,0.11619497,0.20345101,0.28331825,0.666368,0.25255042,0.4205168,0.6894883,0.26504233,0.16868506,0.3093417,0.9388257
0.22648658,0.12486417,0.29391718,0.2635123,0.60556763,0.25880978,0.45797813,0.7123577,0.23740983,0.07854838,0.2830114,0.89198595
0.4329668,0.5612757,0.53074205,0.49943104,0.36689496,0.20509602,0.23828119,0.23282401,0.12992764,0.14606912,0.16696286,0.5189293
0.51443774,0.8483511,0.39870337,0.5936946,0.37486494,0.12032287,0.09378797,0.12336152,0.25254688,0.511238,0.25087148,0.66741025
0.23169848,0.25284404,0.44903618,0.23200649,0.24405144,0.12523788,0.10035401,0.18420738,0.10235196,0.16492224,0.28374192,0.7369858
0.3269496,0.2637133,0.47284526,0.35134086,0.39928064,0.15766695,0.31334117,0.5281041,0.26518548,0.31191182,0.33689505,0.75372297
0.42299497,0.2007935,0.3432076,0.3289398,0.7283132,0.3066938,0.39219818,0.662078,0.35222346,0.35489756,0.3277241,0.91316926
0.28329238,0.32866576,0.59025025,0.36986893,0.5711498,0.41027066,0.82690245,0.49929467,0.27358684,0.12711135,0.1804627,0.3824887
0.23935355,0.2916789,0.57377106,0.5921475,0.6986274,0.4565549,0.66176945,0.4490734,0.20507653,0.20973958,0.22916998,0.41189137
0.5283606,0.38426563,0.32847175,0.43195722,0.86619335,0.26823655,0.20755,0.30380714,0.23200607,0.3607242,0.22124305,0.3356285
0.7783643,0.29294732,0.1409678,0.2484571,0.6538258,0.18391682,0.10452248,0.2384699,0.30838302,0.83229136,0.28786403,0.41993922
0.8132842,0.21264602,0.05781915,0.23604508,0.5810737,0.11674347,0.06110935,0.17010106,0.30665356,0.88031393,0.24429713,0.4205541
0.30140266,0.11988254,0.24272165,0.32047775,0.78014416,0.2516239,0.46393132,0.61615604,0.27008277,0.15761386,0.32395744,0.91413957
0.4167397,0.39291772,0.39605275,0.39557382,0.6402168,0.6097758,0.5447162,0.519733,0.40304983,0.42112684,0.528798,0.68101627
0.40261477,0.4164046,0.6832411,0.5083449,0.4500394,0.21450405,0.16467448,0.1691409,0.15967569,0.19545865,0.21222849,0.3480668
0.3205462,0.19079207,0.3432568,0.35147887,0.39578122,0.11777931,0.2565452,0.36279842,0.34213614,0.40749475,0.3616052,0.49815142
0.46119764,0.24190839,0.18257697,0.18549378,0.300243,0.23707375,0.33441713,0.525229,0.46378073,0.54557806,0.4052073,0.4224429
0.5645068,0.23854133,0.1284418,0.15479071,0.44247684,0.5281004,0.27751213,0.55243605,0.37345612,0.67863387,0.283512,0.2916106
0.4103497,0.23097986,0.17020206,0.19131769,0.41308442,0.48050717,0.4579811,0.47448522,0.33991528,0.5460732,0.2336754,0.26231787
0.38641623,0.31284517,0.27623174,0.22649361,0.47164354,0.43654034,0.59667885,0.74962074,0.51048064,0.4115567,0.2692223,0.29362246
0.552594,0.26591974,0.25504577,0.3427478,0.3168917,0.15825076,0.27778813,0.44304723,0.2947489,0.30700865,0.31775263,0.49331617
0.8435496,0.4794297,0.28774434,0.2228793,0.39573586,0.22213201,0.22302678,0.36733174,0.27766046,0.24788897,0.24631041,0.439708
0.24212633,0.14328322,0.14564764,0.17677036,0.41617075,0.5448946,0.3016231,0.23140399,0.20589644,0.12916164,0.058213938,0.10751872
0.7302263,0.26069534,0.17623864,0.19574125,0.5009456,0.6408236,0.36961976,0.27376622,0.368383,0.51057166,0.18786094,0.44897825
0.84891385,0.49533302,0.3074067,0.28826168,0.41711023,0.36997572,0.2875103,0.29621783,0.34927282,0.5389445,0.35705167,0.4404956
0.38560376,0.1992351,0.23551174,0.13700533,0.23234807,0.22486283,0.23430447,0.42970055,0.20120934,0.1921471,0.3246154,0.55403936
0.11288965,0.18663312,0.4390411,0.37731645,0.61796665,0.39535913,0.2142998,0.28491557,0.14404216,0.092400126,0.15123534,0.36136264
0.7691371,0.5280337,0.4362466,0.33236498,0.3887797,0.21270849,0.20141979,0.4238322,0.32894132,0.25522915,0.3280985,0.7427478
0.84265935,0.37875292,0.1663033,0.09508106,0.09669745,0.09537406,0.18967582,0.27296993,0.07322355,0.047724795,0.10058551,0.4146627
0.3641257,0.10248865,0.043782912,0.2198015,0.5928822,0.24679126,0.15622343,0.12580886,0.10962084,0.13100062,0.16145426,0.44974372
0.34127316,0.1294144,0.13508922,0.25742388,0.5481309,0.38577107,0.7434456,0.43387067,0.31724077,0.41428554,0.18500708,0.25186807
0.5835641,0.26013964,0.17769355,0.16659674,0.22819996,0.25855702,0.61488944,0.5684427,0.18105213,0.2267515,0.2157794,0.35080612
0.20572439,0.109733246,0.11051066,0.24570951,0.56469023,0.34589893,0.2869175,0.5645234,0.50003844,0.21552916,0.18652016,0.3985348
0.3156452,0.24344449,0.3834835,0.4952141,0.57622826,0.2780527,0.3090049,0.45243347,0.41357931,0.30394992,0.35998333,0.53852904
0.5694775,0.35313466,0.33688468,0.29407135,0.40931082,0.20378765,0.37286085,0.5330565,0.2613661,0.23396668,0.26968077,0.6655505
0.26484472,0.21295814,0.2722307,0.20125864,0.47772253,0.25823587,0.20435682,0.27424452,0.10896379,0.09098169,0.07822985,0.232982
0.36599794,0.12809195,0.14238928,0.22725092,0.6296288,0.3868983,0.41096544,0.27152586,0.37732098,0.43775168,0.18571356,0.40736315
0.5559629,0.23861952,0.23616888,0.24282438,0.33923623,0.35220778,0.6722923,0.4422792,0.29361725,0.41433364,0.31302375,0.4411344
0.44185546,0.31948552,0.2569716,0.16706361,0.40209553,0.29995278,0.29194576,0.564844,0.19076066,0.078253224,0.12494147,0.4088383
0.22433077,0.33726314,0.73265755,0.47416297,0.5099814,0.18895862,0.16432492,0.25563228,0.15707284,0.21635887,0.13916235,0.37611318
0.6948313,0.50927204,0.5948969,0.32649356,0.32724887,0.19347227,0.3062653,0.4429075,0.34268814,0.30697042,0.36573958,0.8189786
0.59300697,0.4198225,0.36210552,0.3665264,0.5169376,0.40837914,0.46292222,0.56301576,0.39805415,0.32972085,0.37763768,0.624865
0.23910668,0.0641834,0.043068565,0.27495196,0.73620355,0.5402474,0.18096544,0.07408242,0.060541127,0.1468691,0.15574075,0.35095027
0.48047045,0.24785854,0.14362486,0.25218934,0.57330567,0.47194973,0.2565647,0.26115283,0.28074956,0.4731271,0.2915721,0.3099532
0.48490906,0.24532214,0.17409714,0.21957883,0.44683477,0.26879114,0.32979974,0.753085,0.2420039,0.14348252,0.0873266,0.20007314
0.2153106,0.32377908,0.36110786,0.2525798,0.43217525,0.3349122,0.34934163,0.50691986,0.27030715,0.12337153,0.053338684,0.11425515
0.49350283,0.40337887,0.522425,0.37832707,0.61729425,0.37969154,0.3103791,0.27046418,0.18306388,0.2544505,0.17731704,0.30471453
0.75467014,0.46860924,0.26556993,0.16181111,0.236055,0.2505314,0.29554585,0.6139447,0.36662194,0.21900295,0.24442358,0.4084557
0.20808364,0.14650652,0.13536902,0.2182845,0.4850531,0.26232576,0.30516136,0.37983942,0.32236043,0.23138231,0.07741468,0.12996349
0.36913276,0.17853951,0.1145283,0.2641116,0.7182061,0.45466515,0.49427378,0.24101949,0.3138251,0.49684268,0.21406728,0.2237465
0.5745435,0.4033954,0.31499353,0.31195724,0.36918908,0.3423237,0.6037568,0.58830255,0.41618326,0.33462617,0.32933497,0.43803427
0.3716982,0.19791459,0.17642035,0.20977983,0.48990822,0.5603082,0.49902424,0.48764268,0.28556022,0.16724624,0.14918639,0.40617916
0.1036743,0.21004514,0.32948112,0.3933139,0.71943545,0.25750625,0.25088242,0.17243852,0.20856811,0.089672096,0.09168358,0.20318557
0.8075289,0.50767255,0.28415814,0.17003013,0.18753396,0.14305617,0.25595412,0.30355874,0.1623978,0.12173801,0.1289852,0.3871927
0.23140974,0.18533011,0.4770544,0.3215601,0.22453593,0.23592459,0.24594888,0.5344763,0.23130636,0.32602936,0.22128546,0.3585331
0.29800993,0.09135267,0.06516407,0.24475053,0.64201015,0.3290168,0.20213966,0.21180616,0.18062763,0.14108978,0.108552165,0.2716039
0.52706796,0.27046975,0.1799337,0.19008175,0.35868832,0.3399223,0.67964876,0.35246384,0.31346616,0.4661413,0.25704682,0.33882847
0.5792814,0.30640677,0.2536702,0.2438907,0.3739576,0.33853832,0.5577623,0.55231893,0.323244,0.35600242,0.34001866,0.5191471
0.09666728,0.062673174,0.118809834,0.33292377,0.71422637,0.27134058,0.20918082,0.36550325,0.13537751,0.048471663,0.08222033,0.21565664
0.56733614,0.27386746,0.30445668,0.27795437,0.4403496,0.21738939,0.24724561,0.29636794,0.10476861,0.12526509,0.1999713,0.59475875
0.68245256,0.22869873,0.14120875,0.13905945,0.26005754,0.27260065,0.45453075,0.47084248,0.13391241,0.20691912,0.20079868,0.5859671
