Second,Count,0,1,2,3,4,5,6,7,8,9,10,11
0.0,387,0.35209382,0.49318904,0.6020897,0.7101597,0.84596765,0.55675715,0.22639701,0.15466623,0.16292894,0.17055468,0.17254847,0.24059753
0.5,714,0.32004735,0.7328233,0.32173803,0.12177095,0.2798824,0.71207726,0.34420782,0.2459907,0.36427772,0.23171762,0.0730476,0.09522997
1.0,690,0.24270748,0.60076416,0.23515464,0.15319444,0.41529456,1.0,0.47132272,0.3796564,0.52437335,0.31644824,0.1220216,0.07477796
1.5,736,0.2850479,0.73807365,0.25256327,0.13224728,0.38626632,0.99424565,0.43879557,0.38399318,0.58342165,0.34637612,0.11790383,0.06564602
2.0,738,0.36758238,0.8227615,0.2958499,0.13633907,0.34943494,0.9369135,0.43214595,0.4012821,0.6177492,0.40026376,0.16729078,0.12322689
2.5,702,0.4671245,0.70574325,0.25229704,0.0837174,0.32386175,0.91901493,0.4928429,0.4980396,0.8530571,0.7320306,0.48452762,0.38380575
3.0,716,0.6203914,0.93332726,0.31384915,0.075317435,0.27745318,0.896047,0.403103,0.4510242,0.8316015,0.6752348,0.4958606,0.46143275
3.5,832,0.4457371,0.9042793,0.27922454,0.05706634,0.29939124,0.9637188,0.3422467,0.3385363,0.7306315,0.48796207,0.3047947,0.25030524
4.0,842,0.3389454,0.73610884,0.2618798,0.069617644,0.243627,0.8637982,0.43251207,0.25561172,0.41032046,0.24828124,0.15660037,0.14703302
4.5,888,0.32856217,0.7452289,0.5160615,0.3531093,0.2294464,0.33880743,0.94246334,0.41963807,0.30903038,0.15194465,0.041018166,0.10096777
5.0,1133,0.2831228,0.7244004,0.49744245,0.39946556,0.2700858,0.33008832,1.0,0.48144588,0.605521,0.26391178,0.03412589,0.05764857
5.5,1363,0.23859213,0.64260775,0.48567927,0.42368254,0.3110775,0.3710771,1.0,0.46589825,0.55764985,0.24580096,0.033196,0.043509826
6.0,1872,0.2674879,0.5813667,0.42928874,0.39793524,0.3542582,0.49031603,0.8576607,0.41839635,0.52329606,0.23814225,0.060616843,0.08281228
6.5,2321,0.60076994,0.9922937,0.5969866,0.33333826,0.29108688,0.5502645,0.21444179,0.19568288,0.37906304,0.23673989,0.16427268,0.31736314
7.0,2289,0.5203786,0.963109,0.5085607,0.2678104,0.35905883,0.81599504,0.29730663,0.20105347,0.42430314,0.2360898,0.12826107,0.23589076
7.5,1958,0.53601086,0.8892352,0.52342516,0.3544895,0.43014637,0.7322373,0.28126705,0.34292358,0.6066768,0.38440695,0.26181236,0.30312788
8.0,1751,0.5076446,0.88114226,0.65062886,0.52889806,0.5553307,0.8711586,0.44654816,0.4375106,0.68679976,0.52802145,0.3425963,0.3052855
8.5,1635,0.364668,0.6471274,0.50571084,0.634594,0.6614233,0.6806677,0.5759455,0.55775875,0.48512703,0.3395584,0.3350293,0.28812677
9.0,1676,0.54295987,0.928447,0.5090938,0.29904127,0.26230583,0.33373228,0.21552396,0.21678007,0.29437342,0.2513912,0.21480146,0.28575137
9.5,1592,0.47499627,0.79337984,0.6654045,0.46385396,0.39988852,0.4572594,0.27059123,0.24290863,0.30737868,0.30000237,0.24661683,0.2745055
10.0,1609,0.45713532,0.8110933,0.5193845,0.41541478,0.5401313,0.8148536,0.5571267,0.506139,0.58659095,0.42435446,0.2993427,0.2978797
10.5,1551,0.2527363,0.31326404,0.36649945,0.5487514,0.5282508,0.622875,0.38061813,0.28407648,0.33757785,0.29959902,0.41984856,0.40893003
11.0,1566,0.5424495,0.79832023,0.45800492,0.33043224,0.21064773,0.3049113,0.18489328,0.24193595,0.4500131,0.32220155,0.3013374,0.35806948
11.5,1526,0.3676868,0.6352423,0.4372414,0.18307264,0.30163917,0.47900045,0.19272763,0.22269976,0.46515363,0.28774413,0.12255115,0.16240788
12.0,1613,0.54216653,0.87990206,0.6319685,0.40919867,0.36048427,0.49258956,0.33294863,0.34686375,0.52279115,0.46810266,0.40540993,0.386343
12.5,1778,0.2925518,0.47954115,0.79227936,0.89141613,0.59443605,0.3410319,0.3625879,0.3666533,0.32214043,0.36510602,0.49698249,0.31440315
13.0,1887,0.4303251,0.65802824,0.6810743,0.8210983,0.36295664,0.27145162,0.2481287,0.21899465,0.35004252,0.39104217,0.36683893,0.35131478
13.5,2015,0.17314705,0.27899826,0.56398106,0.95980364,0.4880483,0.1849753,0.18883707,0.17486133,0.18087736,0.19126983,0.33440578,0.18213062
14.0,2293,0.35635665,0.5213352,0.55379915,0.8112028,0.39956504,0.24765307,0.37402052,0.3421106,0.39352882,0.3148087,0.30468503,0.25470358
14.5,2597,0.47847438,0.6658941,0.7144266,0.7784431,0.5449516,0.4348528,0.3280207,0.3609048,0.4106381,0.36492223,0.3438633,0.3478805
15.0,2909,0.5454079,0.66532904,0.49949962,0.5373544,0.31396657,0.30600923,0.21924724,0.29060242,0.5443427,0.40702918,0.33395663,0.40570658
15.5,3119,0.43530157,0.7048384,0.34846044,0.16832916,0.31839427,0.47638664,0.19910693,0.32349396,0.6549671,0.3244357,0.18723275,0.21553239
16.0,3334,0.51708794,0.88142794,0.46491596,0.22372681,0.318154,0.67467314,0.31754258,0.31300688,0.5469736,0.40204087,0.2811817,0.3140969
16.5,3696,0.31893015,0.54828143,0.41307175,0.60376847,0.50663954,0.53348947,0.47180966,0.4853856,0.49596506,0.4289708,0.5583186,0.35418394
17.0,3937,0.35829473,0.66041845,0.4875282,0.46646535,0.41737884,0.5598421,0.42601624,0.45239693,0.55155104,0.46937114,0.49142122,0.30092892
17.5,4229,0.48801285,0.7412383,0.49793762,0.34938887,0.41039264,0.682453,0.4008632,0.3769582,0.5617257,0.39210156,0.2779162,0.31939414
18.0,4498,0.51234233,0.8692456,0.5649379,0.43538612,0.5211824,0.75459796,0.57155627,0.59702796,0.7214954,0.5185324,0.34175044,0.3387945
18.5,4814,0.5529576,0.58168966,0.49568224,0.5146661,0.5515303,0.7637531,0.57250607,0.54625213,0.7232306,0.6826642,0.6493456,0.5401889
19.0,4948,0.53185976,0.90249527,0.5551374,0.34785295,0.2344023,0.2529068,0.15508772,0.15595956,0.2603988,0.22861698,0.2208396,0.30224493
19.5,5102,0.4813682,0.8757666,0.6786058,0.6033019,0.3089086,0.2873958,0.1699327,0.15693837,0.21838593,0.2364382,0.23839578,0.30508375
20.0,5339,0.5137714,0.83015406,0.5059899,0.37313622,0.47203702,0.8492947,0.46698973,0.42793947,0.6563481,0.5151863,0.41900337,0.37788555
20.5,5475,0.41680646,0.71858174,0.8724934,0.80035895,0.58711445,0.43113998,0.4760799,0.48482043,0.44054896,0.4970439,0.71968883,0.46186018
