Second,Count,Onset Strength
0.0,387,0.7068863
0.5,714,0.57103306
1.0,690,0.46327794
1.5,736,0.47936985
2.0,738,0.7698438
2.5,702,0.51082534
3.0,716,0.5875226
3.5,832,0.4773991
4.0,842,0.78872377
4.5,888,0.4972487
5.0,1133,0.45094934
5.5,1363,0.4314553
6.0,1872,0.7652121
6.5,2321,0.42639777
7.0,2289,0.7563307
7.5,1958,1.2487394
8.0,1751,1.4552201
8.5,1635,1.4790542
9.0,1676,1.3116767
9.5,1592,1.5897882
10.0,1609,1.1972872
10.5,1551,1.5883552
11.0,1566,1.3395069
11.5,1526,1.3860595
12.0,1613,1.3202194
12.5,1778,1.4285737
13.0,1887,1.1357114
13.5,2015,1.4004655
14.0,2293,1.3468158
14.5,2597,1.5982118
15.0,2909,1.2186743
15.5,3119,1.3689116
16.0,3334,1.1000586
16.5,3696,1.4352885
17.0,3937,1.4906101
17.5,4229,1.6921589
18.0,4498,1.2706965
18.5,4814,1.5759329
19.0,4948,1.2882683
19.5,5102,1.3378679
20.0,5339,1.1544812
20.5,5475,1.4568726
21.0,5582,1.3657422
21.5,5655,1.4114834
22.0,5653,1.4038875
22.5,5594,1.4332772
23.0,5524,1.1171184
23.5,5419,1.2373165
24.0,5383,1.3502659
24.5,5109,1.4089459
25.0,5232,1.3314399
25.5,5174,1.2702674
26.0,5261,1.118158
26.5,5185,1.5295655
27.0,5193,1.356119
27.5,5059,1.4485143
28.0,5056,1.1338056
28.5,4935,1.5848887
29.0,4813,1.3689704
29.5,4756,1.3874246
30.0,4748,1.0898914
30.5,4588,1.1970428
31.0,4626,1.2606869
31.5,4762,1.5998331
32.0,4879,1.1684074
32.5,4726,1.5520539
33.0,4759,1.4794542
33.5,4647,1.2822732
34.0,4758,1.1541678
34.5,4695,1.5162107
35.0,4552,1.4599123
35.5,4574,1.2865542
36.0,4633,1.1474981
36.5,4494,1.5301404
37.0,4762,1.3585862
37.5,4551,1.3577622
38.0,4248,1.395172
38.5,4375,1.2415996
39.0,4168,1.3466222
39.5,4143,1.2741793
40.0,4046,1.3288145
40.5,3968,1.0450635
41.0,3708,1.0924664
41.5,3687,1.3006792
42.0,3647,1.3624495
42.5,3755,1.1050344
43.0,3619,1.2008239
43.5,3587,1.2899367
44.0,3657,1.3070598
44.5,3557,1.2165289
45.0,3716,1.2767631
45.5,3662,1.3013127
46.0,3675,1.1734104
46.5,3667,1.1303216
47.0,3756,1.0975627
47.5,3949,1.3485175
48.0,3891,1.1535112
48.5,3900,1.037788
49.0,3904,1.0604382
49.5,4132,1.499447
50.0,4045,1.2736889
50.5,4069,1.0889378
51.0,4049,1.1327249
51.5,4201,1.2171805
52.0,4297,1.2056662
52.5,4133,1.1240882
53.0,4179,1.146221
53.5,4250,1.4218607
54.0,4021,1.1813025
54.5,4059,1.1597348
55.0,4078,1.1865596
55.5,4020,1.2545383
56.0,4010,1.1605754
56.5,3927,1.130026
57.0,4041,1.1013539
57.5,3710,1.3141866
58.0,3690,1.2034281
58.5,3579,1.2554011
59.0,3645,1.1282846
59.5,3492,1.2480025
60.0,3546,1.2093698
60.5,3341,1.0903986
61.0,3363,1.1855036
61.5,3371,1.3731438
62.0,3271,1.2946465
62.5,3348,1.1751775
63.0,3217,1.0548689
63.5,3148,1.2411741
64.0,3060,1.0805602
64.5,3023,1.0652153
65.0,3014,1.0253932
65.5,2981,1.2237161
66.0,3052,1.3615242
66.5,3046,1.0948701
67.0,3020,1.1648978
67.5,3012,1.3954858
68.0,2986,1.2362751
68.5,3032,1.1608758
69.0,3049,1.1732332
69.5,2997,1.3823968
70.0,2884,1.1655045
70.5,2895,1.1454419
71.0,2862,1.2377338
71.5,2886,1.1584077
72.0,2852,1.2637097
72.5,2867,1.2899766
73.0,2682,1.4171088
73.5,2723,1.3254392
74.0,2735,1.0528327
74.5,2661,1.3491865
75.0,2672,1.4588977
75.5,2615,1.0545728
76.0,2532,1.260261
76.5,2386,1.2847545
77.0,2467,1.4474096
77.5,2421,0.92140365
78.0,2415,1.7052261
78.5,2343,1.2574413
79.0,2349,1.4734946
79.5,2282,1.0291783
80.0,2260,1.1605299
80.5,2221,1.3899336
81.0,2270,1.4532272
81.5,2265,1.2226651
82.0,2263,1.4748408
82.5,2215,1.4043201
83.0,2198,1.5811942
83.5,2297,1.0253028
84.0,2242,1.2193528
84.5,2124,1.2274914
85.0,2106,1.299954
85.5,2206,1.2577308
86.0,2229,1.4448247
86.5,2154,1.3062845
87.0,2196,1.3525798
87.5,2416,1.2179657
88.0,2341,1.3853015
88.5,2482,1.128646
89.0,2292,1.2684556
89.5,2379,1.0936024
90.0,2113,1.2520316
90.5,2035,1.375485
91.0,2059,1.3478894
91.5,1932,1.2813582
92.0,1855,1.2206463
92.5,1859,1.3492601
93.0,1791,1.3859771
93.5,1862,1.2193555
94.0,1821,1.2315651
94.5,1722,1.0913969
95.0,1889,1.1554376
95.5,1759,1.2178718
96.0,1867,1.489575
96.5,1773,1.2529616
97.0,1697,1.2778735
97.5,1795,1.1946285
98.0,1913,1.2132949
98.5,1907,1.344744
99.0,1921,1.3590668
99.5,1903,1.3660412
100.0,1966,1.2174424
100.5,1893,1.1158711
101.0,1895,1.4343998
101.5,1902,1.2116565
102.0,1851,1.4151121
102.5,1752,1.0414944
103.0,1745,1.3655028
103.5,1770,1.3959855
104.0,1661,1.1524476
104.5,1639,1.2367129
105.0,1684,1.0358601
105.5,1500,0.99888515
106.0,1588,1.2108021
106.5,1614,1.2098194
107.0,1583,1.2030063
107.5,1660,1.2476834
108.0,1716,1.3418677
108.5,1640,1.0730573
