Second,Count,Onset Strength
123.5,1726,1.1330856
124.0,1754,1.1654731
124.5,1729,1.1653267
125.0,1728,1.1924409
125.5,1710,0.9695328
126.0,1705,1.2296414
126.5,1614,1.097093
127.0,1610,1.0139014
127.5,1668,1.2896442
128.0,1532,1.2981726
128.5,1533,1.1269864
129.0,1442,1.5569206
129.5,1444,1.1277303
130.0,1551,1.0503056
130.5,1439,1.273077
131.0,1538,1.3036032
131.5,1466,1.1215905
132.0,1478,1.6205082
132.5,1448,1.0834433
133.0,1344,0.98897976
133.5,1400,1.2046238
134.0,1353,1.2496889
134.5,1401,1.0794697
135.0,1343,1.4766527
135.5,1282,1.089154
136.0,1320,1.0368167
136.5,1176,1.2535896
137.0,1154,1.1832013
137.5,1172,1.0216041
138.0,1113,1.1363819
138.5,1052,1.0944982
139.0,1070,1.4067831
139.5,1097,1.361127
140.0,1151,1.4567653
140.5,1064,1.4021255
141.0,1039,1.6937764
141.5,989,1.7173384
142.0,965,1.3881756
142.5,832,1.7559128
143.0,840,1.5833501
143.5,849,1.3286312
144.0,950,1.8771394
144.5,942,1.4857041
145.0,928,1.2060593
145.5,930,1.4837823
146.0,940,1.9322845
146.5,970,1.5135957
147.0,990,1.643255
147.5,993,1.4850212
148.0,1054,1.2096857
148.5,903,1.3286804
149.0,999,1.8526037
149.5,1068,1.1037117
150.0,1061,1.4244186
150.5,1021,1.4356993
151.0,989,1.1706707
151.5,962,1.6191533
152.0,1000,1.7865449
152.5,1059,1.183142
153.0,1034,1.5069671
153.5,1040,1.3781468
154.0,1141,1.1443809
154.5,1122,1.47128
155.0,1101,1.7943566
155.5,1195,1.1263489
156.0,1288,1.7546794
156.5,1209,1.4170474
157.0,1222,1.1157539
157.5,1236,1.639631
158.0,1312,1.6584799
158.5,1323,1.1728933
159.0,1345,1.4147711
159.5,1339,1.388878
160.0,1289,1.097947
160.5,1498,1.654666
161.0,1510,1.2102575
161.5,1624,1.2890775
162.0,1797,1.241016
162.5,1741,1.2710934
163.0,1770,0.38659498
163.5,1720,1.4461346
164.0,1676,1.5905763
164.5,1562,1.2718217
165.0,1588,1.2689877
165.5,1549,1.1571783
166.0,1653,0.9892215
166.5,1539,1.0869703
167.0,1565,1.0708994
167.5,1454,1.1375346
168.0,1602,1.2412105
168.5,1529,1.0376408
169.0,1543,1.0345777
169.5,1591,1.1134028
170.0,1573,1.1228431
170.5,1537,1.1427261
171.0,1560,1.1470845
171.5,1691,1.151438
172.0,1753,1.1067903
172.5,1723,1.0849354
173.0,1756,1.1856464
173.5,1704,1.1150157
174.0,1795,1.2262297
174.5,1801,1.0744333
175.0,1832,1.158996
175.5,1754,1.2499499
176.0,1814,1.1316768
176.5,1816,1.1746082
177.0,1802,1.0998027
177.5,1878,1.1904844
178.0,1792,1.0604235
178.5,1813,1.1820643
179.0,1776,1.0468658
179.5,1892,1.3502214
180.0,1814,1.2976245
180.5,1823,1.117764
181.0,1797,1.1259749
181.5,1850,1.1994796
182.0,1715,1.0780025
182.5,1726,1.3348953
183.0,1640,1.2241796
183.5,1629,1.0874009
184.0,1684,1.0943861
184.5,1675,1.1196632
185.0,1668,1.108223
185.5,1573,1.1449205
186.0,1466,1.32866
186.5,1448,1.0522339
187.0,1485,1.1477379
187.5,1296,1.1781734
188.0,1228,1.0033956
188.5,1158,1.2270083
189.0,1054,1.1661984
189.5,1023,1.0762446
190.0,936,1.0256188
190.5,868,1.1180192
191.0,817,1.0165067
191.5,828,1.3888868
192.0,843,1.4255608
192.5,821,1.105824
193.0,871,1.1154501
193.5,857,1.201413
194.0,813,1.0477223
194.5,763,1.3389184
195.0,705,1.3559669
