Second,Count,Onset Strength
0.0,439,0.92402774
0.5,788,1.2546942
1.0,813,0.91065323
1.5,789,0.7088669
2.0,857,1.3203593
2.5,878,0.6354695
3.0,997,1.3270453
3.5,1157,0.961524
4.0,1277,0.7063981
4.5,1256,1.2955723
5.0,1167,1.1236203
5.5,1144,1.1127299
6.0,1088,1.4672269
6.5,1100,1.3212879
7.0,1123,1.5079077
7.5,1202,1.4775027
8.0,1206,1.3027692
8.5,1201,1.5196689
9.0,1280,1.2820977
9.5,1272,1.7447438
10.0,1406,1.7752649
10.5,1520,1.052401
11.0,1759,1.7553383
11.5,1901,1.3923012
12.0,2024,1.5141279
12.5,2190,1.5274702
13.0,2422,1.2041928
13.5,2747,1.6096988
14.0,2802,1.3942547
14.5,3119,1.577922
15.0,3223,1.624134
15.5,3468,1.1469114
16.0,3530,1.6804184
16.5,3746,1.8164914
17.0,3876,1.6085346
17.5,3895,1.5754781
18.0,4060,1.4561623
18.5,4145,1.7690779
19.0,4052,1.807218
19.5,4075,1.6537544
20.0,4113,1.9021294
20.5,4112,1.091412
21.0,4104,1.6808032
21.5,4013,1.1984372
22.0,4054,1.6337553
22.5,4109,1.2211193
23.0,3945,0.86263615
23.5,3800,1.2218252
24.0,3937,1.1043671
24.5,4046,1.6387838
25.0,3970,1.3381104
25.5,3796,0.98307127
26.0,3705,1.3729848
26.5,3793,1.306565
27.0,3715,1.6205175
27.5,3673,1.46641
28.0,3673,1.124426
28.5,3696,1.3437136
29.0,3425,1.6289463
29.5,3327,1.5593251
30.0,3329,1.6397513
30.5,3334,1.0092994
31.0,3269,1.4494324
31.5,3279,1.2724962
32.0,3267,1.5376173
32.5,3203,1.4945697
33.0,3241,1.1193106
33.5,3134,1.3485144
34.0,3318,1.5250545
34.5,3123,1.581911
35.0,3153,1.5061803
35.5,3221,1.1256447
36.0,3274,1.3678375
36.5,3198,1.248849
37.0,3192,2.0421607
37.5,3138,1.7649543
38.0,3063,1.2952318
38.5,3141,1.465026
39.0,3207,1.4663327
39.5,3157,1.6767848
40.0,3107,1.6798456
40.5,2930,1.3244598
41.0,3029,1.2924019
41.5,2818,1.2872534
42.0,2862,1.7333562
42.5,2844,1.7042469
43.0,3062,1.6452662
43.5,2867,1.6884766
44.0,3031,1.7283521
44.5,2885,1.706301
45.0,2837,1.5274997
45.5,2724,1.0416225
46.0,2578,1.2775044
46.5,2628,1.1723968
47.0,2398,1.2528535
47.5,2489,1.0678481
48.0,2364,1.1735255
48.5,2373,1.444182
49.0,2215,1.2919972
49.5,2378,1.4043148
50.0,2313,1.1919937
50.5,2433,1.0484228
51.0,2451,1.3324077
51.5,2450,1.186325
52.0,2572,1.3970394
52.5,2676,1.1573173
53.0,2761,1.391292
53.5,2799,1.1678063
54.0,2993,1.3008249
54.5,3112,1.6020806
55.0,3223,1.2604798
55.5,3447,1.1154021
56.0,3519,1.2116227
56.5,3570,0.98216325
57.0,3741,1.4818755
57.5,3863,1.1818357
58.0,3957,1.1908685
58.5,4091,1.2999771
59.0,4097,1.0807948
59.5,4026,1.4292871
60.0,4088,1.2174455
60.5,4173,1.2235122
61.0,4050,1.3284342
61.5,3947,0.89231706
62.0,3997,1.5604247
62.5,3842,1.1879289
63.0,3943,1.3228121
63.5,4033,1.2944696
64.0,3993,1.1040843
64.5,4028,1.3465958
65.0,3890,1.1604071
65.5,3727,1.0912796
66.0,3671,1.0801771
66.5,3605,0.9972294
67.0,3389,1.2556055
67.5,3388,1.0432488
68.0,3445,1.1500776
68.5,3313,1.2149324
69.0,3260,1.1209762
69.5,3377,1.4341674
70.0,3317,1.0096427
70.5,3381,1.097329
71.0,3265,1.1830189
71.5,3260,1.0823519
72.0,3243,1.3738431
72.5,3443,1.0929272
73.0,3448,1.1438422
73.5,3349,1.2450913
74.0,3343,1.1179633
74.5,3563,1.3828723
75.0,3396,1.0603753
75.5,3490,1.0949538
