Second,Count,Onset Strength
0.0,248,0.61514413
0.5,466,0.5798271
1.0,451,0.5945822
1.5,510,0.6267138
2.0,663,0.7367465
2.5,837,0.5930476
3.0,798,0.5944265
3.5,772,0.6369318
4.0,765,0.6351699
4.5,722,1.6489091
5.0,725,1.2788777
5.5,768,1.0560343
6.0,772,0.8411718
6.5,805,0.6026401
7.0,802,1.406315
7.5,815,1.1683757
8.0,901,1.307123
8.5,902,0.8504114
9.0,1015,0.66351694
9.5,1217,1.2932537
10.0,1261,1.498829
10.5,1403,1.5129886
11.0,1480,0.9181618
11.5,1833,0.8621097
12.0,1922,0.6275971
12.5,2142,1.4204072
13.0,2336,1.1651199
13.5,2561,1.2954571
14.0,2876,0.86730176
14.5,3110,1.0024579
15.0,3368,1.3648403
15.5,3482,1.423203
16.0,3881,1.1426569
16.5,3902,1.2699809
17.0,4013,0.8004147
17.5,3924,1.107174
18.0,3847,1.4686879
18.5,3903,1.1952235
19.0,4053,1.1022872
19.5,4158,0.67628616
20.0,4107,0.6520097
20.5,4174,1.087647
21.0,4110,1.2838329
21.5,4159,1.1399118
22.0,4172,1.2011617
22.5,4195,1.0096883
23.0,4115,0.99865645
23.5,4046,1.6989266
24.0,4095,1.4138458
24.5,4094,1.5036144
25.0,4067,1.1189876
25.5,4080,0.89562225
26.0,4069,0.8742075
26.5,4092,1.5024567
27.0,3954,1.3074254
27.5,3763,1.3683723
28.0,3653,1.2393844
28.5,3798,1.2654145
29.0,3740,1.1571356
29.5,3768,1.3808043
30.0,3710,1.2500994
30.5,3762,1.2571687
31.0,3633,1.2422783
31.5,3810,1.2876123
32.0,3890,1.3101152
32.5,3846,1.2806793
33.0,3699,1.2272745
33.5,3610,1.2096292
34.0,3502,1.2676171
34.5,3861,1.0910869
35.0,4231,1.298004
35.5,4472,1.1606269
36.0,4384,0.98551345
36.5,4470,1.2853885
37.0,4372,1.1511956
37.5,4106,1.7431484
38.0,4161,1.6807786
38.5,3992,1.3633455
39.0,3829,1.1720513
39.5,3618,1.0867772
40.0,3572,1.2060132
40.5,3303,1.3135463
41.0,3125,1.1307814
41.5,3063,1.2409714
42.0,3221,1.0383229
42.5,3375,1.218604
43.0,3450,1.2899526
43.5,3797,1.1103921
44.0,3918,1.1910369
44.5,4021,1.1284004
45.0,4206,1.0517002
45.5,4411,1.0910335
46.0,4536,1.118273
46.5,4708,1.1432827
47.0,5084,1.2717435
47.5,5111,1.0544583
48.0,5373,1.2782211
48.5,5490,1.3083081
49.0,5806,1.2405385
49.5,5891,1.0880558
50.0,5972,1.1146586
50.5,5761,1.1132315
51.0,5945,1.1819382
51.5,6064,1.2332327
52.0,5941,1.1483673
52.5,6030,1.3090396
53.0,5801,1.0194776
53.5,5729,1.2219886
54.0,5506,1.2277764
54.5,5539,1.2434776
55.0,4959,1.1327585
55.5,5157,1.1438133
56.0,5193,1.0825572
56.5,5242,1.3302981
57.0,5189,1.0930077
57.5,5013,1.26202
58.0,4686,1.2509402
58.5,4669,1.1418198
59.0,4504,1.1791427
59.5,4379,1.2427977
60.0,4368,1.2887499
60.5,4144,0.99772424
61.0,4098,1.1032543
61.5,4017,1.1886369
62.0,3829,1.3747917
62.5,3765,1.0799794
63.0,3705,1.3831813
63.5,3618,1.448581
64.0,3604,1.853091
64.5,3265,1.83549
65.0,3052,1.4091427
65.5,3164,1.5523906
66.0,3012,0.9026703
66.5,2848,1.2492155
67.0,2720,1.3217355
67.5,2666,1.6306134
68.0,2678,0.93652654
68.5,2560,1.3496741
69.0,2533,1.201386
69.5,2509,1.5066745
70.0,2442,1.2710153
70.5,2419,1.3562545
71.0,2403,1.4954361
71.5,2446,1.6413264
72.0,2262,1.1492058
72.5,2284,1.1285278
73.0,2204,1.663597
73.5,2373,0.9876827
74.0,2318,1.4563032
74.5,2237,1.1490803
75.0,2209,0.71241635
75.5,2269,1.4297867
76.0,2344,1.2602634
76.5,2217,1.3304684
77.0,2312,1.5049187
77.5,2240,0.8999122
78.0,2198,1.4222833
78.5,2190,1.1334449
79.0,2251,1.1882149
79.5,2195,1.2958294
80.0,2239,1.2245206
80.5,2116,1.3114387
81.0,2143,1.3060782
81.5,2129,1.4003177
82.0,2053,1.2622372
82.5,1991,1.4475727
83.0,2037,1.0942856
83.5,2077,1.2955797
84.0,1981,1.2962435
84.5,2050,1.5372125
85.0,2049,1.068556
85.5,1903,1.0087963
86.0,1899,0.7628094
86.5,1832,1.4585913
87.0,1892,1.3108869
87.5,1903,1.2915695
88.0,1912,1.3055824
88.5,1838,1.0130188
89.0,1926,1.3922094
89.5,1764,1.314286
90.0,1726,1.3807214
90.5,1754,1.018277
91.0,1730,1.2168914
91.5,1664,1.2207855
92.0,1843,1.3674701
