boundaries,labels
0.3250793650793651,10
25.356190476190477,3
25.727709750566895,3
26.145668934240362,8
26.51718820861678,3
26.888707482993198,8
27.260226757369615,3
28.003265306122447,1
28.374784580498865,8
28.746303854875283,1
29.90730158730159,8
30.325260770975056,1
30.696780045351474,2
31.068299319727892,1
31.43981859410431,0
31.811337868480727,1
32.182857142857145,0
32.55437641723356,1
32.92589569160998,2
33.34385487528345,5
33.715374149659866,2
34.08689342403628,3
34.4584126984127,2
37.151927437641724,3
37.52344671201814,0
37.89496598639456,1
38.26648526077098,2
38.638004535147395,1
39.00952380952381,3
39.42748299319728,1
39.7990022675737,8
40.170521541950116,1
41.65659863945578,8
42.0281179138322,2
42.44607709750567,8
42.81759637188209,2
43.23555555555556,8
43.607074829931975,2
43.97859410430839,1
44.35011337868481,2
44.72163265306123,1
45.09315192743764,3
45.464671201814056,1
45.836190476190474,8
46.20770975056689,1
47.74022675736961,8
48.11174603174603,2
49.27274376417233,8
49.64426303854875,5
50.01578231292517,1
50.387301587301586,2
50.80526077097505,1
51.17678004535147,2
51.54829931972789,1
51.96625850340136,2
52.33777777777778,1
57.2604081632653,3
57.63192743764172,1
58.00344671201814,2
58.37496598639456,1
58.792925170068024,2
59.16444444444444,1
59.53596371882086,2
59.90748299319728,1
60.279002267573695,2
60.65052154195011,1
61.02204081632653,2
61.39356009070295,7
61.765079365079366,2
62.136598639455784,1
62.5081179138322,5
62.92607709750567,7
63.344036281179136,2
63.715555555555554,3
64.08707482993198,2
69.42766439909298,3
69.79918367346939,1
70.17070294784581,2
70.54222222222222,1
70.91374149659863,2
71.28526077097506,1
71.65678004535147,2
72.02829931972789,1
72.44625850340137,2
72.81777777777778,1
73.18929705215419,2
73.56081632653061,7
73.97877551020409,2
74.3502947845805,4
74.72181405895692,2
75.09333333333333,1
75.46485260770974,8
76.25433106575964,8
76.62585034013605,1
77.36888888888889,8
78.11192743764173,1
78.5298866213152,7
78.90140589569161,5
79.27292517006802,7
79.64444444444445,4
80.01596371882086,2
80.43392290249433,4
80.80544217687074,2
81.17696145124717,4
81.54848072562358,3
81.96643990929705,1
82.33795918367348,8
82.70947845804989,1
83.8704761904762,8
84.24199546485261,5
84.61351473922902,7
84.98503401360544,5
85.35655328798185,0
85.72807256235828,1
86.09959183673469,0
86.51755102040816,1
86.88907029478457,0
87.260589569161,5
87.63210884353741,2
88.00362811791383,5
88.37514739229024,8
88.79310657596372,1
89.16462585034013,8
89.53614512471655,1
89.90766439909297,1
90.27918367346939,5
90.6507029478458,2
91.06866213151928,4
91.44018140589569,2
91.81170068027211,4
92.18321995464852,2
92.55473922902495,4
92.9726984126984,1
93.34421768707483,3
93.71573696145124,3
94.08725623582767,1
94.45877551020408,8
95.9912925170068,5
96.36281179138322,8
96.73433106575963,2
97.10585034013606,8
97.47736961451247,2
97.89532879818594,8
98.26684807256235,2
98.63836734693878,1
99.00988662131519,2
99.42784580498866,1
99.79936507936507,2
100.1708843537415,1
103.97895691609978,3
104.35047619047619,6
104.72199546485261,9
105.09351473922902,6
105.46503401360545,9
105.8829931972789,6
106.25451247165533,9
106.62603174603174,6
106.99755102040817,9
107.36907029478458,7
107.740589569161,4
108.11210884353741,0
108.9015873015873,4
109.64462585034013,9
110.06258503401361,4
110.43410430839002,0
110.80562358276644,7
111.17714285714285,6
111.54866213151928,9
111.92018140589569,6
112.33814058956916,9
112.70965986394557,6
113.081179138322,9
113.45269841269841,0
113.82421768707484,9
114.19573696145125,0
114.61369614512472,0
115.72825396825397,6
116.09977324263039,4
116.4712925170068,6
116.88925170068028,9
117.63229024943311,7
118.00380952380952,3
118.74684807256236,2
119.16480725623583,3
119.53632653061224,3
120.32580498866213,3
120.69732426303855,3
121.8118820861678,3
122.18340136054422,1
122.55492063492063,2
122.97287981859411,1
123.34439909297052,8
123.71591836734694,1
124.08743764172335,8
124.50539682539683,5
124.87691609977324,8
125.24843537414966,9
125.61995464852608,0
125.9914739229025,9
127.89551020408163,0
128.26702947845806,4
128.63854875283448,6
129.01006802721088,9
129.42802721088435,6
129.79954648526078,9
130.1710657596372,6
130.5425850340136,9
130.91410430839002,6
131.28562358276645,9
131.65714285714284,0
132.02866213151927,9
132.4001814058957,1
132.77170068027212,9
134.3506575963719,3
134.72217687074829,6
135.0936961451247,9
135.51165532879818,6
135.8831746031746,9
136.25469387755103,6
