Second,Type
20,Maxima
24,Minima
36,Maxima
72,Minima
92,Maxima
100,Minima
104,Maxima
124,Minima
128,Maxima
132,Minima
140,Maxima
176,Minima
192,Maxima
200,Minima
204,Maxima
224,Minima
228,Maxima
232,Minima
240,Maxima
244,Minima
248,Maxima
