Second,Type
20,Maxima
32,Minima
36,Maxima
48,Minima
60,Maxima
84,Minima
88,Maxima
96,Minima
100,Maxima
124,Minima
128,Maxima
144,Minima
152,Maxima
156,Minima
160,Maxima
164,Minima
180,Maxima
188,Minima
192,Maxima
