Second,Type
16,Maxima
32,Minima
36,Maxima
40,Minima
48,Maxima
56,Minima
64,Maxima
80,Minima
96,Maxima
100,Minima
104,Maxima
116,Minima
120,Maxima
144,Minima
148,Maxima
156,Minima
172,Maxima
