Second,Type
8,Maxima
12,Minima
32,Maxima
52,Minima
60,Maxima
72,Minima
80,Maxima
88,Minima
96,Maxima
104,Minima
128,Maxima
148,Minima
152,Maxima
164,Minima
172,Maxima
180,Minima
188,Maxima
200,Minima
204,Maxima
