Second,Type
4,Maxima
8,Minima
20,Maxima
24,Minima
32,Maxima
52,Minima
64,Maxima
72,Minima
80,Maxima
100,Minima
104,Maxima
128,Minima
140,Maxima
160,Minima
164,Maxima
168,Minima
176,Maxima
184,Minima
192,Maxima
212,Minima
220,Maxima
