Second,Type
8,Maxima
16,Minima
20,Maxima
24,Minima
28,Maxima
32,Minima
36,Maxima
72,Minima
80,Maxima
88,Minima
92,Maxima
96,Minima
100,Maxima
116,Minima
120,Maxima
124,Minima
128,Maxima
144,Minima
152,Maxima
156,Minima
160,Maxima
