Second,Type
20,Maxima
44,Minima
48,Maxima
92,Minima
100,Maxima
104,Minima
112,Maxima
144,Minima
164,Maxima
168,Minima
176,Maxima
196,Minima
200,Maxima
204,Minima
208,Maxima
