Second,Type
20,Maxima
48,Minima
60,Maxima
68,Minima
76,Maxima
116,Minima
120,Maxima
132,Minima
144,Maxima
156,Minima
160,Maxima
176,Minima
184,Maxima
192,Minima
204,Maxima
216,Minima
220,Maxima
