Second,Count,Band_0,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6
0.0,653,19.93230603424435,11.75499261843993,14.265229353227628,15.622149528350183,16.69506038394615,18.201347970646765,21.31359612642861
0.5,1333,19.30197080767901,11.084570759573769,13.327067064740202,16.19629884951689,17.726007510009413,17.863490535555627,23.16992433779046
1.0,1480,20.922183344388078,11.35881319099881,13.566392199746137,16.515871993393382,17.546662874297983,18.73268753640968,20.223428946979936
1.5,1336,19.53360962887066,8.60380240881422,12.778492380994994,17.113544899263196,17.708532668250054,16.290161477879828,19.44733682793104
2.0,1380,19.837195822076385,9.358224836230589,14.916416371897,19.772023313066768,22.67202987331929,20.668891078280065,27.18176753709198
2.5,1529,20.269991302833013,8.657813643446481,16.87397070455751,22.47352171702686,26.701882273836084,21.14302536054758,27.236580663483707
3.0,1396,22.12554750095652,9.5014561098696,14.693574361383416,19.08540004796254,22.35081581309828,19.44997667773688,26.979790512128883
3.5,1508,24.50832250994829,10.245139910465555,15.172213675273692,17.38298233095565,19.504630597232723,19.62892980161861,22.08683924068585
4.0,1482,22.39279873368954,12.468165737320332,18.784101878581254,19.0084620528491,22.14750750446423,19.455033911197063,29.459203929020617
4.5,1543,22.944986890952254,11.55348881978192,19.06214327407636,21.01064052946216,29.487205703317464,22.011415764313707,28.70138452130152
5.0,1795,18.88150687346324,11.99492901172316,19.761964027463577,19.762812235755167,25.835371423299488,18.730777004269108,33.915863620893155
5.5,1647,19.31263842000931,9.885689843767638,15.985334279132786,16.638599602531805,24.58203361143708,16.675061708644222,35.86860061940254
6.0,1989,18.296599423401112,10.092590091695753,14.429968160607483,16.23333075058828,20.18902407038407,17.628474514523973,35.1970928130499
6.5,2179,17.860320743150226,10.459513303789102,13.550596345840676,15.433471194094755,16.95195837747335,18.79649644359356,31.50700315257099
7.0,2386,15.466849324480334,11.311706742198474,14.897870004991898,16.464557655717407,15.68180361674736,16.006571099617226,36.60638174989944
7.5,2395,24.365368761186087,10.5585672092022,14.436358966771683,15.09007062098711,16.324649715116895,17.934384794554195,32.7361574435113
8.0,2722,20.79787891291452,15.497722874710938,14.32957154850921,15.88427707284591,16.049975318202797,17.29632875545533,33.702546654039416
8.5,2903,21.322937800671117,10.825352521250863,17.382274653585476,17.626104303036794,17.459744926810618,17.99544030627029,35.18623486546269
9.0,2861,19.81653725361257,11.240628697738336,18.14537807765948,19.74876716426937,17.765162899921716,18.090557024278013,32.31247328176987
9.5,2990,17.64504898897275,11.404167763770063,14.974667416111462,18.91305067202413,15.449187301609348,16.24002921820804,36.52708899132895
10.0,3109,19.04207452534624,8.817471599839818,12.672194608815268,14.019378187023726,15.120092078863683,16.067602660763143,34.42595031750338
10.5,3293,17.26559881423115,11.455353409576809,18.292238461417156,15.909048923791396,16.641760677159024,16.894457512812025,33.67836496971318
11.0,3336,18.741262517272887,11.664796324592425,15.647891217160474,15.492116555634505,18.85455325955712,18.56092375190704,36.71860895311095
11.5,3282,16.405793093401552,13.322636942253723,20.95882501978368,18.117565148662354,17.685301144201663,17.532268283766967,34.53070613299092
12.0,3330,15.145981451810256,11.492097251961798,15.92590568393985,16.44626885532973,18.43058191190161,16.016798830331478,36.77224874653959
12.5,3455,20.21323652369889,10.087875948798706,13.377540357686746,17.540426082207638,20.886932909303194,16.79062876215387,32.19994394879294
13.0,3293,17.342043803755406,13.004841153841166,20.35265140211823,19.21339554597751,16.842939918818765,16.8717920731593,37.16388590270957
13.5,3391,18.518541038627813,12.361529510915927,15.610980989980163,15.73448066021236,15.196282952592176,16.120365038334047,35.361910386201295
14.0,3343,19.485897969827946,11.274850582638011,16.385382548821443,15.938843462555726,16.537537634045805,17.51108648857823,37.20092982974869
14.5,3491,17.56301176452124,13.89786733584869,15.739539143626128,17.163362198683426,17.223868011347324,17.449212441548347,37.00430163612192
15.0,3608,22.088264378604133,11.431930499483377,12.253318150077211,16.016513066954595,16.8087490902431,17.66421602695473,32.67025953936378
15.5,3838,19.65945708434672,11.20272893764644,12.81922044787574,15.125433225863665,14.184882497396966,15.439675385500072,35.93587410292121
16.0,4191,17.624783969464815,12.87893241259414,17.00956744500745,18.699723238841628,17.493855332726966,18.13521623301325,34.31680570938636
16.5,4287,16.525453839840146,12.5250670821521,17.18345758003152,17.186367685697792,17.131634410290047,17.354572686893764,37.58899206004267
17.0,4353,16.317665927985427,12.723543891961514,17.35167392978413,17.781275162532236,17.98566051706579,16.611181187428162,37.1187400218329
17.5,4651,17.54591126568949,9.776934931121987,13.035964078605156,15.428843015991111,18.52071582317961,16.1732994804603,34.630393971912554
18.0,4631,20.374827020906206,13.024010060241013,15.487543524707348,17.695673440418965,17.428475791762892,16.80808503642216,36.76729377089234
18.5,4810,18.976984028419643,11.67269320187579,15.638227898847768,17.936826908736805,19.30716111839288,17.260826551961276,35.45937006771135
19.0,5076,17.306130597208252,9.762654819342863,16.054678334800588,15.790960791347844,16.51537910938941,15.266644437863716,34.98692557164363
19.5,5271,17.608124048024315,14.497642058507836,15.66683322069651,18.83085317109525,17.439529236752136,16.67470166583198,38.156013272044525
20.0,5382,20.14142296735115,10.718539287771124,12.852424630725684,15.403663907158554,19.644781684178263,16.38164232531183,35.304347454000784
20.5,5308,17.2787217849674,9.904477066079084,15.65745082878644,15.460751410308244,17.903161745572124,17.456289530557328,31.40702692372317
21.0,5264,18.994361133797344,12.353905702748207,12.845106492597973,14.66360764101649,15.639236791035591,15.59576270352041,34.80541690934818
21.5,5652,18.15417101326698,11.721584459959928,18.39304838705944,15.029418418473163,17.59324624221808,18.257078741073784,36.18186044263803
22.0,5614,19.511080826304752,10.492730083993978,14.674500057370844,17.37997433560726,15.507915747029555,16.804710345519904,37.55536250853866
22.5,5509,17.38773111426299,10.4222693151793,12.498245816505124,15.465614407856622,19.742063188871512,17.464798263112392,28.76640173007424
23.0,5773,20.0481164918664,9.92328758823084,14.155244983411125,15.603603637718454,18.06991665899525,17.656519246096757,31.725821175079236
23.5,5748,20.291220922124342,12.031518365966605,16.339710826235365,16.881186679850853,17.97964940247995,17.132109051054396,35.8103548793625
24.0,5586,18.366679222060657,11.629579245863038,16.287970002414937,18.374945343114096,15.972602069349882,17.334064750302417,36.31048276912704
24.5,5528,17.975296638472695,10.34238797097443,13.235650229780736,16.450915346157707,15.931932190758817,16.35164719045392,37.99877079384035
25.0,5307,15.913356526398427,11.881111007585035,13.74490944287815,15.141804742378776,15.4394887497848,15.968962397188454,34.5533955402067
25.5,5241,17.129793688683495,10.00550170462489,12.013629109693658,16.178749890639786,16.466148054364414,16.25094432195136,31.62242507547464
26.0,5205,17.724450214993205,13.015692787578358,16.512569016513794,16.69364116480474,18.22320453088753,16.60518691249157,33.63040469028406
26.5,4952,18.097377556053797,13.731968057900025,17.09196650462007,18.21419012135684,16.361626975086175,16.932780448130266,36.198585403294864
27.0,4802,19.860787885970947,12.390947740794406,15.769940174906814,17.874437437196903,15.719762358133332,15.847565409804895,39.37426059338705
27.5,4647,14.58797889379602,9.338599960491502,12.75219414568148,17.34439888915935,16.192513626269875,15.751358122781165,36.78368159763854
28.0,4611,19.966408345407057,10.9993535982471,16.585068232517646,17.156073215141745,18.957064844793315,16.80383117636383,33.34914343952994
28.5,4318,20.87884674115245,11.022140356461383,15.2127203664504,15.323625477413293,16.87549704952734,16.598206851827996,34.420187961786695
29.0,4560,16.510331734938053,10.622352793898523,14.370847515113306,15.18105383495978,16.953487726794446,16.55248451885334,32.53778206205456
29.5,4520,18.5458225533062,9.805293017187203,13.147855754169576,16.320899943977064,14.954577493663482,16.07449849604595,36.87607689788653
30.0,4820,16.886952356570934,10.245779120700275,12.065088995291529,13.783421595364311,13.976855434159251,14.17641244542238,37.304868786676565
30.5,5013,17.014951913565802,9.852653999816887,13.817640117948898,16.312394068791225,18.53614379966154,17.25278120312637,33.34733483891932
31.0,4747,17.927230579423032,10.30008578156678,14.589768452047592,15.987698964291038,17.368489155663987,15.594752603015523,33.537617226483654
31.5,4487,18.16535049676382,10.795098555898688,16.80046650592819,18.316186785962856,18.1448772511465,16.966682610919545,34.30084653056011
32.0,4548,19.365471635163487,12.92421326751096,19.900599150718104,20.80853232550728,19.553542743609896,16.959152074390087,38.94009321221628
32.5,4245,16.73787802489045,9.534373229419511,14.721178222354355,18.02197685945076,16.73108570590778,18.18699625049661,34.56220200708677
33.0,4267,19.932316562741438,10.837215022963855,15.536902903518271,17.616125759923218,16.577804414051215,16.46282793535603,34.32080567254968
33.5,4278,20.23455425629168,10.409339630950598,16.71071086372974,17.119851668450217,16.776743850896978,16.573972432530628,34.82575882178268
34.0,4333,18.805061904468907,11.04385098833221,15.563380609536017,17.399970599646487,16.517648950583784,15.344878619831558,36.17969146135081
34.5,4672,18.26371153982741,10.104455538373331,18.49341477177612,16.48807426943911,16.280812461197556,16.73331353610611,37.822751558078245
35.0,4606,16.756877843448684,14.657725567617824,17.922779465829038,16.487371029873827,20.69419115789973,17.898557137219665,36.04883159692318
35.5,4586,16.567394613509386,11.049984586361996,15.216271066588869,17.160277028069736,20.208868407970265,18.29348989231659,31.37814245352748
36.0,4793,16.652455341287034,10.233323237700068,15.08170344351426,16.21672507999212,17.023018041298904,16.92672302776529,33.046499175036764
36.5,4806,16.580025750301697,11.4000195940597,15.944250168571095,18.60378540839904,17.867908826840367,18.341059450464627,35.46039752052333
37.0,4883,14.180105120606,11.47496098773446,20.70566309865901,20.443021037361504,20.84185225246672,16.48660872995871,38.02732767689473
37.5,4877,19.188592689855685,10.534194782114946,15.446717742684124,18.19348169316879,18.05336904348077,17.492527572346752,37.1668115311639
38.0,4943,20.40215230993384,9.283295742849608,13.97178804698753,15.289901437494006,15.007116044504423,15.53647099260748,34.5298734084197
38.5,4802,18.2766884115097,11.697433498456755,16.734121685315515,15.72726383195247,16.20721731835647,15.676109233427892,37.182563399261134
39.0,4377,14.354588842809422,15.07471909502166,19.257221311490987,17.784938049874686,15.777276705885768,16.151784430665888,39.30269291463253
39.5,3961,11.494850069732848,15.171921951758051,18.41297205641943,18.45709930190636,14.38881848672332,17.644644671860725,37.56499463820657
40.0,3610,10.871764571803263,14.93667454402895,19.20294194157309,17.661745555975454,19.43135341454214,18.33475024952269,38.30926616148224
40.5,3506,16.532944749310616,12.101202495427737,14.777633958236995,14.584603298236656,20.163820365475356,17.672022726663048,38.02753281635581
41.0,3474,17.89137136528797,11.532243290679483,20.77987755007124,17.832647643995497,17.890587417145767,18.911817924749634,37.74921853215232
41.5,3487,18.935990394947,12.513387344587972,19.37010624231618,16.225490577510087,15.57318791875175,19.65650062607793,34.93080980441956
42.0,3483,17.897174505484422,16.45115220578207,21.724911120676868,21.454224107452664,21.38848544189869,19.07039646104828,37.06476186363564
42.5,3174,18.68697023737356,15.63402619553274,18.236820223387053,19.801764239262003,20.093799864511325,17.563597992264253,38.55855008898441
43.0,2716,21.733568937794388,12.163204758698386,19.81344662258066,21.76226263984291,24.099411152744604,20.231759285230424,36.85209022661232
