Second,Count,Band_0,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6
0.0,295,15.536862705803644,8.371305719863244,11.119069028520848,12.883275515499516,13.688278079443874,17.635599674550654,21.651385413880316
0.5,605,16.895385672556706,7.937863301485904,12.538516622789077,15.200679365451313,14.731362220977053,15.756489072778583,22.258764235876008
1.0,590,10.323028053128024,7.249508161004206,11.387028658901968,12.630657531445468,13.651269571014312,14.863222291875998,18.11290904834349
1.5,589,10.787989587865626,8.067914740145342,9.708587224900782,12.689136135992497,12.80412591501494,13.628095758673004,18.45368607564276
2.0,611,15.877838541666684,9.993294529834204,13.4675333031515,13.803274094360107,14.144055926030047,16.083523576347275,23.262489728064
2.5,623,24.76659565029629,12.422606939096688,16.344596174147036,16.45468077469121,16.60463143503969,17.60947275137048,25.89446586789237
3.0,577,14.829964133014409,8.45017201992024,12.653534953040817,12.95560515904066,13.299196146674332,16.57899334108857,23.24331236132184
3.5,566,22.525101697620187,12.787634595205075,17.59653958808376,15.225501732337795,14.699310577556972,16.31300014040271,33.2671186878671
4.0,655,16.80798342699423,9.44571854574008,12.778935260927096,13.180772245812776,14.87846400945897,16.306772373833372,25.89652997472121
4.5,677,19.594660552546973,8.792684665119113,13.115289319824717,15.961289983531705,15.03314400553817,17.3368018417299,21.05638922866325
5.0,680,11.00196236410791,7.852468691009086,10.285063619570366,12.326241593386678,13.56768220741206,15.190760005864178,22.67185266381418
5.5,727,10.766541258009813,7.663726562476692,10.888184250438444,12.787816966574985,12.894236827650923,13.432152211466825,15.079572752542028
6.0,799,15.405694425245509,7.995744407425404,12.055607213333008,12.296489227461214,13.514111330248484,15.143498950410418,24.973655441831937
6.5,1024,20.316852329457884,12.13198658434621,15.918564945609033,16.208830744292616,16.312477847119276,17.58142487592463,23.5551657980642
7.0,1086,16.583803220372456,8.7857509919985,12.677190856032505,13.343828594944725,15.136618136149671,16.464570434462335,26.60126026792181
7.5,1168,19.700724423067957,11.281035627406418,16.475310823999127,15.380646626013258,14.179693356568974,16.275406429791705,25.90477218347661
8.0,1295,17.416193738164235,9.680069869644784,13.26203163430989,13.363922596491037,14.352028155667004,15.808914219639412,31.43071766789952
8.5,1451,19.32514873494422,7.389313193147831,14.828861345997645,17.332100411967215,17.117469029452447,18.620180239236976,23.671914028012733
9.0,1328,11.184753203703586,7.900753364842579,13.139000997951864,14.340127480989144,16.081436169160224,16.76851576967795,24.742113959307343
