Second,Count,Tempo (BPM),Beat Times (s)
0.0,642,[161.49902344],18.15800453514739
0.5,1324,[161.49902344],18.5643537414966
1.0,1406,[161.49902344],18.970702947845805
1.5,1301,[161.49902344],19.353832199546485
2.0,1278,[161.49902344],19.702131519274374
2.5,1246,[161.49902344],20.09687074829932
3.0,1192,[161.49902344],20.468390022675734
3.5,1406,[161.49902344],20.816689342403627
4.0,1392,[161.49902344],21.199818594104308
4.5,1305,[161.49902344],21.571337868480725
5.0,1342,[161.49902344],21.954467120181405
5.5,1427,[161.49902344],22.325986394557823
6.0,1476,[161.49902344],22.709115646258503
6.5,1483,[161.49902344],23.08063492063492
7.0,1648,[161.49902344],23.45215419501134
7.5,1669,[161.49902344],23.82367346938776
8.0,2046,[161.49902344],24.20680272108844
8.5,3695,[161.49902344],24.58993197278912
9.0,4026,[161.49902344],24.9730612244898
9.5,4226,[161.49902344],25.35619047619048
10.0,3857,[161.49902344],25.76253968253968
10.5,3318,[161.49902344],26.16888888888889
11.0,3098,[161.49902344],26.57523809523809
11.5,2948,[161.49902344],26.9815873015873
12.0,2361,[161.49902344],27.30666666666667
12.5,1777,[161.49902344],27.65496598639456
13.0,1561,[161.49902344],27.98004535147392
13.5,1831,[161.49902344],28.31673469387755
14.0,1674,[161.49902344],28.69986394557823
14.5,2082,[161.49902344],29.094603174603176
15.0,2280,[161.49902344],29.466122448979597
15.5,2322,[161.49902344],29.80281179138322
16.0,1494,[161.49902344],30.139501133786847
16.5,1603,[161.49902344],30.53424036281179
17.0,1697,[161.49902344],30.928979591836736
17.5,1726,[161.49902344],31.30049886621315
18.0,2338,[161.49902344],31.683628117913837
18.5,2903,[161.49902344],32.1015873015873
19.0,3141,[161.49902344],32.47310657596372
19.5,3630,[161.49902344],32.82140589569161
20.0,3524,[161.49902344],33.1697052154195
20.5,3195,[161.49902344],33.52961451247165
21.0,2921,[161.49902344],33.88952380952381
21.5,3863,[161.49902344],34.249433106575964
22.0,4796,[161.49902344],34.644172335600906
22.5,4678,[161.49902344],35.05052154195011
23.0,3913,[161.49902344],35.49170068027211
23.5,3849,[161.49902344],35.851609977324266
24.0,3759,[161.49902344],36.211519274376414
24.5,3728,[161.49902344],36.57142857142857
25.0,4928,[161.49902344],36.931337868480725
25.5,4760,[161.49902344],37.27963718820862
26.0,4370,[161.49902344],37.6627664399093
26.5,4167,[161.49902344],38.04589569160998
27.0,4819,[161.49902344],38.42902494331066
27.5,4453,[161.49902344],38.80054421768708
28.0,4970,[161.49902344],39.17206349206349
28.5,4704,[161.49902344],39.5784126984127
29.0,4760,[161.49902344],39.92671201814059
29.5,4856,[161.49902344],40.321451247165534
30.0,5004,[161.49902344],40.70458049886621
30.5,5010,[161.49902344],41.06448979591837
31.0,5485,[161.49902344],41.43600907029479
31.5,6118,[161.49902344],41.81913832199547
32.0,5926,[161.49902344],42.190657596371885
32.5,5269,[161.49902344],42.58539682539683
33.0,5354,[161.49902344],42.93369614512471
33.5,5239,[161.49902344],43.316825396825394
34.0,4959,[161.49902344],43.69995464852608
34.5,4827,[161.49902344],44.05986394557823
35.0,5451,[161.49902344],44.43138321995465
35.5,4924,[161.49902344],44.82612244897959
36.0,3857,[161.49902344],45.18603174603175
36.5,3240,[161.49902344],45.58077097505669
37.0,3175,[161.49902344],45.92907029478458
37.5,3185,[161.49902344],46.32380952380952
38.0,3120,[161.49902344],46.69532879818594
38.5,3067,[161.49902344],47.055238095238096
39.0,3030,[161.49902344],47.42675736961451
39.5,3081,[161.49902344],47.821496598639456
40.0,2996,[161.49902344],48.193015873015874
40.5,2843,[161.49902344],48.57614512471656
41.0,2846,[161.49902344],48.93605442176871
41.5,2803,[161.49902344],49.31918367346939
42.0,2719,[161.49902344],49.70231292517007
42.5,2613,[161.49902344],50.06222222222223
43.0,2613,[161.49902344],50.42213151927437
43.5,2571,[161.49902344],50.82848072562359
44.0,2470,[161.49902344],51.2
44.5,2433,[161.49902344],51.58312925170068
45.0,2444,[161.49902344],51.93142857142857
45.5,2562,[161.49902344],52.31455782312925
46.0,2448,[161.49902344],52.69768707482993
46.5,2406,[161.49902344],53.05759637188208
47.0,2442,[161.49902344],53.4291156462585
47.5,2396,[161.49902344],53.823854875283445
48.0,2471,[161.49902344],54.19537414965986
48.5,2451,[161.49902344],54.590113378684805
49.0,2428,[161.49902344],54.92680272108844
49.5,2354,[161.49902344],55.32154195011338
50.0,2345,[161.49902344],55.6930612244898
50.5,2339,[161.49902344],56.05297052154195
51.0,2315,[161.49902344],56.42448979591837
51.5,2436,[161.49902344],56.81922902494331
52.0,2394,[161.49902344],57.19074829931973
52.5,2252,[161.49902344],57.57387755102041
53.0,2203,[161.49902344],57.933786848072565
53.5,2093,[161.49902344],58.316916099773245
54.0,2168,[161.49902344],58.700045351473925
54.5,2134,[161.49902344],59.05995464852608
55.0,2074,[161.49902344],59.43147392290249
55.5,2145,[161.49902344],59.82621315192744
56.0,2082,[161.49902344],60.19773242630386
56.5,2044,[161.49902344],60.58086167800454
57.0,2040,[161.49902344],60.94077097505669
57.5,2152,[161.49902344],61.32390022675737
58.0,2354,[161.49902344],61.69541950113378
58.5,2421,[161.49902344],62.05532879818594
59.0,2513,[161.49902344],62.42684807256236
59.5,2840,[161.49902344],62.80997732426304
60.0,4143,[161.49902344],63.181496598639455
60.5,4002,[161.49902344],63.5762358276644
61.0,3519,[161.49902344],63.93614512471655
61.5,3120,[161.49902344],64.31927437641724
62.0,2833,[161.49902344],64.69079365079365
62.5,2829,[161.49902344],65.06231292517006
63.0,2947,[161.49902344],65.43383219954649
63.5,2711,[161.49902344],65.82857142857142
64.0,2648,[161.49902344],66.18848072562358
64.5,2651,[161.49902344],66.58321995464853
65.0,2691,[161.49902344],66.93151927437641
65.5,2718,[161.49902344],67.3146485260771
66.0,2671,[161.49902344],67.69777777777777
66.5,2679,[161.49902344],68.0692970521542
67.0,2670,[161.49902344],68.42920634920635
67.5,2655,[161.49902344],68.82394557823129
68.0,2427,[161.49902344],69.19546485260771
68.5,2188,[161.49902344],69.5785941043084
69.0,2185,[161.49902344],69.92689342403628
69.5,1996,[161.49902344],70.31002267573696
70.0,1975,[161.49902344],70.69315192743764
70.5,2019,[161.49902344],71.06467120181406
71.0,2005,[161.49902344],71.43619047619048
71.5,1891,[161.49902344],71.81931972789116
72.0,2057,[161.49902344],72.19083900226758
72.5,1938,[161.49902344],72.58557823129252
73.0,1825,[161.49902344],72.9338775510204
73.5,1882,[161.49902344],73.31700680272108
74.0,1885,[161.49902344],73.70013605442176
74.5,1726,[161.49902344],74.07165532879819
75.0,1413,[161.49902344],74.43156462585034
75.5,1958,[161.49902344],74.82630385487528
76.0,2302,[161.49902344],75.20943310657596
76.5,1542,[161.49902344],75.56934240362811
77.0,1045,[161.49902344],75.92925170068027
77.5,1193,[161.49902344],76.28916099773242
78.0,1364,[161.49902344],76.68390022675737
78.5,2305,[161.49902344],77.07863945578231
79.0,4332,[161.49902344],77.47337868480726
79.5,4656,[161.49902344],77.8681179138322
80.0,4957,[161.49902344],78.25124716553287
80.5,5034,[161.49902344],78.63437641723355
81.0,4091,[161.49902344],79.01750566893423
81.5,4233,[161.49902344],79.36580498866213
82.0,3893,[161.49902344],79.72571428571429
82.5,3439,[161.49902344],80.08562358276644
83.0,3362,[161.49902344],80.4455328798186
83.5,4141,[161.49902344],80.79383219954649
84.0,4347,[161.49902344],81.1653514739229
84.5,3448,[161.49902344],81.56009070294785
85.0,3008,[161.49902344],81.96643990929705
85.5,3228,[161.49902344],82.34956916099773
86.0,4146,[161.49902344],82.70947845804989
86.5,4279,[161.49902344],83.09260770975057
87.0,4223,[161.49902344],83.46412698412698
87.5,3927,[161.49902344],83.81242630385488
88.0,2707,[161.49902344],84.19555555555556
88.5,2367,[161.49902344],84.57868480725624
89.0,2039,[161.49902344],84.96181405895692
89.5,2051,[161.49902344],85.33333333333333
90.0,2120,[161.49902344],85.71646258503401
90.5,2160,[161.49902344],86.08798185941043
91.0,2106,[161.49902344],86.45950113378684
91.5,3076,[161.49902344],86.819410430839
92.0,3589,[161.49902344],87.20253968253968
92.5,2981,[161.49902344],87.58566893424036
93.0,2366,[161.49902344],87.96879818594104
93.5,2372,[161.49902344],88.35192743764172
94.0,2214,[161.49902344],88.7350566893424
94.5,1575,[161.49902344],89.11818594104308
95.0,1804,[161.49902344],89.4897052154195
95.5,2374,[161.49902344],89.86122448979592
96.0,2421,[161.49902344],90.25596371882088
96.5,2338,[161.49902344],90.62748299319728
97.0,2325,[161.49902344],90.97578231292518
97.5,2298,[161.49902344],91.32408163265306
98.0,1951,[161.49902344],91.69560090702949
98.5,1995,[161.49902344],92.07873015873017
