Second,Count,Tempo (BPM),Beat Times (s)
0.0,190,[97.50884434],10.518639455782314
0.5,370,[97.50884434],11.145578231292516
1.0,364,[97.50884434],11.760907029478458
1.5,361,[97.50884434],12.434285714285714
2.0,361,[97.50884434],13.096054421768708
2.5,365,[97.50884434],13.711383219954648
3.0,398,[97.50884434],14.338321995464852
3.5,427,[97.50884434],14.965260770975055
4.0,440,[97.50884434],15.59219954648526
4.5,452,[97.50884434],16.195918367346938
5.0,475,[97.50884434],16.799637188208617
5.5,522,[97.50884434],17.403356009070293
6.0,582,[97.50884434],18.04190476190476
6.5,603,[97.50884434],18.634013605442178
7.0,637,[97.50884434],19.22612244897959
7.5,725,[97.50884434],19.806621315192743
8.0,1096,[97.50884434],20.433560090702947
8.5,1214,[97.50884434],21.095328798185943
9.0,1223,[97.50884434],21.69904761904762
9.5,1186,[97.50884434],22.31437641723356
10.0,1148,[97.50884434],22.91809523809524
10.5,1120,[97.50884434],23.52181405895692
11.0,1085,[97.50884434],24.14875283446712
11.5,1048,[97.50884434],24.7524716553288
12.0,1016,[97.50884434],25.34458049886621
12.5,972,[97.50884434],25.971519274376416
13.0,1070,[97.50884434],26.59845804988662
13.5,1158,[97.50884434],27.2021768707483
14.0,1376,[97.50884434],27.81750566893424
14.5,1597,[97.50884434],28.43283446712018
15.0,1808,[97.50884434],29.048163265306123
15.5,1921,[97.50884434],29.6518820861678
16.0,2258,[97.50884434],30.26721088435374
16.5,2395,[97.50884434],30.882539682539683
17.0,2575,[97.50884434],31.48625850340136
17.5,2804,[97.50884434],32.1015873015873
18.0,3014,[97.50884434],32.71691609977324
18.5,3194,[97.50884434],33.332244897959185
19.0,3378,[97.50884434],33.94757369614513
19.5,3767,[97.50884434],34.5512925170068
20.0,4016,[97.50884434],35.16662131519274
20.5,4217,[97.50884434],35.781950113378684
21.0,4429,[97.50884434],36.38566893424037
21.5,4523,[97.50884434],37.00099773242631
22.0,4712,[97.50884434],37.61632653061225
22.5,4725,[97.50884434],38.23165532879818
23.0,4698,[97.50884434],38.846984126984125
23.5,4721,[97.50884434],39.450702947845805
24.0,4825,[97.50884434],39.92671201814059
24.5,4968,[97.50884434],40.53043083900226
25.0,5039,[97.50884434],41.13414965986394
25.5,4920,[97.50884434],41.749478458049886
26.0,4953,[97.50884434],42.36480725623583
26.5,5053,[97.50884434],42.99174603174603
27.0,4816,[97.50884434],43.58385487528345
27.5,5131,[97.50884434],44.199183673469385
28.0,5289,[97.50884434],44.81451247165533
28.5,5309,[97.50884434],45.42984126984127
29.0,5033,[97.50884434],46.03356009070295
29.5,4767,[97.50884434],46.64888888888889
30.0,5000,[97.50884434],47.26421768707483
30.5,5232,[97.50884434],47.89115646258504
31.0,5305,[97.50884434],48.4368253968254
31.5,5126,[97.50884434],48.98249433106576
32.0,5165,[97.50884434],49.562993197278914
32.5,4938,[97.50884434],50.166712018140586
33.0,4508,[97.50884434],50.78204081632653
33.5,4133,[97.50884434],51.39736961451247
34.0,4160,[97.50884434],52.00108843537415
34.5,4010,[97.50884434],52.61641723356009
35.0,3882,[97.50884434],53.231746031746034
35.5,3773,[97.50884434],53.84707482993197
36.0,3584,[97.50884434],54.45079365079365
36.5,3519,[97.50884434],55.06612244897959
37.0,3623,[97.50884434],55.68145124716553
37.5,3296,[97.50884434],56.29678004535148
38.0,3524,[97.50884434],56.90049886621316
38.5,3992,[97.50884434],57.51582766439909
39.0,4026,[97.50884434],58.13115646258503
39.5,4087,[97.50884434],58.746485260770974
40.0,4148,[97.50884434],59.36181405895692
40.5,4545,[97.50884434],59.9655328798186
41.0,4798,[97.50884434],60.58086167800454
41.5,4886,[97.50884434],61.19619047619047
42.0,5215,[97.50884434],61.79990929705215
42.5,5310,[97.50884434],62.415238095238095
43.0,5383,[97.50884434],63.03056689342404
43.5,5128,[97.50884434],63.64589569160998
44.0,4825,[97.50884434],64.24961451247165
44.5,4718,[97.50884434],64.8649433106576
45.0,4424,[97.50884434],65.48027210884354
45.5,4353,[97.50884434],66.09560090702948
