Second,Count,0,1,2,3,4,5,6,7,8,9,10,11
0.0,108,0.4759239,0.49296573,0.53651106,0.60176104,0.594443,0.31550685,0.29564628,0.4255778,0.58343124,0.57408756,0.36007276,0.36505157
0.5,202,0.510906,0.35155395,0.28693646,0.3031329,0.22447182,0.09009866,0.2716819,0.4928409,0.7060923,0.6464419,0.2971712,0.34608686
1.0,205,0.77325946,0.53799653,0.29955527,0.24367428,0.19228645,0.08623245,0.26339573,0.46247566,0.6642074,0.6260683,0.3196573,0.4986681
1.5,234,0.5903157,0.4108704,0.21541736,0.14597075,0.10516789,0.07955593,0.29523128,0.519639,0.74814427,0.7100389,0.32737064,0.39957947
2.0,252,0.71388906,0.49974412,0.40884152,0.4823066,0.42198572,0.12810573,0.30380714,0.52423084,0.7246932,0.66404,0.3222132,0.46537733
2.5,281,0.6407888,0.4577032,0.32429615,0.33879763,0.25346163,0.14090791,0.41387814,0.7144759,0.88075966,0.7554737,0.35361376,0.43313265
3.0,307,0.2511485,0.19815421,0.4366686,0.65161014,0.5090797,0.14472286,0.36416396,0.7856344,0.6209052,0.4013628,0.29184407,0.22652563
3.5,329,0.060652412,0.0722934,0.345393,0.5855036,0.45392525,0.10106518,0.32455063,0.8187708,0.39464304,0.13261335,0.23246266,0.12488165
4.0,372,0.033071432,0.06778242,0.4355125,0.6667519,0.41818348,0.07739604,0.28873006,0.7246947,0.35222918,0.16939785,0.43533188,0.19639286
4.5,415,0.007529626,0.044273548,0.43089664,0.8000238,0.6882804,0.12790363,0.28455764,0.74828285,0.38341033,0.064242765,0.12561126,0.05443105
5.0,567,0.17700791,0.14051771,0.30352297,0.45626175,0.35230997,0.12169471,0.3530818,0.7905212,0.59818727,0.37860388,0.3030813,0.19925044
5.5,694,0.5180603,0.36455348,0.32878318,0.39156622,0.33373976,0.17725953,0.30823272,0.50219387,0.6901156,0.59904104,0.2930909,0.35363254
6.0,700,0.74057865,0.5091116,0.29129943,0.2635686,0.20903802,0.15178391,0.2957383,0.46221223,0.67597604,0.6407356,0.32588348,0.4818841
6.5,611,0.5977565,0.38678572,0.19490089,0.13765861,0.11244749,0.12283251,0.32205305,0.53531104,0.78188103,0.7434973,0.347426,0.41537258
7.0,609,0.7726658,0.5654362,0.4370298,0.49648187,0.46709797,0.23720118,0.30652338,0.4279284,0.5989348,0.5459414,0.27987927,0.48199165
7.5,578,0.6296204,0.4413139,0.21637139,0.15151851,0.13381414,0.1768675,0.39738512,0.6183101,0.87442034,0.79662037,0.35489887,0.42585072
