boundaries,labels
3.3436734693877552,10
41.65659863945578,2
42.26031746031746,4
42.86403628117914,2
43.46775510204082,4
45.186031746031745,2
45.743310657596375,4
46.300589569161,2
47.50802721088435,6
48.15818594104309,4
50.5730612244898,6
55.40281179138322,2
56.05297052154195,4
56.65668934240363,2
57.2604081632653,7
57.86412698412698,8
58.46784580498866,1
59.07156462585034,3
59.675283446712015,1
60.279002267573695,3
60.929160997732424,9
61.532879818594104,3
62.136598639455784,9
62.74031746031746,3
63.344036281179136,9
63.947755102040816,3
64.55147392290249,5
65.15519274376418,1
65.75891156462585,5
66.36263038548753,1
66.96634920634921,5
67.61650793650794,1
68.22022675736962,5
68.82394557823129,1
69.42766439909298,0
70.03138321995465,1
70.63510204081632,0
71.23882086167801,1
71.84253968253968,0
72.44625850340137,9
73.04997732426304,0
73.65369614512471,9
74.30385487528345,3
74.90757369614512,9
75.51129251700681,3
76.11501133786848,9
76.71873015873015,3
77.32244897959184,5
77.92616780045351,1
78.5298866213152,0
79.13360544217687,1
79.73732426303854,0
80.34104308390023,1
80.9447619047619,0
81.50204081632653,1
82.05931972789115,0
82.61659863945579,8
86.23891156462585,7
87.39990929705215,8
87.91074829931972,7
89.07174603174603,8
89.6754648526077,7
91.5330612244898,8
92.13678004535147,7
95.75909297052154,8
100.63528344671202,7
103.65387755102041,8
104.25759637188209,7
104.86131519274376,8
105.46503401360545,7
106.06875283446712,8
106.67247165532879,7
107.27619047619048,8
107.9263492063492,7
108.53006802721089,8
109.13378684807256,7
109.73750566893425,0
110.34122448979592,9
110.94494331065759,3
111.54866213151928,9
112.15238095238095,3
112.75609977324262,9
113.35981859410431,3
114.00997732426303,9
114.61369614512472,3
115.21741496598639,9
115.82113378684807,3
116.42485260770975,5
117.02857142857142,1
117.63229024943311,5
118.23600907029478,1
118.83972789115646,5
119.44344671201814,1
120.00072562358277,0
120.60444444444444,9
121.25460317460318,0
121.9047619047619,1
122.50848072562358,0
123.11219954648526,9
123.71591836734694,0
124.31963718820862,9
124.92335600907029,3
125.52707482993198,9
126.13079365079365,3
126.73451247165534,9
127.33823129251701,3
127.94195011337868,9
128.5921088435374,3
129.1958276643991,5
129.79954648526078,1
130.40326530612245,5
130.96054421768707,1
131.56426303854875,5
132.16798185941042,7
132.77170068027212,0
133.2825396825397,7
133.83981859410432,0
134.443537414966,9
135.04725623582766,4
135.65097505668933,9
136.25469387755103,4
136.90485260770976,2
137.50857142857143,4
138.1122902494331,2
138.71600907029477,4
139.31972789115648,2
140.9451247165533,6
141.54884353741497,2
144.56743764172336,4
145.17115646258503,6
145.7748752834467,4
146.33215419501133,2
146.88943310657595,4
147.4467120181406,2
148.05043083900227,8
148.65414965986395,3
149.25786848072562,9
149.8615873015873,3
150.41886621315192,9
151.67274376417234,8
154.69133786848073,7
155.2950566893424,8
155.94521541950112,7
156.54893424036283,8
157.1526530612245,7
157.75637188208617,8
158.36009070294784,7
158.96380952380952,8
159.5675283446712,7
160.1712471655329,8
163.84,7
166.90503401360544,8
167.50875283446712,7
168.1124716553288,8
168.71619047619046,7
169.31990929705216,8
169.92362811791384,6
170.5273469387755,2
171.13106575963718,6
171.73478458049885,4
172.33850340136055,2
172.94222222222223,4
179.02585034013606,7
179.62956916099773,8
180.2332879818594,7
180.83700680272108,8
181.48716553287983,7
182.0908843537415,2
182.69460317460317,6
183.90204081632652,2
184.50575963718822,4
185.1094784580499,2
185.75963718820861,4
186.3633560090703,8
186.96707482993196,7
187.57079365079366,0
188.17451247165533,9
188.778231292517,3
189.38195011337868,9
189.98566893424035,3
190.58938775510205,9
191.14666666666668,3
191.7039455782313,9
192.26122448979592,3
192.8649433106576,9
193.46866213151927,3
194.07238095238094,5
194.67609977324264,1
195.2798185941043,5
195.88353741496599,1
196.48725623582766,5
197.09097505668933,1
197.6018140589569,0
198.15909297052156,1
198.71637188208618,7
199.32009070294785,8
199.92380952380952,7
200.5275283446712,1
201.13124716553287,9
201.73496598639457,3
202.3851247165533,9
202.98884353741497,3
203.59256235827664,9
204.14984126984126,3
204.70712018140588,9
205.26439909297054,3
205.82167800453516,9
206.42539682539683,1
207.0291156462585,5
207.63283446712018,1
208.23655328798185,5
208.84027210884355,8
209.44399092970522,5
210.0477097505669,7
222.1685260770975,2
222.17142857142858,10
