boundaries,labels
10.402539682539683,10
17.972244897959182,1
18.622403628117915,4
19.272562358276645,6
19.87628117913832,4
20.526439909297054,6
21.13015873015873,4
21.78031746031746,6
22.38403628117914,4
23.034195011337868,6
23.684353741496597,4
24.33451247165533,6
24.938231292517006,4
25.588390022675735,6
26.192108843537415,4
26.842267573696144,6
27.445986394557824,4
28.096145124716553,6
28.746303854875283,4
29.396462585034012,6
30.00018140589569,4
30.603900226757368,6
31.2540589569161,4
31.90421768707483,6
32.507936507936506,4
33.158095238095235,6
33.761814058956915,4
34.411972789115644,6
35.015691609977324,4
35.66585034013605,6
36.31600907029478,4
36.96616780045351,0
37.56988662131519,1
38.17360544217687,0
38.8237641723356,1
39.47392290249433,0
40.07764172335601,1
40.68136054421769,0
41.33151927437642,1
41.98167800453515,0
42.63183673469388,1
43.23555555555556,6
43.885714285714286,4
44.535873015873015,6
45.139591836734695,4
45.789750566893424,6
46.439909297052154,4
47.04362811791383,6
47.69378684807256,4
48.29750566893424,6
48.94766439909297,4
49.55138321995465,6
50.20154195011338,4
50.85170068027211,6
51.45541950113379,4
52.10557823129252,6
52.70929705215419,4
53.31301587301587,6
53.9631746031746,4
54.61333333333334,6
55.21705215419501,4
55.86721088435374,6
56.517369614512475,1
57.167528344671204,0
57.77124716553288,1
58.42140589569161,0
59.025124716553286,1
59.675283446712015,0
60.279002267573695,1
60.929160997732424,0
74.2574149659864,1
77.36888888888889,0
79.27292517006802,1
79.87664399092971,0
81.13052154195012,1
81.78068027210884,0
83.68471655328798,1
84.28843537414966,0
104.48979591836735,1
105.13995464852607,8
105.79011337868481,2
106.39383219954648,8
107.04399092970522,2
107.69414965986394,8
108.29786848072563,2
108.94802721088435,8
109.55174603174603,2
110.15546485260771,8
110.7591836734694,2
111.36290249433107,8
115.21741496598639,2
115.86757369614513,8
116.51773242630385,2
120.27936507936508,8
120.92952380952381,2
121.53324263038549,8
122.18340136054422,2
122.83356009070295,8
123.48371882086168,2
124.08743764172335,8
124.73759637188209,2
125.38775510204081,8
126.59519274376417,3
127.24535147392291,5
127.89551020408163,7
128.4992290249433,5
129.14938775510205,7
129.79954648526078,5
130.40326530612245,7
131.00698412698412,5
131.65714285714284,7
132.3073015873016,5
132.95746031746032,7
133.561179138322,5
134.2113378684807,3
134.8150566893424,1
136.0689342403628,3
137.97297052154195,9
139.22684807256235,9
139.8770068027211,3
140.52716553287982,9
144.28879818594103,3
144.93895691609978,9
145.5891156462585,7
146.19283446712018,5
146.8429931972789,7
147.4467120181406,5
148.09687074829932,7
148.74702947845805,5
149.35074829931972,7
150.00090702947847,5
150.6510657596372,7
151.25478458049886,5
151.85850340136054,7
152.5086621315193,5
153.158820861678,3
153.76253968253968,9
154.4126984126984,3
155.66657596371883,9
158.82448979591837,3
159.42820861678004,9
160.07836734693876,3
161.93596371882086,9
162.53968253968253,3
163.18984126984128,9
163.84,3
164.49015873015873,9
165.0938775510204,3
165.74403628117915,9
166.39419501133787,3
167.0443537414966,9
167.64807256235827,3
168.29823129251702,9
168.9019501133787,3
169.5521088435374,8
170.15582766439908,2
170.80598639455783,8
171.45614512471656,2
172.10630385487528,8
176.19301587301587,2
176.84317460317462,8
177.49333333333334,2
190.17142857142858,1
190.86802721088435,8
191.56462585034015,2
192.16834467120182,8
192.8649433106576,2
193.56154195011337,8
194.21170068027212,2
194.8154195011338,8
195.4655782312925,2
196.11573696145123,8
196.71945578231293,2
197.36961451247166,8
197.97333333333333,2
198.62349206349205,8
199.22721088435375,1
199.87736961451247,7
200.5275283446712,5
201.17768707482992,7
201.78140589569162,5
202.3851247165533,7
203.03528344671201,5
203.68544217687074,7
204.28916099773244,5
204.93931972789116,7
205.58947845804988,5
206.8433560090703,9
209.35111111111112,1
210.00126984126985,3
210.60498866213152,1
211.85886621315194,3
212.50902494331066,9
213.15918367346939,3
216.9208163265306,9
217.57097505668935,3
218.22113378684807,5
218.82485260770974,7
219.4750113378685,5
220.07873015873017,7
220.7288888888889,5
221.3790476190476,7
221.98276643990928,5
222.58648526077098,7
223.2366439909297,5
223.88680272108843,7
224.4905215419501,9
225.14068027210885,3
225.79083900226757,9
226.4409977324263,7
227.69487528344672,3
228.2985941043084,1
228.90231292517007,3
229.5524716553288,8
230.20263038548754,1
231.45650793650793,3
232.10666666666665,1
232.71038548752836,3
233.36054421768708,3
234.0107029478458,9
234.61442176870747,3
250.3111111111111,3
250.33142857142857,10
