Band_0,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6
10.646003688178197,10.21971677211557,9.797676980879281,11.865080441840783,12.027994878586906,17.319815390758045,21.220496613051363
12.38278307666915,12.016942261252204,11.783642850759984,14.587384665123789,13.621774163872148,15.545936953124997,20.314241428367044
11.428462185143992,10.167304376265022,12.331518025335969,12.699621382846013,14.883708038984867,15.946945872489783,20.44236006158752
14.03117553382686,12.0879413163927,11.71309891429949,12.945342884258588,11.92678633250483,14.514351592046758,20.89184262744054
13.402037296255084,11.12927992808361,12.002656278436678,11.864731028604815,12.558227967285786,15.092399782999813,18.835422771162275
16.467130780736785,10.698357947427956,13.254456804134497,12.178696110462058,14.17628892638263,14.899143623369799,20.568995844739444
12.781529273708706,10.97718537032605,13.957974256034872,12.608469603636916,13.237194047791224,15.703477635401583,20.52487836447899
11.33856293938397,11.980677289498615,14.02450824423959,13.554251263079852,14.347460419198107,16.00054054345923,20.358825314064163
13.144511542755076,14.14951616035716,13.340745157973481,12.745785357648227,13.9470291539085,15.783628533188383,20.778632590684722
14.746879967741426,13.172743160395155,10.721565629099715,12.188189852654254,12.60889209372813,14.532123453536135,21.44874258345567
11.857168162085639,11.22625311471571,11.689528578691613,12.782107157219764,12.747449225222216,14.366143007907265,18.561584483951705
14.668062733984488,10.632816727117804,15.527423917630509,16.781321080725544,17.4632909265277,17.65464245680549,25.71707402141235
12.718463011694906,11.649722924801415,17.960328627288234,18.31399008757404,17.307758396266028,17.087209734234797,24.533470790212853
10.325696039493769,10.978147329351147,15.65861552893518,17.642416633775014,17.708439906055357,16.633903699187602,21.297686953014598
10.914847723847931,9.836103570004271,12.245891378719733,15.513741833490053,15.416634335159289,15.870896170625947,27.668636385345835
13.602328165679024,10.360287895851592,12.142830237804095,13.136360943988045,16.176037513461235,14.961247609335059,20.968527382984146
13.403917493278302,11.085340215705275,14.465207966637022,15.025804546027972,16.325989892948716,15.473915847347461,21.295441654230665
13.843047352582019,11.774705884279006,15.395561310370638,18.478556143321576,19.01062386471188,19.088165676355278,25.279657759615333
12.90626710452501,10.85736813257631,16.828353602478817,18.493046663055917,17.21430205931927,19.46073413587611,23.302664639714422
12.414579003275364,11.3847427682447,14.63002864080267,18.078391744299775,19.784878632178284,18.950424082466128,21.694172699633302
12.38565775188694,11.08583972489229,13.601409580332904,15.018422042684017,15.073547998944226,17.7472230398279,24.468279333608454
13.786969351535525,11.247008497979458,11.328268354621834,13.282031978263133,15.95469311112944,15.236439071982522,20.421538937871116
12.42636139079811,9.211626901953657,13.169306343876627,15.315456063563145,15.542911156871012,15.782922269828672,19.22438989218747
15.15677456903578,10.94521010837927,14.98796544008995,16.325106414589232,16.271061260071612,16.931332031589026,24.555819662431446
13.16701361055145,10.43988959044548,14.981335019329896,15.878594890227268,16.949118256732532,17.3188843286729,25.104350948020652
12.114235700032168,11.86435888524034,16.26049739651612,19.96509276037389,18.881191171956747,18.534585323842,21.237365610209157
11.838579713978806,10.579647171050624,14.504702560722022,15.277227370376142,17.913209263636407,19.58492798666082,25.833722102414033
13.256512074742117,16.93410989691028,11.720710090791636,16.895655019957793,15.908774414931507,15.706512555180996,20.964224789313487
13.729923744885792,15.276153089252404,14.33150360295823,15.589562395043854,14.842650906646105,15.99242379212599,21.268180550242032
15.363510528710258,9.437919332500144,16.751142335892425,17.04078272198027,16.761703017461063,17.07173679787802,26.21888898828796
14.016149053120664,10.555635728566404,15.457164887229736,15.072810886828707,16.60519404514694,16.90324819163495,25.54821423455293
12.150910364286732,11.83992709339985,14.213744369717801,18.043000453816607,18.708978628096883,17.711601629441628,22.098752165099068
12.826941170714258,12.42834982082941,15.13828106741522,15.351770984806997,17.160585146346428,18.442714073561127,25.662061554911684
12.388387420133988,14.450633200012177,12.130953119384372,15.772477288335274,14.703339949241174,15.906874528226755,20.762099747541452
11.902736897637519,14.88620375599684,15.88385238620143,18.06293953156829,17.27049773594886,17.40770146058653,21.581966948502995
15.753643584796674,11.219716855748425,17.80929912221906,17.972978099057638,19.59661287683992,19.532758129585698,27.843677017387876
13.948021230702114,11.01663161661952,15.270475525656245,15.208699985117814,16.98281540496636,19.97705056388628,24.39781642590986
11.791615791880316,11.183088455096872,14.064259839842446,16.2361504422388,18.147210398876883,16.897533099312515,21.649902327727645
10.487923396660538,13.241599841664241,12.686665331338121,14.788657766455051,15.771090150052169,15.546395148770724,32.442501220276355
12.694481273569771,10.492178714979367,12.015253339410854,13.019374548760881,15.894219322366995,15.214763925420318,20.6381630722219
12.996189790474864,10.38202082071483,13.732296630832469,14.390452006988243,17.08069493679034,15.526107886457009,20.9000784873068
14.885101609330865,10.759316583127944,13.587776397149755,15.13587850145986,15.818756400730715,17.430395186516964,26.45108691251177
12.609338058564378,10.60937054978287,15.212086449177441,15.234684750694035,16.476216659369065,16.08188327122221,23.637706039013594
11.280691781539979,11.233070056082964,15.906225075828957,19.0194814333258,16.76054508212197,17.983518553474465,21.697860996158433
13.612408305728843,12.411617220130385,12.143665398634923,14.92714791731377,16.110083255168654,17.328648636874046,20.786596221488445
12.997807870363681,11.190388546998104,12.026778854195094,13.410052793376112,16.226159105449025,15.564678537154895,22.978852932097045
12.15154420664662,15.171011597879934,16.77157071600045,16.089842061008504,16.04635783484396,17.09032343136867,27.11802087670391
14.854204389617372,10.760569035193036,13.120435026701692,15.143608373556644,15.959201306281658,16.378773799434267,28.732649996115576
12.836562301886282,11.278791161178935,14.985558724233735,15.038603667279565,15.477870233819232,16.69440723455352,25.097999460483507
12.060933518362894,11.167841312645152,14.93361517877412,20.076300209488572,18.36528650577281,18.575968865891262,21.029737096528855
11.014949748523893,10.014295893409576,13.8845505787609,14.380404393953869,17.93147112621848,20.597531487465655,26.27138610709449
12.472196037049615,14.256127001961328,11.919764239352048,15.065763463507203,14.952322407036485,15.22378233156251,20.617925370025645
13.037682640954888,15.82359958978403,14.122933970290244,16.010759429829253,15.640114840236313,15.75436004839602,21.169414785082136
14.573465365176574,11.360954926316579,16.054657715617346,16.516052136686923,16.918870551295633,15.785685990586819,25.09431803435894
12.936724390215625,10.64674786742034,15.07216715860482,14.278832482136377,16.60597975006726,17.809406014268117,24.89165324689652
12.165820007180061,10.391230961854095,15.582517599583952,19.23558236886266,17.55413492148387,18.120308981571995,20.75356614572284
12.927706679742437,12.340760524747743,13.878003315283353,15.398069177143682,18.830765604442178,20.327446276492267,26.980808098489074
13.27904404602832,14.000782319088271,11.401957163211858,15.41518962983744,14.95080756127235,15.722054539476591,20.517054464688513
13.194939629170285,13.63836298466084,15.75065966567625,21.75434709869712,17.905288623833247,19.546833793484275,22.841154080514357
15.13977090831405,10.014590753423876,14.277285883740639,19.23624745853092,18.17629278006301,18.361509703995797,24.996794585879027
12.783731405274834,10.945263712647899,15.921765309599188,13.936889336114584,14.783071436859602,15.831053938431698,23.032734182160073
12.870225591680342,10.193436288685934,16.63386973294308,18.94636679403851,15.705136650704308,17.318689431744023,20.523212341634675
13.983760790073202,17.28024858321125,15.809619272376176,17.032196711398967,16.356369268744878,17.556795273656405,30.362483500363634
14.132618975897074,10.344045274086803,12.743946886040272,14.347276819088448,14.794035311542636,15.5293668498182,26.445857102716513
