Band_0,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6
12.79100207915642,7.723821013892719,11.848254057658822,12.700186909540829,13.903793447330736,17.44816098585508,21.167357047952144
22.079266304771682,11.087122931062417,18.052687647965694,15.465720801742046,18.591879517773318,15.4780867322842,17.395397351078305
24.01888240274208,8.46391193133215,19.150781723999597,15.812800721400126,19.886723876514203,16.204861396414255,16.615624262390295
23.829594705652575,8.742628096624964,19.98302720070018,15.798866050148236,19.67903047502209,15.985421745361384,17.906286417343946
21.887136223941045,8.740456244430094,19.09345760126704,16.089064517879237,19.157090834814362,16.421050528879302,18.883058733762446
25.336697945505204,8.34920615099653,18.44480768871188,15.240474689328034,18.371817579319114,17.682110536805418,16.872707254968986
26.796587004600998,6.811517628437903,19.198566618604794,15.98662589577557,18.513228840747246,17.32027945717434,18.144755319084904
25.475028928158874,7.965974539899519,18.366562943443913,15.033610591020913,18.680472480966955,16.974104737831613,18.359793465163207
20.848236544247012,8.777370994535598,18.93729467620518,16.128386826980805,18.384314656287568,18.128299978128215,17.906533666901538
23.159749756926217,10.688324528621937,17.317635683548474,15.750571535303145,19.253458165263126,15.54164584593658,17.90727931367436
26.22856077707976,11.107790563311427,18.72027795640503,14.636902364918603,19.655616722435838,15.167435531206905,18.227718615758512
28.53697644943198,9.60805410487494,18.424384279988093,15.622778183034034,20.844602612307327,16.523973498750493,17.009460139473074
26.33309979024739,9.82534249589213,17.556248909294982,15.306594424873861,19.5259758627058,16.23535694414713,18.84670684851827
26.751632156691983,9.944721833757121,19.79720428088621,17.658067991959367,19.624829009479136,16.17000829496389,18.285162155413232
27.331299901001906,8.422443725302987,19.055278030791662,18.943701406880017,19.04098937401941,15.959891968095409,19.435800811695728
28.790104958043813,8.589874903656687,16.968339043591687,14.469048360427143,17.07482574833907,15.886507031802825,25.172442462155455
20.287533441237393,9.210801190477492,14.414051299130193,15.298041451334122,16.138530033057208,15.368387660055363,24.3992014091076
17.607151654572956,9.541760785155986,15.484447545441613,15.332491366747577,16.1034968067736,17.246761207459542,24.56084466848914
15.105612566844705,12.705452245292431,16.301721948554572,16.245253279696104,20.146906703228648,18.94574861209675,24.521138019796254
21.73395835127509,10.413530287796519,17.039976016810513,15.876145411308954,17.705536837604612,16.634966011956212,30.38663976859633
20.509825622367828,11.065681411185885,14.790732769131107,14.862815687941715,15.71358828146175,15.820977867766976,21.552990952840897
17.94661133315144,8.339512346985025,16.564974748603134,18.062130163497027,16.83678987135652,17.47503198456342,23.188637947765315
16.733904108095068,11.397593437521843,19.123245270852756,18.51890258543004,20.48092863955057,19.75898667984408,26.833156283871954
20.16566881160369,10.41961618678784,17.195670009125827,23.83056787076826,20.23150261377366,20.463696885532578,31.032817244261782
20.22925073855026,10.24563574982295,15.505819375019938,15.016995128717278,15.78914664863539,15.976666476193026,24.485181058719835
19.12100241217732,9.665858073760539,14.220556625809838,18.389653488923784,18.646175690217223,18.73119717010801,24.799559293426107
16.480522288216473,10.357241404431866,15.704536330388937,17.927835707524725,21.777358947189267,23.208676036557236,26.64756497891947
18.556655002580435,13.076895491290353,18.39216344930229,19.76200233423973,21.067438192640434,22.302699788226477,29.875193575719635
19.256781055993336,8.37182038878873,18.369716676093145,18.479447853473687,19.39345861286655,20.44015200073389,27.525509908194255
13.814623585864693,9.266688382226029,16.058215577222043,17.423227484779215,19.29170544288224,19.25342283403025,26.337194141702014
17.466047290812593,10.728356248808185,16.594348504727396,19.103368817448832,21.006317699957204,19.963222874895788,25.404459013380816
16.12796344201058,10.125152985759328,16.85138124375616,22.08721131226588,20.22853587295629,20.831650071157114,31.6328340922646
16.966105146195176,10.366024961225481,16.716948948651837,18.122004245192144,16.789473403777652,14.939424705999476,22.391728789891747
16.46262271846692,8.807999650463278,15.750288862717575,18.452096333252964,19.75275795757208,19.302815972561735,24.279676053174082
14.268175460113314,9.257174255110373,15.313791787361525,19.275943117450996,18.717677535818844,17.990039578019005,26.36905416517726
18.259508414734565,10.117360049970559,15.56430547961185,14.295077938393105,14.806176203802634,16.54412279336413,29.45366688938805
20.333455726858197,10.32608834588839,15.27316669656914,14.089165739843661,15.284205784612862,15.477285052474398,23.366954069601935
18.168885812881644,8.933922366764142,13.8641992910108,15.157499072981809,14.297569892597739,14.582117080394573,29.075418107699782
14.898090143442994,13.246181524392108,17.504600802787373,19.253606805206445,19.25777378729197,19.45471560719112,27.636331263755068
20.28218676819469,12.59822414584197,17.678041126613888,15.905814975243299,21.74397534741526,19.026500068330577,31.363364256527337
19.4717453176453,9.23337082701508,15.69594391189127,15.281037394370212,15.847749664026445,15.525750147617611,23.708646462226778
20.121967395384896,9.702084873443399,13.942134524360812,19.012523048781617,16.850460050273792,15.893506277970276,23.20472721826847
15.70448213780957,10.553675122617388,15.059778529812291,17.362971138941276,18.19883605872537,16.515341608304386,24.1520673620164
18.89936796882444,12.944979003629442,17.471297040932964,18.747096028778532,21.475456368404235,21.391376857676402,28.434982781476418
21.944711105658545,9.080802168878044,17.873968911889143,17.777225761101427,18.071043068763963,17.992028068248768,25.495577227443064
15.01992303127046,11.390033238170378,17.186080788032964,21.194422929646503,18.116236651111574,17.503285634113805,23.520357060952737
17.084810946701783,12.863897620204192,20.06362240725622,21.53218181828387,20.240474175178186,22.053922185700888,28.367682066579455
20.767793463317034,13.7611092869583,17.994039129611476,17.912681235843557,20.19205796702915,18.457850054267876,30.279759385598762
16.82374671426038,11.11721230522382,14.928277149106838,15.11547402898495,15.523217034902197,16.107109707910354,23.61904395899469
17.995541670083274,10.986453267892335,14.251767375745175,14.332300176164333,14.264905717551713,15.783980607825269,24.624421531133557
15.313355696960127,13.78904064602964,15.450463210311034,15.082189558620225,16.155745954756682,17.075858382836575,25.05474539124174
12.961943429169347,14.129773042085302,18.13995461013518,16.717178855392955,22.324272594003954,22.387165788494396,30.191573899487732
16.370536219044048,12.035603002542507,17.419596594980355,18.638246375060174,19.275584988908474,21.2265567678828,29.48931039707735
18.017104604809695,10.483351133343865,13.085952326878532,14.687889589789474,13.570325167456591,15.098521520402544,28.65144637633831
16.133667568811337,13.267937144095894,16.484457719000517,14.711415250011333,16.25037396345524,17.16871167671833,26.578086918084733
14.993906885127952,13.17059038469734,16.52133439829624,16.70757041775719,20.053875820681814,20.906461318511806,27.26766576542135
16.103589445959038,11.832515268601487,19.26472513494591,19.947564722471242,20.580353906980147,21.372875050013086,30.164437180710397
18.270372569328156,9.664574935739976,13.5674360092025,15.637805198713245,15.212384182362847,15.868668995848859,26.637198555582373
16.41060482414272,11.455590837891053,14.404752799660065,16.850273283613106,16.95570533383498,17.85288670230266,26.22883239849452
14.639921557975379,11.112625137900439,16.994721653490355,20.217799091468937,17.857859451649063,19.990067420267145,28.540303019678003
14.775709053830127,11.314663575263825,19.933661460600636,20.043078686283547,19.36937666995029,19.38825119575123,28.81818216272674
