0,1,2,3,4,5,6,7,8,9,10,11,12
-225.7158,38.70951,-31.297892,12.014515,-18.09013,-2.0563753,-21.857758,-6.7836857,-19.893627,-8.55542,-17.647966,-13.742615,-19.645088
-221.34811,53.440777,-44.373337,20.605017,-12.936401,-1.1716022,-19.49872,-14.829685,-21.071047,-12.489465,-20.08997,-10.204891,-8.849175
-275.23993,64.50463,-29.158722,9.504711,-10.707608,-6.7800336,-16.689272,-15.997387,-21.05728,-15.385602,-22.122547,-10.557675,-10.43751
-240.35753,72.78808,-31.656458,4.130362,-11.696026,-5.8031354,-19.867245,-13.08309,-18.445747,-10.590253,-15.346975,-10.938147,-19.861809
-193.8633,65.8268,-39.25666,12.097662,-26.87314,-3.8500557,-25.633032,-7.3631315,-18.429035,-17.691198,-13.775893,-8.3171215,-22.168215
-149.90138,73.69114,-67.311005,-2.2731242,-18.045496,-10.99585,-35.78442,-11.820106,-28.019142,-7.73949,-14.455868,-5.2525644,-3.531781
-141.46155,80.95453,-67.876724,-4.449463,-21.419691,-11.197309,-34.097183,-5.7584906,-29.508871,-18.113272,-18.460918,-14.269075,-10.991895
-136.20811,94.20012,-62.15876,8.220157,-17.803503,-12.58803,-45.021664,-19.5683,-24.603533,-7.6296506,-22.4782,-24.924368,-8.608086
-141.57622,99.31459,-66.571075,-1.4728442,-18.734695,-11.574528,-44.141308,-25.384962,-23.09215,1.871651,-8.648156,-14.512696,-4.0218296
-158.5188,60.834522,-33.281986,1.8304037,-47.230194,-3.6396403,-38.623447,-12.837425,-24.896164,-13.088341,-16.240564,-1.135612,-4.1317644
-204.68677,71.0951,-20.305101,8.518728,-34.288136,-0.4124588,-25.242863,-19.484959,-19.71783,-8.272497,-10.544715,-6.080505,-19.461634
-256.7246,80.540504,-20.505264,3.8905792,-23.048586,-11.76662,-25.893305,-24.429403,-19.663105,-8.508321,-8.703804,-4.150091,-17.297153
-132.4727,62.974483,-52.446907,6.7191453,-25.569103,0.851397,-29.969297,-10.907359,-27.055553,-14.485406,-14.354585,-0.45121613,-9.952772
-132.28185,76.99417,-55.781353,-0.2641133,-21.597448,-4.2855783,-41.235992,-9.868389,-32.645664,-24.398346,-14.2175255,-10.575983,-13.409442
-231.68573,91.51079,-34.46433,-1.235117,-21.440273,-12.002677,-22.958456,-20.057985,-24.52882,-16.848665,-16.705305,-7.305148,-9.833184
-227.87408,59.970448,-24.931993,6.1252356,-18.121178,5.3161044,-24.799067,-18.151379,-24.515282,-14.721307,-22.692217,-6.004276,-3.8405013
-168.53589,72.404106,-54.184864,5.5065937,-23.316334,-0.5838761,-44.286285,-8.278622,-32.160652,-23.348558,-6.2087674,-11.96855,-14.021974
-176.28236,89.40221,-45.137478,-12.982351,-38.509808,-8.886376,-28.711246,-9.2824,-23.724922,-23.773157,-12.23537,-5.6319194,-17.043564
-250.99098,78.78154,-21.333391,-3.5005465,-26.039633,-6.937009,-19.304667,-19.685568,-23.053738,-11.216961,-10.956331,-2.1478517,-11.359095
-134.6022,69.57188,-56.37551,4.4308133,-22.745056,1.6329942,-32.742096,-12.356036,-31.633371,-15.323035,-12.25676,-5.4204187,-7.098019
-133.96054,84.92393,-48.83301,-6.9812765,-33.47402,-9.306293,-33.38788,-5.9677763,-28.654408,-23.405842,-18.354578,-7.144012,-11.050119
-221.63124,96.56071,-38.257904,-5.798726,-27.193308,-14.890347,-22.024248,-12.827462,-22.562231,-19.91973,-16.879152,-6.907727,-5.0875664
-211.40636,63.63292,-25.455524,3.1492453,-24.246202,1.3656741,-24.06372,-20.012354,-24.120625,-12.278258,-23.25048,-10.610861,-7.174029
-201.55702,81.41532,-48.776752,0.6712677,-15.4467945,-9.16611,-32.40442,-8.939276,-25.578903,-18.508228,-16.203138,-7.027801,-7.71547
-145.22694,70.01626,-52.5469,-1.8255881,-27.387342,-10.150483,-40.07459,-18.707838,-28.591362,-17.615309,-18.098324,-7.596346,-13.311802
-112.807335,79.88079,-58.72554,7.295734,-17.53344,-2.1194918,-29.718725,-13.725529,-25.951107,-14.313831,-14.083129,-8.156018,-12.376175
-105.169464,105.6113,-66.85807,-3.65881,-28.136305,-6.228207,-20.462708,-7.9053373,-19.725622,-16.185287,-19.106115,-6.652005,-12.006721
-125.411125,98.280136,-35.88142,22.662111,-0.9565691,11.248572,-22.821093,6.700394,-16.774681,-15.055515,-9.590307,-6.7538447,-15.764242
-220.68109,93.28374,-41.846573,23.7487,-8.039186,2.5792315,-11.908061,-4.364731,-22.510328,-17.041012,-3.387452,-1.0995126,-1.5696284
-178.92624,76.256424,-63.3609,7.7007008,-2.3648305,-0.56984806,-31.22562,-12.0378275,-37.36512,-20.603718,-13.464739,-13.390893,-6.655811
-201.27003,119.55536,-37.013638,15.440244,7.5520864,8.811028,-32.913437,10.053491,-7.9528427,-22.95774,1.3912352,-3.4834473,-3.4757528
-158.11832,131.20367,-27.823372,34.547947,25.4713,23.30241,-20.787094,14.650919,10.517547,-1.453331,19.876295,-0.39122772,-13.6873045
-203.48962,96.567924,-48.736458,-4.500203,-15.226977,-16.167475,-25.458675,-4.4881296,-20.703438,-13.323039,-4.3275027,-4.048176,-9.314125
-179.87378,100.97369,-52.419106,-10.639918,-19.343489,-14.189476,-41.8121,-11.72151,-29.091686,-25.35204,-12.228342,-4.115328,-9.782604
-157.306,125.31575,-21.149239,31.52238,23.10847,26.31322,-16.360628,15.039162,-1.3126396,-11.153352,11.699577,7.5304523,-3.8999445
-266.85266,118.58845,-19.035873,-7.890458,-4.4383264,-0.5788168,-18.244581,-7.2828207,-22.509264,-23.831549,-2.065137,-7.5517015,-10.838571
-251.98537,91.78472,-32.64313,-11.299884,-11.069907,1.5253034,-16.330616,-14.900152,-34.49669,-27.495762,-10.238866,-4.8101854,-11.733214
