0,1,2,3,4,5,6,7,8,9,10,11,12
-235.43239,-42.477303,-19.234638,-22.135662,-26.88195,-3.5916696,-7.9372616,-1.6015992,-11.136405,-6.110741,4.215281,13.674054,11.932237
-170.69159,17.341566,-16.388235,-29.584448,-29.6999,-12.490981,-12.238377,4.3857446,-9.800564,-10.451531,-6.412339,-3.913977,-6.1446986
-157.96602,20.576836,-18.101788,-22.702423,-20.284754,-10.110818,-17.540491,-4.0631776,-13.398681,-7.647983,-8.170844,-5.233361,-5.598355
-145.67834,21.261284,-18.85061,-13.709688,-6.8260684,-6.4751544,-20.398563,-9.21706,-17.47479,-6.0826936,-5.8776097,-7.912895,-8.404404
-172.07047,3.885698,-13.401692,-14.220572,-6.7222247,5.742859,-15.015334,-8.819404,-9.805945,-3.3249633,-11.626052,-13.41979,-9.845651
-217.90303,-42.698093,-29.25777,-27.908928,-16.06342,12.438799,-2.4349365,4.657042,7.8197985,6.1972885,-9.501082,-11.146637,-11.676356
-190.79442,-52.937805,-55.79705,-26.630564,-32.51416,14.682302,-2.447152,13.522052,13.502165,10.342767,-6.0751925,-3.84624,-8.311561
-217.86673,-17.296236,-86.873505,-6.81546,-55.49742,8.990763,-20.73559,4.889236,0.02121092,15.023114,8.218476,11.669528,-11.601206
-262.98303,16.623184,-106.158615,-14.792029,-42.945065,-5.7268767,-12.606799,-3.473808,7.842827,5.334285,16.835968,8.342039,-5.6289287
-220.96875,23.978535,-109.69468,-12.8456335,-48.88849,-8.160169,-19.015608,-7.415958,0.83881086,9.114766,12.173732,11.47205,16.160038
-266.10056,29.025135,-91.84555,-19.393862,-32.314274,-10.0851345,-10.719003,-5.385123,0.060344182,10.255553,8.379652,12.988258,12.540809
-248.45763,21.305098,-100.92024,-13.729544,-43.38717,-7.3682203,-13.095895,-7.740842,1.2185014,9.346187,9.269597,9.778353,17.947224
-191.73404,65.15028,-108.68318,-13.788484,-32.889786,-3.162846,-25.912197,-24.876295,-11.056609,-2.9205363,-5.704911,-7.1401806,6.3028316
