boundaries,labels
0.3250793650793651,5.0
3.3436734693877552,1.0
4.876190476190477,1.0
7.894784580498866,1.0
10.95981859410431,1.0
12.07437641723356,1.0
15.09297052154195,1.0
16.62548752834467,1.0
18.11156462585034,1.0
21.223038548752836,1.0
22.709115646258503,1.0
24.19519274376417,1.0
25.727709750566895,2.0
28.746303854875283,3.0
30.325260770975056,3.0
31.811337868480727,3.0
34.82993197278912,3.0
36.31600907029478,3.0
37.89496598639456,3.0
40.91356009070295,3.0
42.44607709750567,3.0
43.97859410430839,3.0
46.99718820861678,3.0
49.27274376417233,3.0
50.80526077097505,4.0
53.823854875283445,2.0
55.356371882086165,2.0
58.37496598639456,2.0
59.90748299319728,2.0
61.39356009070295,2.0
62.92607709750567,2.0
65.99111111111111,2.0
67.10566893424036,4.0
70.17070294784581,4.0
72.44625850340137,3.0
74.72181405895692,3.0
77.36888888888889,3.0
78.90140589569161,3.0
80.43392290249433,3.0
83.45251700680272,3.0
84.98503401360544,3.0
86.51755102040816,3.0
89.53614512471655,3.0
91.06866213151928,3.0
92.55473922902495,3.0
95.61977324263039,3.0
97.10585034013606,4.0
99.42784580498866,4.0
100.91392290249433,4.0
102.02848072562358,2.0
105.09351473922902,2.0
108.11210884353741,2.0
109.64462585034013,3.0
111.17714285714285,3.0
114.19573696145125,3.0
115.72825396825397,3.0
117.26077097505669,3.0
120.32580498866213,3.0
121.8118820861678,3.0
123.34439909297052,3.0
126.36299319727891,3.0
127.89551020408163,3.0
129.42802721088435,3.0
132.4001814058957,3.0
133.97913832199546,3.0
135.51165532879818,3.0
138.53024943310658,3.0
140.0627664399093,3.0
141.54884353741497,3.0
143.0813605442177,3.0
144.56743764172336,3.0
145.72843537414965,3.0
147.26095238095238,3.0
150.27954648526077,3.0
151.8120634920635,4.0
152.55510204081634,4.0
154.08761904761906,4.0
157.1526530612245,4.0
158.63873015873017,4.0
160.1712471655329,2.0
161.7037641723356,2.0
163.18984126984128,2.0
164.67591836734695,2.0
166.99791383219954,4.0
168.48399092970521,4.0
171.54902494331066,4.0
173.08154195011338,4.0
176.05369614512472,4.0
177.6326530612245,4.0
180.65124716553288,4.0
182.1837641723356,3.0
183.71628117913832,3.0
186.7348752834467,3.0
188.26739229024943,3.0
189.7534693877551,3.0
192.81850340136054,3.0
194.35102040816327,3.0
196.2550566893424,3.0
199.2736507936508,3.0
202.2922448979592,4.0
205.35727891156463,2.0
208.37587301587303,2.0
211.44090702947847,2.0
212.9734240362812,3.0
214.45950113378686,3.0
215.99201814058958,3.0
218.26757369614512,3.0
220.17160997732427,3.0
223.19020408163266,2.0
226.2552380952381,2.0
229.2738321995465,3.0
230.8063492063492,3.0
232.33886621315193,3.0
235.35746031746032,3.0
236.843537414966,3.0
238.7940136054422,3.0
241.81260770975058,3.0
244.83120181405894,3.0
247.84979591836733,3.0
250.91482993197278,3.0
253.93342403628117,4.0
256.9984580498866,4.0
258.9024943310658,4.0
261.8746485260771,4.0
263.45360544217687,4.0
266.5186394557823,4.0
268.004716553288,4.0
269.5372335600907,4.0
281.61160997732424,4.0
281.6261224489796,5.0
