Second,Count,Spectral Centroid
64.0,3593,3909.104503553973
64.5,3656,3146.0528110976707
65.0,3817,3645.727231051882
65.5,3537,3722.86970444108
66.0,3382,3831.890442994576
66.5,3351,3080.128330146887
67.0,3264,3687.002180565196
67.5,3166,3653.086811733553
68.0,2986,4218.771160602055
68.5,2899,5359.90695688798
69.0,2838,4295.079216738633
69.5,2694,4685.804274697845
70.0,2752,4937.953659836468
70.5,2566,4503.510145246991
71.0,2515,3759.195713836085
71.5,2595,4243.267439296481
72.0,2485,3420.1587712408304
72.5,2474,5780.351653105705
73.0,2334,3750.031813594537
73.5,2323,5040.345662782531
74.0,2336,3922.165320785553
74.5,2253,4159.136378408973
75.0,2166,3343.414382689645
75.5,2161,4226.482564940997
76.0,2197,3396.876720101063
76.5,2096,4456.158309707411
77.0,1997,2144.9525356833983
77.5,2085,3104.1002497512964
78.0,2031,2271.436849541668
78.5,2043,3380.4140643617543
79.0,1998,2545.4497076043235
79.5,2015,2786.821993240493
80.0,2017,2743.801680577661
80.5,1948,3762.061261429931
81.0,1925,4816.747041096724
81.5,1886,2512.551828925614
82.0,1902,4662.757341549709
82.5,1909,2541.0113227578727
83.0,1972,3322.269773179028
83.5,1920,2730.131957052752
84.0,1921,2996.709996050265
84.5,2024,4377.929105902717
85.0,2179,3259.772234991367
85.5,2134,2791.0168136244683
86.0,2200,3153.7609484521386
86.5,2201,3322.947393502637
87.0,2355,3162.149649892744
87.5,2338,3970.955243997801
88.0,2414,3962.3961962439535
88.5,2462,3640.815065873448
89.0,2490,3231.711722146581
89.5,2567,3495.151115928433
90.0,2598,5283.414859218669
90.5,2480,4183.124974102296
91.0,2622,4170.169891760875
91.5,2615,3433.196036640484
92.0,2646,4018.264806515696
92.5,2619,4478.967341458979
93.0,2619,2930.166863241592
93.5,2691,2434.474632510165
94.0,2594,2749.1455237847345
94.5,2779,3830.7122013000726
95.0,2107,5060.334299483523
95.5,2065,4656.757278647439
96.0,2905,4234.79042449487
96.5,3311,4536.725134093042
97.0,3623,3828.799882601168
97.5,3496,4071.702508915138
98.0,3439,3627.230236261938
98.5,2894,4159.761899055505
99.0,2516,3633.3680297995047
99.5,2178,3648.2213691817656
100.0,2165,3756.136064934144
100.5,2220,3322.9442022517933
101.0,2215,4230.870730496685
101.5,2234,3262.687106145378
102.0,2515,4143.502746773546
102.5,2767,3172.8533079118542
103.0,2768,4284.958655718595
103.5,2977,4941.698118166531
104.0,2979,4399.775573912144
104.5,3330,3403.222564325207
105.0,4022,5147.234481766997
105.5,4376,3799.466171621724
106.0,3908,4063.7254969407336
106.5,3590,3279.768256151073
107.0,3918,3732.318182905027
107.5,3380,3754.429861904255
108.0,3275,3656.216810354572
108.5,3254,3153.29646148186
109.0,3234,3502.0637027718158
109.5,2929,3737.203693717665
110.0,2928,3822.086178308425
110.5,2820,5756.286749417279
111.0,2770,3855.459987236626
111.5,2798,4865.738203008898
112.0,2710,4984.1483183104665
112.5,2557,4320.993595890813
113.0,2311,3518.478005989879
113.5,2330,4307.106210382046
114.0,2400,3656.665080695223
114.5,2427,3953.744077216532
115.0,2347,3673.798386061108
115.5,2264,4284.6060370161285
116.0,2272,3508.81217227408
116.5,2113,4105.33722733434
117.0,1973,3460.283357599517
117.5,1948,3953.092046267672
118.0,2245,3196.651577770322
118.5,2215,3845.013376471987
119.0,2093,3622.913573848609
119.5,2355,3284.9996277633018
120.0,2738,4635.201621809004
120.5,2859,4580.422319236368
121.0,2600,4404.295329103661
121.5,2550,3430.4530787362214
122.0,2127,4931.553450111069
122.5,1966,3873.3172738431226
123.0,1802,3923.983106226621
123.5,1790,3487.952047205738
124.0,1857,3818.990637145052
124.5,1886,3730.724692825599
125.0,1758,3681.5098476375497
125.5,2070,3101.876412168859
126.0,2109,3657.31947855307
126.5,1986,3566.577492521154
127.0,1850,4111.169035969862
127.5,1866,5057.673198677804
128.0,1823,4117.115264998449
128.5,1761,4787.514179310346
129.0,1562,4694.903344698209
129.5,1625,4615.694890273366
130.0,1566,3523.584969698882
130.5,1496,4131.170302091496
131.0,1501,3308.738755163231
131.5,1488,5454.234586886152
132.0,1409,3709.4219851621215
132.5,1354,4508.038136950125
133.0,1256,3745.036490064522
133.5,1372,3864.838235178685
134.0,1331,3318.355609846901
134.5,1329,4120.204915396577
135.0,1262,3335.139260973978
135.5,1308,4002.608603623056
136.0,1314,3893.686915634105
136.5,1255,4132.114785968835
137.0,1201,4980.13657760497
137.5,1216,4466.765056447969
138.0,1178,3218.295692134763
138.5,1178,2608.432971822395
139.0,1222,2867.829176683417
139.5,1232,2407.097975745394
140.0,1264,3139.625143442486
140.5,1238,5541.943448459887
141.0,1160,4449.273267486954
141.5,1140,3611.109054635772
142.0,1131,2916.8910055035144
142.5,1105,2936.4927455992465
143.0,1186,4987.586578800772
143.5,1174,3483.15659598568
144.0,1122,3243.164222052408
144.5,1020,2490.657314070631
145.0,1087,3605.593451637438
145.5,1085,3683.626066405476
146.0,1104,3551.9186459396788
146.5,1103,2381.33756651413
147.0,1012,2515.371502335605
147.5,1116,2865.506783788961
148.0,1116,2419.885952855281
148.5,1182,3093.9891479356083
149.0,1204,5343.891339948988
149.5,1157,3820.074833906547
150.0,1155,4143.142418682678
150.5,1172,3871.9047995093406
151.0,1210,4658.683731704014
151.5,1145,4560.7675418189865
152.0,1191,4269.174062653773
152.5,1159,4711.744656097017
153.0,1172,4456.548651523452
153.5,1166,4277.910939163067
154.0,1178,4770.156310033576
154.5,1189,4749.294489538001
155.0,1095,4111.017190296583
155.5,1101,4399.746631430703
156.0,1090,3955.156071860712
156.5,1035,3894.4880134987634
157.0,1115,3784.425012731362
157.5,1110,4142.931893993728
158.0,1168,3763.4206445721807
158.5,1204,3378.5163600690703
159.0,1238,3820.4794310350503
159.5,1318,3665.462070826525
160.0,1240,4268.067933761297
160.5,1429,3272.2698029722283
161.0,1639,4041.602883027576
161.5,1623,3575.186381429182
162.0,1580,4205.185095452628
162.5,1572,4970.970129171686
163.0,1500,4446.139018488467
