Second,Count,Spectral Centroid
166.5,1195,3496.888972314385
167.0,1225,3857.730542751288
167.5,1221,3742.054855260489
168.0,1324,3764.9096991938686
168.5,1352,3774.89928714774
169.0,1252,3043.0981545669447
169.5,1210,3694.2367399183486
170.0,1134,3249.1032200362174
170.5,1142,3738.303349163456
171.0,1190,3383.5340472055914
171.5,1197,3002.951907975714
172.0,1285,3240.300813562253
172.5,1273,3039.7836901074666
173.0,1311,4640.648952097746
173.5,1242,3293.5820346085948
174.0,1163,3601.1797909314823
174.5,1179,3285.774066380768
175.0,1181,3025.530841536175
175.5,1003,2845.9103933510323
176.0,1180,3992.2535216308647
176.5,1128,3763.946097721014
177.0,1148,3853.306600145645
177.5,1195,5042.099070085434
178.0,1228,4048.996221686909
178.5,1210,4672.405232166745
179.0,1258,3309.645982968675
179.5,1150,3053.3303115362987
180.0,1141,4067.487121390907
180.5,1259,4308.312910117993
181.0,1255,3287.160643353178
181.5,1224,3603.601101382206
182.0,1161,4703.8284084836805
182.5,1034,4910.9062969273455
183.0,1051,5135.6589733696665
183.5,1023,4995.349701685459
184.0,1080,5099.281252705278
184.5,998,4720.042197315491
185.0,873,4776.633773281861
185.5,855,4109.796136371121
186.0,839,3506.534427060087
186.5,814,3957.917245122049
187.0,827,3874.7237858046096
187.5,802,3538.805788765881
188.0,908,3556.7815583170973
188.5,831,3300.840347192293
189.0,771,3775.1214403696576
189.5,736,4229.891495034902
190.0,749,4601.516185278495
190.5,747,5479.394442851488
191.0,747,4266.928002931137
191.5,681,3402.971374517019
192.0,652,4790.984365651273
192.5,667,3395.459123550407
193.0,637,3762.11095089385
193.5,583,3664.62495069012
194.0,612,3460.426734620501
194.5,619,3504.813300696925
195.0,639,3207.393595176526
195.5,645,3698.4223553316
196.0,586,3441.849620904222
196.5,574,3060.860962792971
197.0,640,4971.434007941871
197.5,556,4441.196937019886
198.0,549,4139.923410296063
198.5,531,4412.567712877112
199.0,522,4193.379422677066
199.5,572,3943.870262287255
200.0,509,3596.272752218729
200.5,546,3371.8337018239367
201.0,561,3665.694048762991
201.5,492,3735.081684861892
202.0,489,3802.8028618837566
202.5,508,3495.3385870621423
203.0,491,2994.932630549112
203.5,494,5146.59523321404
204.0,463,4582.338222309017
204.5,458,4123.072614099841
205.0,453,4596.856030683969
205.5,410,3378.2790969426774
206.0,399,4303.7489250211365
206.5,385,4283.181436472663
207.0,414,3441.45821179778
207.5,384,3759.087037721183
208.0,441,4231.353670967892
208.5,434,5100.980060145517
209.0,481,5378.00869241752
209.5,456,5340.809680434346
210.0,344,5141.319426367881
210.5,302,5564.254189010602
211.0,337,4966.945687273735
211.5,312,4794.103204428618
212.0,227,4206.857791050534
212.5,214,4741.117785110354
213.0,184,4593.841296385898
213.5,158,4746.504164877558
214.0,114,4981.749158813411
214.5,81,4660.234311237714
215.0,65,5012.807730953728
215.5,45,4712.091027614755
216.0,52,4661.252757930924
216.5,46,4890.089549569286
217.0,40,4797.112314604508
217.5,42,7514.878764945216
218.0,51,4656.818748099019
218.5,48,2858.3295895586957
219.0,44,2194.842568478771
219.5,48,2914.6822008742
220.0,48,4776.763700387857
220.5,43,6961.287950642645
221.0,50,9190.582096986916
221.5,45,11841.658039896876
222.0,48,16474.19475443866
222.5,68,0.0
223.0,31,0.0
