Second,Count,Spectral Centroid
0.0,645,10375.199274335782
0.5,1460,595.0520246012416
1.0,1233,976.7756498673652
1.5,1191,1737.143960936498
2.0,1057,2040.2454590138643
2.5,1152,2384.778239389218
3.0,1156,2006.640511879816
3.5,1144,1090.726196497536
4.0,1161,1211.898617540326
4.5,1223,1657.4939643286066
5.0,1169,2227.76643237833
5.5,1273,2986.6059775719564
6.0,1312,2279.294669007424
6.5,1479,711.4726537677006
7.0,1375,1006.065974774424
7.5,1512,1480.5606818418214
8.0,1519,1735.367936411198
8.5,1672,2125.023443515433
9.0,1812,1980.6170105319727
9.5,1921,871.5101484269055
10.0,2117,1094.1860214837332
10.5,2200,1564.8058562191077
11.0,2327,950.0381531866328
11.5,2785,544.9683216743283
12.0,2678,1536.1665230911938
12.5,2749,594.9429976549396
13.0,2765,1028.4719765403142
13.5,2836,3803.617072423044
14.0,2665,2897.1260486991605
14.5,2736,3762.760829770452
15.0,2739,2880.5484212973265
15.5,2868,1921.7912668377708
16.0,2855,2689.663170138759
16.5,3055,4447.039627503714
17.0,3219,3296.339035085228
17.5,3280,3302.9024189550687
18.0,3471,2550.2859985260907
18.5,3549,1420.0723261254957
19.0,3728,1684.3960971469317
19.5,3940,2984.7248583696896
20.0,3753,5390.419820045109
20.5,3498,3120.7942510194166
21.0,3232,2331.0511854759484
21.5,4007,2439.4160656366307
22.0,4256,2656.571464774054
22.5,4272,2084.56476742802
23.0,4863,2486.168824211892
23.5,4933,2702.6740059943936
24.0,5061,2974.280863824546
24.5,4769,1607.6270942725826
25.0,4743,2012.3585417088
25.5,4757,1803.4051230549385
26.0,4634,2441.927403398543
26.5,4704,2275.9956307505345
27.0,4371,3324.1851933998005
27.5,4594,2560.178603478653
28.0,4939,3265.03912327422
28.5,5185,3825.7546211102535
29.0,5307,2152.599919145803
29.5,5477,3069.809476662368
30.0,5567,3691.862427888024
30.5,5841,2280.876542708284
31.0,5669,1506.254185126154
31.5,5718,1955.537630082332
32.0,5509,4408.357176539084
32.5,5125,5395.729150623707
33.0,4239,4022.9307193225454
33.5,4183,2385.7691493969987
34.0,3676,2977.636107106656
34.5,3552,1968.538678031332
35.0,3883,1725.7740823038987
35.5,3824,2510.4920194900146
36.0,3767,4457.839189646111
36.5,3983,2918.075931826021
37.0,3844,3444.1205099224244
37.5,4035,3696.334603333415
38.0,3972,3593.3184028383857
38.5,3762,3767.225523487754
39.0,3591,4787.245611794657
39.5,3453,3172.468834047415
40.0,3666,3626.156153083014
40.5,3472,2602.9607171507782
41.0,3470,2447.4788898689303
41.5,3790,3608.99925420254
42.0,3733,4905.923933857556
42.5,3841,3725.8662034596327
43.0,3942,3761.200780683698
43.5,4259,2644.63246375945
44.0,4192,3036.143932551585
44.5,4340,3339.564112441393
45.0,4171,5165.9756468262
45.5,4294,3082.71667137205
46.0,4069,3009.033060245533
46.5,4202,4558.467942986263
47.0,4265,3323.8337764172343
47.5,4245,3394.7854080802504
48.0,3811,2882.2322756799213
48.5,3700,2646.6094120344064
49.0,3724,3402.832154737967
49.5,3853,4333.907996235084
50.0,3687,1894.4823215924396
50.5,3698,2204.921098101768
51.0,3798,2022.950528203442
51.5,3739,1175.4817109939354
52.0,3594,1265.6476388342194
52.5,3570,1912.4441703561183
53.0,3307,3595.939257064529
53.5,3205,4344.573096081848
54.0,3426,3769.010643836187
54.5,3502,2699.6613344387074
55.0,3444,3673.434521079587
55.5,3604,4428.079496940989
56.0,3802,2327.105550338265
56.5,3525,2780.4705649871453
57.0,3487,3902.693473479484
57.5,3842,3244.1572404524363
58.0,3610,3442.416970555876
58.5,3857,2220.974764570224
59.0,3923,1252.423219626771
59.5,4007,4130.088158458538
60.0,3765,3965.154477155465
60.5,3777,3906.542030677621
61.0,3862,3061.1457424453583
61.5,4058,2609.3705956641097
62.0,3858,2218.1822063964123
62.5,3747,2541.925614851281
63.0,3436,4432.45071589726
63.5,3442,3222.4314737226828
64.0,3502,3505.889496381338
64.5,3579,2212.257080451139
65.0,3464,2497.9247529202107
65.5,3418,3879.285962231212
66.0,2911,4993.973235915072
66.5,2586,3352.128739203694
67.0,2964,3300.8719503468974
67.5,2943,2624.239282849946
68.0,3148,2202.293839725791
68.5,3355,3097.210774394453
69.0,3123,4282.958148997318
69.5,2884,2539.412296080321
70.0,3042,3169.7012770380006
70.5,2961,2279.194563424267
71.0,3379,1726.3578542352582
71.5,3455,3542.0022323393428
72.0,3311,2679.4570275806464
72.5,3198,2689.948481745057
73.0,3152,2446.5436703667933
73.5,3096,3021.2676735482464
74.0,2948,2476.8414519402845
74.5,2834,2970.4716360808666
75.0,2784,3327.532060369096
75.5,2763,3443.1678158691016
76.0,2593,1341.2812631969907
76.5,2522,3396.552976414656
77.0,2410,2149.276002192564
77.5,2378,1690.153325286694
78.0,2519,3899.911250758007
78.5,2474,2909.9857974962742
79.0,2397,2863.529625325037
79.5,2280,3432.766060254097
80.0,2308,2418.1792108815675
80.5,2114,3005.8530551358967
81.0,2052,2863.0606362130284
81.5,2155,2059.6487871800878
82.0,2243,1658.4646986207515
82.5,2311,3246.103559093407
83.0,2226,2668.225992132168
83.5,2411,1961.6862324129904
84.0,2378,1472.3000336611112
84.5,2323,1040.9260173938274
85.0,2278,1396.658543487152
85.5,2181,2842.185753097595
86.0,2127,2425.482322227789
86.5,1814,2613.6803535777203
87.0,1655,2350.778916728882
87.5,1683,2096.7319474165142
88.0,1799,2491.6338243521004
88.5,1892,3402.383079877694
89.0,1936,2526.412178017481
89.5,1927,1730.0750678203049
90.0,1975,1701.415323248443
90.5,1935,1501.9019144162048
91.0,1838,1343.0897357207482
91.5,1830,4156.785537453142
92.0,1747,2929.548377393221
92.5,1659,2981.9261917233835
93.0,1684,2000.6777856256383
93.5,1736,2521.750540862141
94.0,1704,1501.3275427913088
94.5,1676,1886.9047109014332
95.0,1770,2545.0233192173278
95.5,1624,1570.2608964402566
96.0,1625,2126.226881709876
96.5,1412,2341.281674751415
97.0,1347,1721.9797971514615
97.5,1389,1944.0275781839944
98.0,1481,2366.447451306432
98.5,1532,1989.5654434251237
99.0,1481,2847.6185203703703
99.5,1565,2821.68625774296
100.0,1495,3287.50966307178
100.5,1511,3445.797379166004
101.0,1504,2069.848872585178
101.5,1651,2776.877577549907
102.0,1678,4005.91410662608
102.5,1616,2572.4811639098475
103.0,1611,1409.5102298690567
103.5,1807,1686.8839183504767
104.0,1748,3185.155952921183
104.5,1782,3743.06856584176
105.0,1954,3595.819543911622
105.5,2049,2570.4231575440767
106.0,2121,2949.5069670225075
106.5,2357,2282.3834489532856
107.0,2439,1936.8770202862715
107.5,2355,1355.919372892469
108.0,2563,5189.437864589377
108.5,2597,3162.0354632166204
109.0,2553,3839.4401603868578
109.5,2710,3524.207482509811
110.0,2611,3745.3584973754496
110.5,2689,3908.317689124409
111.0,2506,4098.4242391574535
111.5,2386,3244.299773060335
112.0,2310,3526.08235493398
112.5,2089,2570.2536175312343
113.0,2178,2328.682740788033
113.5,2290,2425.861247060453
114.0,2438,4844.542530557497
114.5,2504,3445.288091123266
115.0,2614,3301.4824953959533
115.5,2684,2563.4200286740106
116.0,2717,2876.102549523919
116.5,2749,2980.0669696217
117.0,2786,4461.899289890834
117.5,2584,3497.079248562846
118.0,2563,3374.2211878724106
118.5,2465,4399.947257988391
119.0,2346,3044.99207553779
119.5,2253,3499.5055535175734
120.0,2278,3005.616397510724
120.5,2152,2970.4075298752327
121.0,2134,2959.398391770539
121.5,2394,4203.592162979266
122.0,2396,2566.067319225549
122.5,2183,2346.9742673499213
123.0,2218,2446.581806599404
123.5,2324,1775.134778321844
124.0,2461,1536.0650063986595
124.5,2539,2020.26698076782
125.0,2608,3139.2479429205514
125.5,2683,3593.813932165085
