Second,Count,0,1,2,3,4,5,6,7,8,9,10,11,12
0.0,642,-501.66647,51.023483,34.164345,16.07807,2.954749,-4.3409667,-7.6420026,-8.14872,-6.19308,-2.7582376,0.3175976,1.7508793,1.7964841
0.5,1324,-468.97253,84.28317,40.9517,5.016685,-9.08241,-7.757111,-1.8468438,3.2156174,5.4570436,4.579877,2.3007483,0.34578362,-1.1545374
1.0,1406,-487.13376,69.84606,47.63809,21.499086,1.1413199,-8.435667,-8.361278,-3.6084282,0.81741226,2.545329,2.0816722,1.2228051,1.2112452
1.5,1301,-514.0107,36.817337,27.204496,15.627079,6.1302886,1.0497348,0.41105625,2.508777,5.0485015,6.275953,5.6578865,3.8084188,1.7451878
2.0,1278,-469.32944,82.10858,36.889797,2.324118,-9.208957,-6.9721766,-1.1586429,3.6031857,4.9309654,3.689232,2.9043999,2.692187,1.2707282
2.5,1246,-437.69138,111.96098,41.339817,-3.7578886,-13.739854,-9.711445,-2.3832917,4.8333445,6.764425,3.7038758,1.0745872,0.63346446,-0.16297354
3.0,1192,-456.88623,98.86495,49.492405,7.546776,-9.644104,-8.653679,-2.2814429,3.1712422,5.759267,4.419257,0.64565873,-1.7836893,-1.1598992
3.5,1406,-459.97498,93.87454,43.914734,2.9754868,-12.089906,-8.829997,-0.44790578,5.730056,7.0825415,4.3645806,1.1304042,-0.12989768,-0.096540764
4.0,1392,-478.92474,78.27132,49.127605,17.658604,-3.1725957,-9.561533,-6.3153043,-0.9435056,1.8556756,1.7533876,0.90087694,1.1849458,2.7242582
4.5,1305,-499.99756,54.18723,38.280815,19.197515,3.8651903,-3.747063,-3.94653,-0.1352526,3.768589,5.537672,5.2493505,4.3150487,3.9473636
5.0,1342,-455.94412,96.8703,42.8984,1.900646,-11.054242,-7.853263,-1.4203057,3.7394981,5.7832766,4.8195567,3.6838975,3.4797533,2.6817906
5.5,1427,-429.2669,122.85681,50.326263,3.0726027,-9.999441,-8.892886,-2.9910169,3.6911309,5.591179,3.019466,0.9078213,1.3292352,1.8304443
6.0,1476,-426.37555,126.70526,52.188194,1.8310982,-11.891344,-9.8175125,-5.247973,-0.7429814,2.4068465,3.044717,1.1848413,-0.90083873,-0.8439124
6.5,1483,-447.51602,108.61866,52.167496,5.0823154,-13.670298,-11.695963,-2.8553653,4.6681347,7.090097,4.431528,0.5214672,-1.3104866,-1.0359846
7.0,1648,-469.67877,88.81839,54.112633,17.935493,-4.7892685,-11.147318,-7.4677124,-1.605738,1.95725,2.4304085,1.152529,0.11720877,0.6587107
7.5,1669,-495.7179,59.291286,41.05657,19.4682,2.5697172,-5.2692885,-4.744434,-0.012697916,4.4006925,6.0563293,5.1517305,3.3808324,2.2919595
8.0,2046,-460.1942,94.06129,44.987625,4.3189373,-11.10701,-8.044202,0.28437617,5.849563,6.644339,4.854629,3.4638417,2.9113157,2.365701
8.5,3695,-440.96188,109.65697,43.132908,-0.7329638,-12.279544,-9.039893,-1.1754314,6.1898427,8.386702,6.1475034,3.3588808,1.8488922,0.71769345
9.0,4026,-437.44925,119.51355,56.970284,7.301021,-10.415801,-8.896916,-3.9757347,0.117998786,3.0706666,3.1128988,0.7027361,-1.0748148,-0.8637156
9.5,4226,-453.96222,103.17488,53.405807,9.279431,-10.908801,-11.09773,-3.2502303,4.0502605,6.7669463,4.7390995,1.1213894,-0.9330778,-1.0238647
10.0,3857,-467.1435,93.004875,59.203068,22.720491,-1.6894643,-9.774738,-6.6817775,-0.45525834,3.439243,3.6976557,1.9265711,0.4898949,0.6756161
10.5,3318,-445.7788,81.10857,21.487263,15.836477,12.727387,3.6882079,-2.4725068,-0.54560983,-3.396082,-2.4671428,3.1568415,5.805121,3.5390341
11.0,3098,-309.35645,54.21251,-11.982951,51.519558,-5.0396876,16.192934,-14.724889,4.146248,-16.374084,-4.1658926,-3.0826452,0.19679923,3.4237845
11.5,2948,-330.7252,70.263275,-29.93878,15.369286,-19.76776,1.2784277,-12.136878,2.3690362,-17.425985,-7.6812863,0.23816122,-1.6913911,15.117111
12.0,2361,-352.3184,110.43163,23.202381,34.19839,-30.615265,-17.755472,2.6135466,11.869083,-2.7124999,-8.261781,-5.2706666,-5.3905487,6.135215
12.5,1777,-327.11227,116.623856,25.710833,41.786026,-29.145988,-4.8418727,10.078411,17.797495,-7.514157,-13.310019,-5.626036,-10.060143,16.619354
13.0,1561,-370.3264,120.52141,36.74429,27.598635,-8.799133,1.3979137,1.4324697,0.76162577,-8.437005,2.074729,-2.8716912,-5.444939,7.019188
13.5,1831,-338.34262,107.358025,14.286935,33.667343,13.849214,10.523374,-28.96041,-2.2641642,-3.2702725,13.229501,2.0374858,-21.599176,8.5149145
14.0,1674,-431.08704,104.44336,55.268227,32.53009,12.081303,1.1495527,-9.342201,1.2470243,-1.7632544,0.56926817,-0.60496026,-7.393976,0.029728021
14.5,2082,-469.504,91.18331,61.608524,30.58632,10.034553,1.6180235,0.011957479,-0.25757316,-1.1125429,-1.6490098,-0.77357906,1.0472633,2.27489
15.0,2280,-321.67004,137.74242,21.703556,7.2595024,-2.3175616,7.427168,-12.617272,8.897647,-7.431279,-4.761255,-6.987912,1.8275554,10.459498
15.5,2322,-310.58664,94.1782,-5.2719154,43.13597,5.9523654,10.536059,-10.872958,9.952351,-7.485436,-8.689108,1.9439911,-2.8788135,-1.6862919
16.0,1494,-318.34723,116.73687,17.593863,8.999711,-5.956511,16.572577,-12.808821,10.031117,-13.236889,-6.640971,-4.044577,2.1713867,2.935496
16.5,1603,-344.18622,108.697235,7.5309916,16.425636,1.9687599,12.721628,3.36245,7.05785,-23.241497,-2.7435286,-3.1567745,-1.9504924,10.830344
17.0,1697,-452.8738,92.827286,41.67428,21.358831,14.0695715,8.152284,4.1843853,0.50393945,-4.3655806,-6.899183,-0.51492786,5.9382944,2.259182
17.5,1726,-365.34512,83.2064,-7.140317,20.114325,0.30848557,10.293475,-5.8062963,-2.104148,-3.354852,-0.09603099,-1.5023091,6.3737574,7.398038
18.0,2338,-298.89246,106.5605,12.365366,33.67115,-25.421156,4.1700087,1.0736666,10.917013,-14.795545,-2.549254,-7.013361,-1.9527994,8.351394
18.5,2903,-334.3088,99.94092,18.032036,34.687042,-10.718052,9.293882,-4.959931,6.7226415,-11.589127,-1.1438712,-4.1691456,-5.2120867,13.0425825
19.0,3141,-320.70453,115.06364,27.34854,36.119263,-40.478573,-9.886698,3.441345,17.174232,-5.492363,-6.1138434,-2.7489939,-6.192952,14.350522
19.5,3630,-336.79495,122.62328,20.61941,16.186348,-16.70974,-0.19312522,-5.4670277,12.201972,-14.514809,-8.119436,0.026750963,-8.17939,13.713058
20.0,3524,-385.83838,112.824005,32.774307,20.69898,-6.0810094,4.8307796,-7.1814914,0.19534923,0.54674405,-4.617366,-3.9704576,-4.437886,10.042666
20.5,3195,-345.46585,108.38476,13.04843,14.724885,-15.320879,9.247905,-2.1853716,7.2703843,-13.261516,-2.0005066,3.4083428,-5.474486,14.238807
21.0,2921,-317.32095,81.54235,8.622283,69.198456,-1.0265384,-2.6413097,-10.166338,8.822492,-7.0080495,5.80128,0.85071653,-11.211902,3.8025768
21.5,3863,-351.0813,111.483795,34.1242,34.77855,-12.362885,11.276236,-11.698751,4.920802,6.778106,4.0898714,-3.035298,-15.769301,8.649951
22.0,4796,-357.0777,123.80313,33.63264,27.14803,-5.4894996,5.084017,-5.6526647,5.7492623,-5.0929046,-5.136517,-2.2826056,-5.4521575,8.559494
