Second,Count,0,1,2,3,4,5,6,7,8,9,10,11,12
0.0,1303,-301.11377,16.079737,-29.914625,9.039491,-14.93371,-5.224779,-15.612078,-3.1894243,-13.183598,-6.9542704,-8.003745,1.4565107,-0.9982252
0.5,2476,-305.6167,31.203247,-42.541553,17.940958,-3.8294628,-2.8867915,-11.830856,-9.553376,-13.2219095,-4.62319,-9.317633,0.994787,2.6559308
1.0,2347,-369.3974,26.040047,-16.862892,8.470982,-6.162486,-3.822091,-11.627734,-4.335892,-8.875162,-4.7724524,-6.3275847,2.2779274,1.5549065
1.5,2329,-325.88232,41.129456,-21.806555,2.3112636,-9.454166,-3.6052694,-14.404166,-7.6526594,-10.217258,-5.6118474,-7.4449086,0.9051192,-1.382528
2.0,2314,-280.0856,34.486423,-30.484983,8.535286,-23.010487,-0.79457253,-16.957909,-1.6211196,-12.400178,-11.8354435,-8.041486,2.9047463,-2.4796398
2.5,2495,-275.52237,56.83248,-49.359074,-3.7026126,-8.795124,-3.3968813,-21.592737,-3.2253397,-13.230539,-2.0328915,-7.554872,-4.95071,2.268329
3.0,2531,-249.25572,58.690414,-58.33473,-11.279419,-18.143219,-3.1095777,-18.171967,4.4706388,-15.250849,-8.460672,-2.7359934,-5.200033,2.8997183
3.5,2928,-244.56256,72.4023,-39.76006,0.8290044,-21.991419,-12.810192,-27.509277,-10.579514,-11.369894,-4.1470165,-11.634618,-7.0463896,5.200507
4.0,3363,-239.85193,84.34497,-58.1046,-7.30453,-11.628775,-10.823713,-30.604614,-16.440332,-9.575687,4.9781184,-2.4058022,-8.54833,4.8692703
4.5,3527,-235.94244,39.692287,-28.152967,-2.702128,-45.19562,-4.8872166,-32.376915,-6.3417826,-15.738372,-8.789972,-9.81666,2.4708266,0.8772214
5.0,3957,-285.23166,48.135044,-8.259281,2.4029763,-35.101513,-2.150858,-18.724691,-14.324582,-14.132437,-2.944632,-7.9566326,2.4325821,-0.8816276
5.5,4314,-344.13614,54.721165,-6.3069663,-4.0695796,-19.975103,-10.237182,-22.38755,-15.246736,-12.870018,-5.110452,-5.340906,3.437659,2.6921744
6.0,4950,-218.35397,47.215836,-52.479527,2.9360037,-19.780382,2.7159176,-18.755316,-2.1633108,-15.498728,-8.467334,-7.950213,0.8016496,-3.9909852
6.5,5623,-228.34409,52.692593,-54.829685,-4.6736264,-14.490537,2.0637443,-31.075068,-0.90595645,-17.435556,-13.638401,-0.077997155,-4.1208987,-2.8676844
7.0,6651,-317.01285,66.513535,-19.103817,-6.450751,-18.744892,-12.071691,-17.750036,-10.32136,-13.594877,-8.639624,-9.466984,0.7382291,0.7001679
7.5,7643,-327.63284,31.7691,-11.703147,9.350032,-17.657045,8.501822,-15.846017,-10.51655,-7.482641,-1.4567945,-8.296046,1.9078951,3.5948539
8.0,8396,-257.83075,48.023785,-40.91758,-2.0773149,-15.655939,4.7338176,-33.157394,-6.5393605,-22.599993,-17.03782,0.04384798,0.006255837,-5.1095457
8.5,9628,-266.09103,65.7228,-36.345097,-20.855572,-34.51735,-12.058762,-22.159246,-4.214852,-13.204499,-13.838125,-5.580673,3.5264413,-3.2981772
9.0,10384,-339.57397,54.00742,-5.8296084,-5.9430995,-23.747252,-6.248673,-15.936146,-13.356812,-15.771144,-6.006408,-5.2901826,2.2115655,-0.33562085
9.5,11206,-234.05539,48.246212,-45.51681,3.9353347,-18.09908,6.314245,-22.038105,-4.2422004,-16.357952,-6.3611164,-1.7570201,-1.4279104,-3.5585074
10.0,11783,-229.87804,68.135,-44.537624,-11.757273,-28.515753,-10.136952,-26.696812,-1.0818771,-14.42194,-13.547453,-5.330445,0.36407292,-3.822129
