Second,Count,0,1,2,3,4,5,6,7,8,9,10,11,12
0.0,190,-462.15292,56.689407,35.371437,20.430767,13.591297,7.765349,2.0778544,-0.39445123,-0.3494524,0.22520928,1.2308177,1.7442018,0.46804464
0.5,370,-436.46658,87.302055,55.977715,34.24742,22.086151,12.066308,4.7575245,1.141339,-0.80726147,-2.334888,-2.5497704,-1.2107205,-0.7316076
1.0,364,-432.88327,90.809166,57.055336,34.30718,21.753403,11.43511,4.131761,0.9418719,0.34218082,0.26443797,-0.075838,0.06589045,-0.5248618
1.5,361,-437.3602,85.50598,54.25408,33.86254,21.7569,10.137223,1.7919705,-1.5166465,-1.959434,-1.1220702,0.35605273,1.7050835,1.0267769
2.0,361,-426.89716,98.146645,61.16295,34.57312,18.924408,6.2307625,-1.4485742,-2.5365436,-1.0798321,-0.3013966,-0.37226957,-0.69424856,-1.7591865
2.5,365,-434.6766,88.10035,53.83969,30.686165,17.936604,7.1022553,-0.2372091,-1.9054924,-0.45106286,0.91111445,1.5017605,1.7738433,0.38981053
3.0,398,-427.26553,98.55496,61.617516,32.978745,16.810238,5.4264717,-1.7757115,-3.055701,-1.4755005,-0.2707827,0.5412184,0.89996284,-0.3791137
3.5,427,-423.47696,101.24255,59.54133,28.903448,14.339391,6.2666855,1.9027052,1.5013202,2.0392337,1.4246215,0.9501861,1.2142949,0.36367297
4.0,440,-426.6731,96.601974,54.312965,23.863176,11.817753,6.2104583,1.22319,-1.4641209,-1.8275462,-1.5010104,-0.5014172,1.1088312,1.6359664
4.5,452,-404.61746,119.38762,59.7869,18.121717,7.364928,8.652731,6.0419703,-0.7057197,-5.596195,-5.3455057,-1.3766346,1.6068825,0.3049482
5.0,475,-416.3799,104.13381,49.52472,15.767276,11.030217,12.9582405,8.28573,1.0794438,-2.2921984,-0.7293244,2.6116354,3.0900812,-0.3996292
5.5,522,-400.06165,119.545555,47.700768,1.1740927,-1.894646,10.488709,11.754577,2.262474,-4.793722,-3.3074927,1.8075264,3.0434833,-0.40973952
6.0,582,-401.12772,116.9856,43.558594,-2.9408147,-4.224875,10.847713,14.286536,4.8320127,-3.8607686,-3.2710223,2.613195,4.541408,0.113424726
6.5,603,-385.3343,132.04218,46.378113,-5.4234347,-7.2175684,7.19451,11.020439,4.0089564,-2.6484632,-2.5936453,1.5828981,3.4790447,0.25618005
7.0,637,-379.31586,139.37866,47.38693,-13.647582,-16.904192,5.4074607,16.2314,8.657264,-2.7375886,-4.743182,1.1179458,3.4597352,-1.785035
7.5,725,-383.65967,129.74231,37.023453,-15.363635,-12.712995,5.812157,11.074363,3.798157,-1.8934596,0.20612082,3.8506238,3.2239008,0.0067799063
8.0,1096,-373.31747,137.55893,35.183254,-17.574883,-11.75848,6.516023,12.480093,8.180599,1.1786463,-1.4613173,2.1580615,4.805813,0.34901428
8.5,1214,-357.50333,141.01585,20.652607,-21.883593,-6.5981646,9.855817,11.332212,4.95399,0.42332333,-0.8276291,2.3357832,6.046706,2.2737937
9.0,1223,-332.12576,137.9541,-7.555609,-12.616218,7.145457,-7.5828557,-1.9266366,13.826626,3.3994677,-9.075388,3.3656676,12.673282,1.6319126
9.5,1186,-322.25095,103.089584,-20.36834,18.87787,-0.9243153,-12.174185,4.2946243,20.949585,1.6537131,-17.308882,5.8131604,16.020975,4.822914
10.0,1148,-350.80518,113.89641,17.60112,13.491011,-17.164082,-10.01981,6.289597,5.7197213,0.79528445,-9.932575,-1.2795018,10.135668,1.3559544
10.5,1120,-208.99135,83.58952,-36.03446,37.950977,-3.438122,24.270985,-27.479404,14.321272,1.4386985,-8.534018,11.423406,-15.475069,-9.06254
11.0,1085,-227.02432,126.585495,-24.971935,20.78192,-25.632933,1.5451419,2.5895264,12.887733,-3.8708036,-8.372909,-2.4247699,-8.3667,5.513472
11.5,1048,-246.58534,124.606026,0.45325798,11.077161,-32.77938,1.5506471,-7.0687165,20.72174,-3.908356,-6.441675,10.20517,-2.0074701,-5.4685802
12.0,1016,-246.43216,100.55862,-24.11403,26.974773,-25.597843,1.8144611,4.2343593,12.774418,-13.12228,-3.99201,1.4483185,-9.167282,1.8804662
12.5,972,-259.4066,147.2099,-8.021134,-2.7139208,-27.322596,-2.2630126,4.1271577,14.50621,-0.46160963,-3.0379822,5.471403,-2.4831352,-2.4144022
13.0,1070,-228.10501,108.25596,-9.704022,23.966908,-34.844727,12.946548,-19.505241,20.999647,-3.7854438,-10.157272,16.993305,-8.069937,-0.4839354
13.5,1158,-240.14629,108.19664,8.230289,22.925375,-42.959034,11.050702,-13.783398,19.538446,-5.460744,-3.3062894,10.572237,-6.0873704,0.009118157
14.0,1376,-210.98192,89.25487,1.0048559,36.428776,-56.214016,16.51354,-4.5246186,17.789635,-17.493408,-5.0795355,12.717056,-1.8422014,-6.0045424
14.5,1597,-238.81287,124.094124,10.788395,23.60761,-40.761215,9.865297,-7.045809,12.570876,-11.296943,-8.873924,12.215901,-3.4405837,1.0779108
15.0,1808,-289.30786,155.95557,19.518185,-5.018667,-30.469309,-1.4589459,3.2146752,7.7680783,-6.6859536,-5.2550006,8.737179,-3.7426343,-1.9090221
15.5,1921,-189.25983,82.11047,-2.9322994,26.409819,-34.847115,17.788914,-12.530255,5.2227583,-17.792826,-3.5990217,8.382065,-3.5192811,-9.833686
16.0,2258,-230.76733,109.39155,-14.427733,19.97024,-24.682802,19.618803,-7.114066,1.5925122,-13.55381,-5.8663588,19.038736,-11.258069,-10.024749
16.5,2395,-221.99693,126.69705,-26.915318,5.402181,-7.6221924,15.242821,-9.359411,7.2184124,-15.377058,-1.316997,12.60413,-12.8305025,-11.060651
17.0,2575,-243.91304,132.22882,-28.092186,-1.6907021,-18.553576,2.613224,-6.477852,6.548787,-12.808509,-6.835562,11.745707,-7.554342,0.08866251
17.5,2804,-283.47165,154.86081,-3.0879936,-16.69802,-13.982606,6.3555303,2.2471197,8.346946,-2.546103,-4.2250204,5.3340664,-0.8108518,-0.93761647
18.0,3014,-249.60449,126.29418,-22.747534,9.978752,-25.904799,-2.9500465,-4.970811,15.899553,-1.8443671,-9.36636,14.25373,-8.335502,-3.525866
18.5,3194,-217.18922,104.47652,-31.3554,30.275654,-8.449346,5.414412,-21.846876,17.617315,-5.6686645,-3.3143272,12.975054,-13.246791,-8.126431
