boundaries,labels
0.7430385487528345,10
19.458321995464853,7
19.922721088435374,2
20.387120181405894,4
21.31591836734694,2
22.291156462585032,7
22.755555555555556,7
23.684353741496597,7
24.14875283446712,2
24.61315192743764,7
25.541950113378686,2
26.006349206349206,2
26.51718820861678,7
27.910385487528345,2
28.374784580498865,4
28.83918367346939,2
29.30358276643991,4
29.76798185941043,2
30.232380952380954,4
30.696780045351474,2
31.161179138321994,4
31.672018140589568,2
32.60081632653061,2
33.065215419501136,4
36.826848072562356,7
37.29124716553288,2
37.755646258503404,4
38.22004535147392,2
39.14884353741497,4
39.613242630385486,7
42.44607709750567,2
42.91047619047619,2
43.37487528344671,7
43.83927437641724,4
44.30367346938775,2
45.2324716553288,8
45.69687074829932,0
46.16126984126984,1
46.672108843537416,8
47.13650793650794,3
47.600907029478456,9
48.06530612244898,3
48.529705215419504,9
48.99410430839002,3
49.458503401360545,8
49.92290249433107,8
50.387301587301586,8
50.85170068027211,8
51.36253968253968,8
51.82693877551021,0
52.291337868480724,1
52.75573696145125,0
53.22013605442177,1
53.68453514739229,6
54.14893424036281,5
54.61333333333334,6
55.077732426303854,5
55.54213151927438,3
56.05297052154195,5
56.517369614512475,3
56.98176870748299,9
57.446167800453516,8
57.91056689342403,5
58.83936507936508,8
59.3037641723356,0
59.76816326530612,1
60.232562358276645,0
60.69696145124716,1
61.161360544217686,5
61.62575963718821,6
62.136598639455784,5
62.6009977324263,6
63.065396825396824,5
63.52979591836735,6
63.994195011337865,5
64.45859410430839,6
64.92299319727891,5
65.38739229024944,6
65.85179138321996,7
66.31619047619047,9
66.82702947845804,3
67.29142857142857,9
67.75582766439909,3
68.22022675736962,9
68.68462585034014,8
69.14902494331066,2
69.61342403628117,4
70.0778231292517,2
70.54222222222222,4
71.00662131519275,2
71.47102040816327,4
71.9354195011338,2
72.3998185941043,4
72.91065759637188,7
73.3750566893424,4
73.83945578231292,2
74.30385487528345,7
74.76825396825397,2
75.2326530612245,2
76.16145124716553,7
76.6722902494331,7
77.13668934240363,7
78.06548752834468,4
78.5298866213152,7
78.99428571428571,4
79.92308390022676,2
82.29151927437641,4
82.75591836734694,7
83.22031746031746,4
83.68471655328798,7
84.14911564625851,4
84.61351473922902,7
85.07791383219954,4
87.91074829931972,6
88.37514739229024,3
88.83954648526077,9
89.30394557823129,3
89.76834467120182,8
90.23274376417234,3
90.69714285714285,9
91.16154195011337,3
91.6259410430839,9
92.13678004535147,3
92.601179138322,9
93.06557823129252,0
93.52997732426304,1
93.99437641723355,0
94.45877551020408,5
94.9231746031746,6
95.38757369614513,5
95.85197278911565,6
97.75600907029478,8
98.2204081632653,9
98.68480725623583,3
99.14920634920635,9
99.61360544217688,3
100.07800453514739,1
100.54240362811791,0
101.00680272108843,1
101.51764172335601,0
101.98204081632653,6
102.44643990929706,5
102.91083900226758,6
103.37523809523809,5
103.83963718820861,6
104.30403628117914,5
104.76843537414966,6
105.23283446712018,5
105.69723356009071,6
106.16163265306122,5
106.67247165532879,6
107.13687074829932,5
107.60126984126984,6
108.06566893424036,5
108.53006802721089,8
108.99446712018141,3
109.45886621315192,7
109.92326530612245,3
110.38766439909297,7
110.8520634920635,8
111.31646258503402,0
111.82730158730159,8
112.29170068027211,0
112.75609977324262,1
113.22049886621315,5
113.68489795918367,6
114.1492970521542,5
114.61369614512472,6
115.07809523809524,5
115.54249433106575,6
116.00689342403628,5
116.4712925170068,3
116.98213151927438,5
117.4465306122449,6
117.91092970521542,5
121.11528344671201,7
121.53324263038549,6
121.95120181405896,5
124.22675736961452,7
124.69115646258503,7
125.15555555555555,5
125.61995464852608,6
126.0843537414966,5
128.45278911564625,8
128.91718820861678,8
129.3815873015873,8
129.84598639455783,9
130.31038548752835,3
130.77478458049887,9
131.19274376417235,3
131.6107029478458,9
132.02866213151927,8
132.44662131519274,9
132.91102040816327,8
133.3754195011338,9
133.83981859410432,8
134.30421768707484,9
134.76861678004536,8
137.09061224489795,6
137.60145124716553,9
138.06585034013605,8
138.53024943310658,3
138.9946485260771,8
139.45904761904762,3
139.92344671201815,4
140.38784580498867,2
140.8522448979592,4
141.3166439909297,2
141.78104308390022,4
142.2918820861678,2
142.7562811791383,4
143.22068027210884,2
144.6138775510204,7
145.07827664399093,7
146.00707482993198,4
146.4714739229025,2
146.98231292517008,7
147.4467120181406,2
148.83990929705215,7
149.30430839002267,7
149.7687074829932,7
150.23310657596372,3
150.69750566893424,9
151.16190476190476,3
151.6263038548753,9
152.13714285714286,3
152.6015419501134,9
153.0659410430839,3
153.53034013605443,9
153.99473922902493,8
154.45913832199545,9
154.92353741496598,8
155.3879365079365,9
155.85233560090703,9
156.31673469387755,3
156.78113378684807,9
157.29197278911565,3
157.75637188208617,9
158.2207709750567,3
158.68517006802722,9
159.14956916099774,8
161.93596371882086,9
162.44680272108843,8
162.91120181405896,9
163.37560090702948,3
163.84,9
164.30439909297053,0
164.76879818594105,1
165.23319727891158,0
165.6975963718821,5
166.1619954648526,6
166.62639455782312,5
167.1372335600907,6
168.9948299319728,8
169.4592290249433,9
169.92362811791384,3
170.38802721088436,9
170.85242630385488,3
171.36326530612246,1
171.82766439909298,0
172.2920634920635,1
172.756462585034,0
173.22086167800452,6
173.68526077097505,5
174.14965986394557,6
174.6140589569161,5
175.07845804988662,6
