boundaries,labels
0.37151927437641724,10
42.0281179138322,5
42.399637188208615,8
42.77115646258503,5
43.14267573696145,8
43.51419501133787,5
43.885714285714286,8
44.257233560090704,9
44.62875283446712,8
45.00027210884354,5
45.37179138321996,8
45.789750566893424,6
46.16126984126984,7
46.53278911564626,6
46.90430839002268,7
47.275827664399095,6
47.64734693877551,7
48.01886621315193,6
48.39038548752834,0
48.76190476190476,1
49.13342403628118,0
49.504943310657595,1
49.87646258503401,0
50.24798185941043,1
50.6659410430839,0
51.037460317460315,2
51.40897959183673,3
51.78049886621315,2
52.15201814058957,3
52.523537414965986,2
52.895056689342404,3
53.26657596371882,2
53.63809523809524,4
54.00961451247166,9
54.381133786848075,4
54.75265306122449,5
55.12417233560091,8
55.49569160997732,5
55.86721088435374,4
56.23873015873016,5
56.65668934240363,8
57.02820861678005,5
57.39972789115646,7
57.77124716553288,6
58.142766439909295,7
58.51428571428571,6
58.88580498866213,7
59.25732426303855,6
59.628843537414966,7
60.00036281179138,6
60.3718820861678,0
60.74340136054422,1
61.161360544217686,0
61.532879818594104,1
61.90439909297052,0
62.27591836734694,1
62.64743764172336,0
63.018956916099775,2
63.39047619047619,3
63.76199546485261,2
64.13351473922903,3
64.50503401360544,2
64.87655328798186,3
65.24807256235827,2
65.66603174603175,4
66.03755102040816,9
66.40907029478458,4
67.15210884353742,5
67.52362811791383,9
67.89514739229026,4
68.26666666666667,9
101.65696145124717,5
102.02848072562358,5
102.4,8
102.77151927437642,5
103.14303854875284,8
103.51455782312925,5
103.88607709750566,8
104.25759637188209,5
104.6291156462585,8
105.00063492063492,5
105.37215419501133,7
105.79011337868481,6
106.16163265306122,7
106.53315192743764,6
106.90467120181405,7
107.27619047619048,6
107.64770975056689,7
108.01922902494331,6
108.39074829931972,0
108.76226757369615,1
109.13378684807256,0
109.50530612244899,1
109.8768253968254,0
110.24834467120182,1
110.66630385487528,0
111.0378231292517,2
111.40934240362812,3
111.78086167800454,2
112.15238095238095,3
112.52390022675738,2
112.89541950113379,3
113.2669387755102,2
113.63845804988662,4
114.00997732426303,9
114.38149659863946,8
114.75301587301587,5
115.1245351473923,8
115.4960544217687,5
115.86757369614513,8
116.23909297052154,5
116.65705215419501,8
117.02857142857142,5
117.40009070294785,7
117.77160997732426,6
118.14312925170069,7
118.5146485260771,6
118.88616780045352,7
119.25768707482993,6
119.62920634920636,7
120.00072562358277,1
120.37224489795918,0
120.7437641723356,1
121.16172335600908,0
121.53324263038549,1
121.9047619047619,0
122.27628117913832,1
122.64780045351473,3
123.01931972789116,2
123.39083900226757,3
123.762358276644,2
124.1338775510204,3
124.50539682539683,2
124.87691609977324,3
125.24843537414966,9
125.66639455782312,4
126.03791383219955,9
126.40943310657596,8
126.78095238095239,5
127.1524716553288,8
127.52399092970522,5
127.89551020408163,4
128.26702947845806,5
128.63854875283448,8
129.01006802721088,6
129.3815873015873,7
129.75310657596373,6
130.1710657596372,7
130.5425850340136,6
130.91410430839002,7
131.28562358276645,6
131.65714285714284,7
132.02866213151927,1
132.4001814058957,0
132.77170068027212,1
133.14321995464852,0
133.51473922902494,1
133.88625850340136,0
134.2577777777778,1
134.67573696145124,3
135.04725623582766,2
135.41877551020409,3
135.7902947845805,2
136.1618140589569,3
136.53333333333333,2
136.90485260770976,3
137.27637188208618,9
137.64789115646258,4
