0,1,2,3,4,5,6,7,8,9,10,11,12
-458.03424,41.26568,23.649591,8.159814,-4.817539,-15.283345,-17.458447,-12.316897,-8.871446,-9.0384035,-7.785871,-6.55042,-9.6592865
-444.3477,55.305515,28.794847,9.444495,-4.5272856,-16.469881,-18.339447,-11.895549,-10.199675,-12.827297,-10.194636,-6.89109,-11.4200325
-432.01907,65.40794,28.381123,7.84796,-4.825581,-19.5245,-21.297668,-10.250703,-7.787079,-13.20777,-9.554292,-3.7125247,-9.864003
-418.5958,75.95212,27.429302,7.891872,0.3669849,-15.857004,-20.41371,-8.546915,-6.4896693,-14.427536,-11.112121,-4.529885,-11.709866
-404.64117,85.23037,23.326262,5.289597,0.832497,-20.606491,-26.849092,-10.406584,-7.6968737,-16.782507,-9.643371,-0.64231765,-11.318133
-380.84592,101.65118,17.864687,2.1480932,3.6886678,-21.298925,-25.857613,-5.3066,-7.938644,-21.05792,-9.362516,1.2929877,-11.548819
-368.15942,108.92278,13.836559,2.6040394,6.389406,-24.21976,-28.69481,-4.674691,-7.4128404,-20.431072,-9.710277,-2.860176,-16.243345
-348.18475,119.46247,5.561409,1.7955664,11.05864,-24.885447,-27.644318,-1.8816241,-9.320245,-21.435822,-7.720613,-4.028206,-18.176632
-332.0876,127.20631,1.1272173,6.498564,13.629241,-31.898926,-29.01615,1.0477302,-10.400075,-19.77723,-3.4532676,-3.8526533,-18.281096
-307.8406,139.63634,-7.145268,6.575057,14.737174,-34.89763,-26.699516,1.2144687,-14.207255,-19.425953,-3.3926473,-5.214556,-16.804907
-288.08295,143.80309,-16.729973,13.052924,16.251928,-38.311527,-22.11684,1.632072,-14.270133,-12.989417,-1.7258061,-5.64341,-12.817206
-261.78165,149.4855,-22.83575,22.684004,13.437809,-39.95719,-19.933483,-0.80979824,-17.861532,-19.611315,-6.5410466,-7.694371,-12.5251875
-230.82726,144.75703,-28.723267,32.8715,2.012232,-33.608665,-22.971981,-2.0390768,-13.126906,-18.04377,-0.72975343,-7.904246,-8.159661
-187.97849,139.5954,-27.684406,40.75432,-8.010532,-20.005701,-26.567987,0.96802485,-13.626261,-19.599913,-0.50768113,-7.506875,-6.318805
-112.87344,120.875694,-15.591554,64.5423,-20.13681,15.190018,-28.254202,13.246471,-5.860704,-6.43273,5.2153115,-0.82945365,-10.173175
-132.78358,118.67285,-11.056858,47.884674,-16.032427,14.659736,-27.483763,16.384392,-13.33065,-3.046046,-0.09552965,1.0723567,-4.01644
-121.79706,124.200615,-8.509596,56.72606,-24.35232,19.150455,-32.13905,22.694117,-8.093474,-12.203916,5.7598615,-7.1963716,-4.311699
-122.841866,123.23321,-15.187005,54.37697,-22.332268,17.150982,-33.24656,19.18849,-8.0845,-5.564331,2.7097795,-4.3324823,-5.3392644
-130.25578,123.947426,-5.766615,65.48663,-11.872039,19.393278,-19.960962,15.590904,-11.683571,-3.0868087,5.8541284,2.4151077,-4.6199126
-128.30199,110.82841,-14.7891245,59.29462,-18.11337,17.412306,-30.927855,11.841074,-6.751285,-5.940862,5.876795,-1.2677987,-1.5876672
-141.1076,112.2743,-10.906796,47.75243,-35.978195,10.576415,-36.87745,30.367437,-5.1280775,-8.541874,3.6282768,-6.180705,-0.46948907
