Second,Count,Band_0,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6
0.0,343,21.429138125285323,11.067227967637406,15.29199439320473,15.630202926819656,18.097953084748102,19.639670461848983,22.81564337227466
0.5,671,26.992446886643325,18.33554911573351,20.486351332286475,22.211359301326425,24.579884896434542,23.674065076827183,19.46788266394697
1.0,591,23.218835375057367,10.11463027985598,15.9086969339496,16.459233329733483,15.206889558946775,20.328537032459145,24.92953253239196
1.5,618,22.15789146911319,18.32316950287145,23.213188092738392,22.64426685293271,21.5307761371074,19.995031168610744,34.43090414872589
2.0,619,19.567570678157484,17.496980493901336,18.60878366790355,19.844609249226725,21.772649659650583,18.63185338229531,32.35611460180203
2.5,573,21.76348645014933,13.844491987989596,16.96137276871875,17.794467671535433,16.781510469024887,17.64633442967199,27.11871980966288
3.0,576,23.768276065178657,16.07329717543242,17.863284421012658,14.905486241929491,19.13140591315024,18.489857059970955,30.15128008370597
3.5,635,20.6964869871516,17.05063714692526,18.291134873480058,16.966921330624928,16.44381983350049,17.209890251830878,33.428072080144965
4.0,618,22.519993551111263,12.214714347927725,17.733070570067685,18.7614001354267,15.733950228138674,18.42072626808237,26.5144939008322
4.5,613,25.674864489444428,14.692213617784812,18.49401401264276,18.845374869941427,16.77154904618082,19.76549268333728,19.928712224325363
5.0,693,25.940392178666595,15.549078589947738,17.955802850859993,19.32193877645744,19.305590845696745,21.70757452833966,20.222506506288536
5.5,725,25.30074143230734,14.326284405784316,20.260513343741888,19.82746317061477,23.697241937694304,24.772593178911706,21.67311756414663
6.0,789,25.28792604238132,11.97186555127674,20.098507378706227,19.184766492689985,19.92057769268073,21.59037978622693,20.50845829575228
6.5,884,21.410865081141026,18.063617727950604,24.21729449111292,19.742408708399363,23.916913586458296,22.538952472992374,18.99230612296453
7.0,927,19.17152470595546,11.12711833937204,15.784294088102792,15.365774471915351,14.956815284060715,21.795743103448117,23.13310224526804
7.5,977,22.095792178960256,15.2862450704012,18.33877123480346,18.821037712140743,20.14056433483242,18.293085137238183,31.1712851129032
8.0,1059,19.17222136352753,18.0473225950047,20.978478673111624,18.45166780578315,19.82792988064284,20.55946919746456,32.225125940687064
8.5,1052,20.07439317595822,16.345260617358324,20.95969031931068,19.23301612986301,17.548220098794594,17.433266683538616,31.3355302626393
9.0,948,20.20761058259387,14.442713202721446,18.745454761456028,16.314012649124674,16.111608983637506,17.564201562467336,32.26441692779729
9.5,1020,23.482942283470152,15.540244873278343,19.176667935088737,14.496756258565917,17.95124468518367,18.667971014971087,27.08187041654368
10.0,1249,17.83037699157644,11.06052074570819,17.402394438338284,15.051203904285748,14.92589347292394,20.143240728494185,19.918528844824078
10.5,1393,26.583336625609217,14.143365440155778,23.03002967881071,21.076304810723844,20.518444969656,23.815551813328423,19.88649568049819
11.0,1470,29.46697751138085,13.502299975941126,20.897762201912244,20.65920133497762,21.90646097455905,21.16761744764861,20.001338381542634
11.5,1514,24.922534264396088,14.295500556548214,18.60875950453673,17.332343263994236,22.47986587266705,22.959643693410865,20.125932209373648
12.0,1669,22.282359873027065,12.494846411335322,18.922652373740014,16.05763474074092,19.42774972136212,18.827444517580123,19.32613004909572
12.5,2070,23.056697773497294,18.52947762019788,25.811789345898635,20.901660859140875,25.38767474220648,22.953541919659838,19.265706094048245
13.0,2197,22.54351547474626,12.309108278227466,17.087535714408844,16.854139817526928,16.05426021640115,18.36424454329565,20.6522391664912
13.5,2272,19.581830608730456,15.49657166591139,20.723049012337807,19.82504023349916,18.64487521916548,19.31724639853156,31.006864610788192
14.0,2412,19.15489832602948,15.913801803330156,19.887076330025813,20.99457546912757,21.04159081021186,21.79610720045989,34.43351551258002
14.5,2461,25.61824456469406,19.87679191953468,22.42174778823756,21.18683908294661,21.464746935673315,17.774741654573933,31.111442669065134
15.0,2601,22.89073861093893,16.00228994333613,20.324667551963103,16.932579485857566,18.146888151832133,16.980173342831147,31.426012170244345
15.5,2768,21.524144199025343,16.03459655648701,18.08664571619468,17.408338051197823,17.589655274578536,16.94894808278104,32.40059487809648
16.0,2623,24.15000900771615,14.430787936686114,17.26929680805248,15.765816452403865,16.107159293921423,17.456250976705228,28.991410282468213
16.5,2556,26.360132546568156,14.301373096370872,16.738707014541262,15.329155540485614,19.67338812898615,21.470389240974946,21.124623775894488
17.0,2592,28.84808478016628,17.29654055362215,18.88591186726992,18.49390897200523,19.042978777712506,19.79072821683467,19.633636595672005
17.5,3014,25.880976668626392,16.832836303761013,18.47853308801802,17.873037105317575,22.65921716433431,24.006657425686075,21.34642157348759
18.0,3011,19.4336284493929,14.115625198063553,19.385128809030217,18.28965378399304,19.469632549207656,19.896692953119096,20.098026287831267
18.5,2823,26.21419197062071,16.337045330697656,24.07790903090758,22.03937875042847,25.37257814475647,24.480446419187505,20.58813991496647
19.0,3003,24.83190692101196,15.225875855356612,19.813262807519173,18.0931096488258,19.107098980446963,19.22695527231164,20.108273501823817
19.5,3074,21.583039112152512,13.048884229637435,19.601109330517264,19.118364456430918,17.91985740327825,18.167791472201262,30.04314328049129
20.0,2796,18.52938206394109,15.008570272352252,17.839173639557455,18.707452321963007,19.523125912257445,21.025831137643717,31.702130839706463
20.5,2886,17.380074831480727,13.6917803312039,17.339372841380424,14.839347643585937,16.211691229421714,16.461155416922495,36.2622925516344
21.0,2970,27.85202622516363,18.951122930691398,19.83767263811849,21.025564546692284,20.276785171979427,20.79227382237764,29.19153353951256
21.5,2837,24.87458716015301,16.122767887751838,15.29354564226429,15.16348134212334,16.68201478585553,20.600438998047903,27.61741332487069
22.0,3076,23.77251627417795,13.469486781539352,17.861319067707598,15.680462424720991,16.561623812557627,17.456317627785424,30.354306773534557
22.5,3237,23.8823580354418,14.35848456598576,18.32379438778516,18.433998320325408,17.834239564263182,18.507975179009662,21.834275724724456
23.0,3276,14.267363097455831,19.5087221842324,20.572333462109864,17.97220901155311,17.395332280390992,18.611745105740106,22.1145008912271
23.5,3074,14.60990153319247,14.801287650287389,19.68023353411659,18.059625916803878,17.3406982184752,19.135241146912385,26.82166003082559
24.0,2965,9.566277870654774,15.329795832785935,21.94055021458772,23.17218888344164,24.24859937984894,24.17317892636504,36.59216599405177
24.5,2966,14.726621095467392,13.22355205955605,18.243334042122942,18.757828403772415,18.10528013809185,20.0465260857574,27.3277536188523
25.0,2887,17.66111648914787,12.015239664565046,18.75104351345724,15.754483799226731,16.297069688789588,16.876116450098944,26.83597202524139
25.5,2716,14.92805068425859,12.901921572468147,19.81920284758321,16.551466011379272,15.389224264955248,16.017491173679513,30.09531730960805
26.0,2955,19.016440134656328,15.379388296011165,19.44082341764749,13.434658160958158,15.751629240584045,16.081925701686274,24.32156690110731
26.5,3109,15.859488586373551,15.578954803764876,23.156859914985844,18.91556950991449,17.375989990164452,17.047902189835174,30.428536034387825
27.0,2927,18.502143949111133,17.27181579243833,20.708084582486983,23.683385216035106,24.031076665189108,23.20673710674243,35.446734130001936
27.5,2887,18.140807800230373,15.486624559089144,14.773806371892478,16.318160713592754,17.762814894424004,20.79283350918444,27.56425622066398
28.0,2949,18.399917988492504,14.88828871037246,14.20357818893152,16.974454444275576,16.067939045967844,20.220743716302987,26.38903279580128
28.5,3112,12.370710200062543,11.656778914908028,15.816966745890817,14.51940767109917,16.93182774297624,17.00806493485733,34.28877984380635
29.0,3024,19.660359140683287,14.625300206039524,22.982967169759863,24.58356703841467,24.39515160621298,25.372578635372044,33.83571327375397
29.5,3264,16.373293207764334,11.58545070296679,18.992798098230463,20.035583307034656,18.13636160127434,19.745418111457,37.8320541599805
30.0,3577,18.507842935051173,13.475944083520067,18.709002595034534,21.05330947364512,21.48555110636723,19.005299129759315,34.37371149258639
30.5,3469,15.285085953495878,15.037288514955272,17.808377716399182,19.588996574884,25.36942315316749,21.68402818820105,35.2601493094909
31.0,3279,18.70672748215525,11.529044217908217,16.178966102100883,14.259052046025658,14.803252735017718,19.13574604991432,28.501781159152447
31.5,3420,11.712470258286736,10.626164648252512,14.866893896280711,14.595059587184949,14.395986612355989,15.687688051953064,27.501896355593168
32.0,3470,22.519697901497608,13.599015963059276,19.71377578837111,21.979972049003614,19.6141329774373,18.98551902373772,25.326728586993905
32.5,3354,16.43045944642304,13.266609913952887,16.216131378116568,18.703957570832475,15.683458751068516,16.511317238181494,24.37057899244593
33.0,3659,18.760129016130414,7.974429827255906,13.314438604914054,14.941759278291686,13.66413718181056,15.679007236716137,28.47352935128332
33.5,3793,17.5347378824608,14.543029351108554,15.362443978168066,17.566361936574317,18.81713285200765,19.90285338240233,25.235057692265958
34.0,4259,19.86674653423201,19.242284981396743,17.996142775044152,19.33355680220805,23.619260339221974,23.16667281151501,24.89997880426645
34.5,4218,10.795656326560676,11.151454586270434,14.65847214940551,14.124691039607823,13.885542878264172,15.9140930986036,28.38210764422378
35.0,4618,19.922348399157,17.561048444215107,16.58449407611874,14.105346153956589,16.137419121651902,17.843518333103592,25.891286793505056
35.5,4923,15.20451955006252,11.986350621187594,15.63713552260338,14.27457463273218,15.772369602132608,18.100858754266746,28.179029757027724
36.0,4828,17.205390183819045,15.669973086615268,19.40891891039337,21.28476992902531,21.766142544100894,20.77725980140033,34.30551715435531
36.5,4507,16.787963934009543,11.675111255667872,19.693514453854444,18.7673848666645,22.631952446923982,21.793731374127653,29.8109513426654
37.0,5166,18.65523266266753,9.724951156382774,19.800833250957496,18.02197797319313,23.250069806900022,19.36045809476037,24.79073177383964
37.5,5122,12.544681587065682,9.820180317091175,13.895020901025529,14.03660924070435,15.02648216242403,17.381056078338638,31.74348675426232
38.0,5098,17.776851801649585,13.737330331824376,16.541403298496732,18.32512921356992,19.216199835586742,18.172537943018348,29.85014983841174
38.5,5124,17.067648949324397,10.443583087484946,17.63673637343059,13.419575731382972,14.511312278930689,16.166925587068626,32.11618014350096
39.0,5427,18.7197179198538,11.162226912209247,18.08882043150883,20.42847773030288,19.547307288873775,19.834348326244623,34.19156576349617
39.5,5094,16.48716666934687,11.64972496415435,16.427319902364196,19.80133241973411,22.255342694048384,19.360530916793014,34.27592718763977
40.0,4582,17.022569641462997,18.05566522686152,14.925801461556851,17.670399247737908,20.45726739839325,25.25684872330898,25.074234077723474
40.5,5336,11.518425797755048,9.091995183873784,14.268395619510905,13.711420749188262,15.083233837710216,17.469193669735624,31.337959294586163
41.0,5152,17.910100230070768,13.15745643352317,22.749600339086403,26.654317027589283,25.83864222052808,24.723494835669594,33.91721281514048
41.5,4969,16.97922213702929,13.046163042036977,19.248972603728,21.270908810933022,23.49168072038638,21.615693433525283,33.224194246293145
42.0,5071,17.794948476257666,11.789471162724364,19.03927308855049,19.834544743685687,19.865845162141337,17.107494721384978,34.184888095047725
42.5,5293,16.264723443975065,15.17468885697079,20.083591681900465,20.97940246121969,24.544701736620773,22.12651441910604,35.21233505713005
43.0,4950,17.164797067498608,16.067647162501547,20.92736256068888,20.58914078025688,27.686491111687666,21.121087008736204,35.087217852502725
43.5,4958,13.141999086150744,15.968815596061065,21.419963670054468,15.259861052421666,17.09978756816894,16.563231833356394,31.793611965124278
44.0,5113,18.279675739599647,12.63940908375829,19.225454607754852,19.86960569121692,18.87945136511765,16.86551269242202,26.67379072782281
