Filename,Tempo (BPM),Beat Time (s)
01_uptown_funk.wav,[114.84375],0.8707482993197279
01_uptown_funk.wav,[114.84375],1.3931972789115645
01_uptown_funk.wav,[114.84375],1.9156462585034013
01_uptown_funk.wav,[114.84375],2.449705215419501
01_uptown_funk.wav,[114.84375],2.9605442176870747
01_uptown_funk.wav,[114.84375],3.5062131519274375
01_uptown_funk.wav,[114.84375],4.005442176870749
01_uptown_funk.wav,[114.84375],4.551111111111111
01_uptown_funk.wav,[114.84375],5.050340136054421
01_uptown_funk.wav,[114.84375],5.572789115646258
01_uptown_funk.wav,[114.84375],6.0836281179138325
01_uptown_funk.wav,[114.84375],6.617687074829932
01_uptown_funk.wav,[114.84375],7.1401360544217685
01_uptown_funk.wav,[114.84375],7.6741950113378685
01_uptown_funk.wav,[114.84375],8.185034013605442
01_uptown_funk.wav,[114.84375],8.719092970521542
01_uptown_funk.wav,[114.84375],9.218321995464853
01_uptown_funk.wav,[114.84375],9.787210884353742
01_uptown_funk.wav,[114.84375],10.263219954648527
01_uptown_funk.wav,[114.84375],10.797278911564625
01_uptown_funk.wav,[114.84375],11.3081179138322
01_uptown_funk.wav,[114.84375],11.842176870748299
01_uptown_funk.wav,[114.84375],12.364625850340136
01_uptown_funk.wav,[114.84375],12.898684807256236
01_uptown_funk.wav,[114.84375],13.397913832199546
01_uptown_funk.wav,[114.84375],13.955192743764172
01_uptown_funk.wav,[114.84375],14.44281179138322
01_uptown_funk.wav,[114.84375],14.97687074829932
01_uptown_funk.wav,[114.84375],15.487709750566893
01_uptown_funk.wav,[114.84375],16.033378684807257
01_uptown_funk.wav,[114.84375],16.532607709750568
01_uptown_funk.wav,[114.84375],17.04344671201814
01_uptown_funk.wav,[114.84375],17.565895691609978
01_uptown_funk.wav,[114.84375],18.088344671201813
01_uptown_funk.wav,[114.84375],18.622403628117915
01_uptown_funk.wav,[114.84375],19.13324263038549
01_uptown_funk.wav,[114.84375],19.655691609977325
01_uptown_funk.wav,[114.84375],20.166530612244898
01_uptown_funk.wav,[114.84375],20.700589569160996
01_uptown_funk.wav,[114.84375],21.223038548752836
01_uptown_funk.wav,[114.84375],21.73387755102041
01_uptown_funk.wav,[114.84375],22.256326530612245
01_uptown_funk.wav,[114.84375],22.790385487528344
01_uptown_funk.wav,[114.84375],23.301224489795917
01_uptown_funk.wav,[114.84375],23.823673469387757
01_uptown_funk.wav,[114.84375],24.346122448979592
01_uptown_funk.wav,[114.84375],24.86857142857143
01_uptown_funk.wav,[114.84375],25.391020408163264
01_uptown_funk.wav,[114.84375],25.913469387755104
01_uptown_funk.wav,[114.84375],26.424308390022677
01_uptown_funk.wav,[114.84375],26.969977324263038
01_uptown_funk.wav,[114.84375],27.48081632653061
01_uptown_funk.wav,[114.84375],28.003265306122447
01_uptown_funk.wav,[114.84375],28.514104308390024
01_uptown_funk.wav,[114.84375],29.048163265306123
01_uptown_funk.wav,[114.84375],29.57061224489796
01_uptown_funk.wav,[114.84375],30.093061224489794
01_uptown_funk.wav,[114.84375],30.603900226757368
01_uptown_funk.wav,[114.84375],31.13795918367347
01_uptown_funk.wav,[114.84375],31.62557823129252
01_uptown_funk.wav,[114.84375],32.17124716553288
01_uptown_funk.wav,[114.84375],32.682086167800456
01_uptown_funk.wav,[114.84375],33.216145124716554
