Band_0,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6
17.746189040437237,11.512176661669919,13.878889709125598,17.87381226081016,16.372178760844864,22.38986865209713,22.55789170487627
23.49031938816427,14.711389906762838,18.474655234605923,21.23450197372118,21.755808686789237,27.048068391813615,18.959597038322258
20.278849542282412,17.605146408042632,19.638570613903024,23.91394858763387,21.27088704360998,25.532193928344345,22.348562738978018
24.64267986252872,12.540062431267842,19.58876518700471,20.95330381176355,21.026607513488486,23.432703685616524,21.673366798548646
22.746377331067215,14.17682666552255,20.683212290933525,20.78740419157703,21.841765422274264,23.429185936359165,26.36636568421474
29.272187977912708,16.044663278542693,21.797839612037087,22.234963115756628,23.024890613877172,22.588295682116016,21.041534243022426
29.168888049237133,13.960545685097896,22.042871134068378,24.695409151546677,24.56348560763007,21.200544671679584,22.585841179755825
29.69962358132459,10.906575702935095,21.62493391052114,24.789603255107913,24.93914973424887,21.025735449959416,22.76101734858982
26.911285971684137,12.21993063042285,19.608588471917916,22.54669268178037,22.71107722366245,21.288199851516787,21.962350136306206
23.259647274989135,13.252420573594632,19.066552007544946,20.53831238717869,20.70436925078557,25.700041354568384,19.13416622232327
21.915388395183367,14.573755658929333,19.90306156790563,21.682063805272705,20.98993829452312,25.02116402704814,20.911385121814
23.313374551841527,15.443249611158887,21.863455228155715,22.605807224392578,22.47521966053269,24.59702612539179,25.06875458551156
22.25534520253335,14.78077358632792,20.592799485593087,23.96789414430549,23.753476729564607,25.69544931269912,23.89542631670499
27.032544446793338,15.837447735993274,22.2668459172272,22.906238896704835,25.30742888577064,21.939505922401978,22.33194479083419
29.00379832609776,14.739841134614993,23.115339586675702,24.086486221180596,23.629754029415697,20.562361308313417,21.469120224079344
28.835132249737622,14.813822120464074,20.265247963180947,20.820640480764094,21.17135555152348,22.345441527210447,22.77536988808067
26.593327641413822,16.379662113987017,16.673466184124862,18.682973329128615,19.23126159119245,20.053843024983404,23.666666198615403
24.89551578362357,15.393264982252145,18.154576692672638,19.565175863094904,19.315868904976938,21.490250812961257,21.463913692169417
22.00911351502795,13.930276349380733,18.14712467954706,20.12568040677057,20.386467811978783,22.508031054631765,20.904998736954393
23.245163585336094,18.41652796693847,22.479045822268635,22.68442218387955,22.094536032699093,25.57639991329045,26.26912983334399
21.415707381743918,14.095360807523468,21.705196108265184,23.508422918614013,24.707694697909496,25.100844548770088,25.322303549703044
27.081029721809944,15.107773470707816,21.350409034159966,22.65841902008729,22.35469205687027,21.864232687452144,20.61807870627394
26.333616397159606,13.759536310338296,21.748018241476576,23.899782060404128,24.351629061143825,27.23500907893533,26.125308680658645
28.306925080735255,11.729514555729715,19.69362883198028,23.22602202828301,21.363389691987603,23.372642935992612,24.376053644322774
25.784126630238895,14.481478875235942,20.25697814326232,21.453575102848735,22.23083227172164,23.03524197678978,24.216299983587675
24.79419379767663,11.942300426116377,17.80020119104775,20.066973002125383,20.549716793677753,21.84188600537479,20.984836358211318
24.26902199830343,11.871864649809215,18.388384982113212,19.78458681825162,20.5892039040795,20.19800594742585,18.820992561697942
26.359309169216427,15.542684999817366,22.692087017707284,24.396706274779813,26.785244885909897,19.09588223323236,21.34121569681848
23.64797605652789,17.739639267314967,25.60282228700641,25.10231096015295,26.28490493401507,20.311280021818924,24.963920627157364
25.800662404187367,16.104827088480253,21.439231319096884,23.87925708385355,24.317000666240272,22.687236723294777,25.854595805339628
26.347668093442877,18.05688221435842,26.6549471588876,25.273077856407518,25.540650826572453,23.843677922512434,27.304926828115182
27.690149549361376,9.078763282107387,19.89327098174135,23.189743809823423,22.889755290282984,19.46473831308317,28.373004804689863
27.400200264406013,16.864120320934997,20.58437739119075,19.41642879557576,21.296905973099317,19.325923587004255,36.218536673665746
27.98236817002139,12.5776070859082,16.146432539434677,18.96004968953184,15.181715183369345,16.416513755401198,39.64146608055639
25.050412233330885,15.101548834625168,16.7629373680467,19.18186576966815,16.327642198369986,16.034526467163076,36.40353327393259
29.595285524180923,12.612809852861757,18.529739122257414,19.556325950304938,19.67016101632906,16.621728119055387,37.988699877451374
27.61526193036745,14.547041308302775,14.355121897471863,16.227916312796243,16.53276287370883,16.793738457995076,33.540141248665236
27.477947583026605,12.098663433608088,19.507165838997018,18.327435401033366,16.57176230622565,16.3673098016857,32.49536121165356
26.834383976725075,13.324366158451697,17.59488284083754,17.26467042756465,17.398224658452406,17.953007358418226,36.772574837886786
27.09272908293898,15.689780016710204,19.12439206146019,18.19888290229058,18.937476482999276,18.998654869659585,35.08546333520426
25.96498459548723,17.135061791158464,17.56935380132703,19.48668464324163,20.119965460893283,19.68681796293194,35.49632302682507
25.553259566860085,12.371107663231989,15.946182964340357,17.778291168676454,16.39142703024449,18.44352641977421,33.39521793472875
25.495492655578943,14.616318580059664,16.833038715058997,17.513469751210156,16.71331399260562,17.621726301503408,37.285637915738484
26.100907605621256,12.60327711102071,18.182129564778975,18.369196776912265,18.86376663733389,18.225569580491584,36.88206252875037
25.26893176003607,15.033216202923837,17.60791659587029,19.30305144179383,17.78211727276584,18.018558161324236,31.734399894650906
27.194392014453765,12.719307573870104,17.286278891285946,18.22288752210686,16.38781099782687,16.35927958472731,31.457636384653014
27.560148794401705,12.293125007126612,18.984980754378913,18.14060149894395,18.066197252387237,18.729596815926485,36.44065436199917
28.60039015126277,13.294364973959715,16.612444555583014,18.851645985402403,16.92319284008747,16.593337493734527,32.0919175147966
27.364616614937187,16.216419450424,17.79817682283146,19.191478170551882,19.787883093073585,18.920910604850423,37.87912688471224
28.055874721345194,13.579614034553646,18.423539030621033,20.09559869276254,17.358665389100036,17.96721432690967,36.337743442152956
24.986303910919418,14.663830651831267,18.20976009010891,18.651817439184374,19.53473565662461,19.8948626936743,36.25034403098676
27.276611000764305,13.054602854021113,17.345975035202247,19.16173915964171,18.47912601141007,17.639223493405463,34.166039244612676
25.7478592365318,14.5515892763252,17.534583892699168,20.220652404764856,19.174075770423002,20.17027376256763,32.672657438592275
26.521824779691485,13.592780772531112,18.92168284122944,17.02115908821809,19.02999304274993,18.754683324219215,33.5794840526662
26.56138373848303,14.557633736109961,17.53725152140574,18.300500101738802,19.106620464223496,19.160382984373317,35.30176717353302
28.901120140799634,11.238354892058673,18.04301816680154,21.0283091959264,17.926263554936885,20.418374449701385,33.28934376443778
26.223976875296472,12.89949227431798,16.891376315719665,19.142998140905608,17.191456083307266,19.338780810745217,33.78028484553751
23.86691979103962,18.510365926995874,18.925356234139077,18.66540692325911,19.775118083884653,19.434468465136177,37.544774576855296
24.59099387823061,16.50625906308916,17.932307172644695,17.164484675528772,18.21585406831995,21.298398524533617,34.002471319846684
22.578987417606854,13.2271036082914,18.36832401803802,18.20039963237563,19.54777735984409,19.067318801427596,33.97318105184345
29.53787214942946,13.629699949399336,19.17422955400819,18.30102623274174,19.125295831729705,18.359970569976337,34.11895948229861
28.831868735850204,15.235134420138545,17.694462490407634,18.366655506991577,18.589717641066194,20.3683249927468,32.90530660730522
26.43886363901706,13.03163032527708,19.39463294766837,18.863139850815127,18.391854505735868,19.79235900580999,35.281104666417725
27.388483595172826,11.876258531367899,18.137900292924403,19.26413036314636,18.448129976923276,21.047619069178552,32.73590067639629
27.609109152145496,12.571508345716936,17.19841743105097,17.397857003330312,19.396724930815775,19.496902995918084,35.57901238603105
26.387634816024242,12.410628026413542,16.598639792719645,17.962574207140598,18.107144789420012,17.756987466777137,38.67296110695483
23.963255250042234,17.75902682190713,15.582182503294081,18.26571641101701,15.912314716928211,15.609955528360988,38.0886736028893
24.86782125928915,17.90079558619027,16.092633047565155,18.704040810295638,18.101905017900087,16.22676221455847,34.91637406763198
29.25853359739045,10.176090696123943,16.962497380067173,17.944939379464344,19.43277135476001,18.814965096324027,35.774686705759294
28.389463042036,10.162286647041016,19.921138496144632,19.8410323638495,17.685724668419027,15.049955929076349,32.738755977904034
27.712614138086998,11.759257930511584,18.168461029554113,19.76757274184868,17.275674090161534,16.7375723494614,36.86112379062875
29.088661874923194,14.398737974125448,15.288040660445663,17.48588792843236,17.590704965417622,16.520911839709,33.91809969046472
27.884014657615452,10.10344160534968,15.3722112922253,16.64418212397483,16.87823077642505,16.857342434556447,34.90232705630756
26.537351551547015,15.492956895483843,20.13082498212051,20.436920518870778,19.194323176328748,19.84162894795254,33.673750741510155
24.105224902177017,16.205402981536427,15.464350411580527,20.28752119579749,16.070062120927943,17.53440792089128,36.43807659616525
25.49538433516472,16.35041936612745,18.28826463760057,19.954040808593607,17.8923678837109,19.049263016437163,34.067068287189024
29.7904785350309,9.581815633584503,16.887379814737532,17.376526752115588,17.119699519471794,16.320437908470854,33.347404359428516
27.16922492377379,9.900949086367222,16.83978280419052,17.905886155848805,18.166325443379804,16.11680364817015,31.066526963428256
22.418814962403122,9.120537196727568,16.7075941455679,18.274602057937518,14.952808394603837,14.711697403407102,30.84945249936831
20.77093067593493,14.939586580965358,16.75891425904982,18.52631388045718,18.552849870014168,17.707534384630687,31.90348211171446
22.312386110468378,14.346964734682977,15.03027535273212,17.846449240042773,17.760312237840104,18.765417804478453,33.30605142534286
19.114504686916753,14.750354313430455,20.72884029308726,19.329387503378875,17.29513306196523,17.616737541811613,33.47175533765867
19.142663266936488,13.289373982752629,17.644202939649063,19.078256301078355,15.552101871900327,19.915705060301605,32.20940617955703
17.03554295415978,13.766771041575941,17.14164925405614,17.898103085799626,19.015474639467417,18.021621928953056,35.80974012804894
18.89911886958398,15.04546404430344,20.667809065318565,18.440819741065592,19.898891718339556,16.696652818966896,35.492845576156775
18.735253665904178,13.187224747534676,16.283371990177343,17.12456222762336,16.19846619713129,16.174881716019602,32.92414646064113
19.85104844789923,12.591273560506592,14.692210583129492,17.852403341531577,16.336016390869204,17.25947514980955,34.44346528697068
16.643585568120717,11.728018443146139,15.539366440368479,13.86855411353739,15.888003157602265,16.624227495296914,34.529120113853395
16.06614563249128,17.122160860297036,21.366784250270623,17.942808465020914,20.064185972577857,20.708483957184114,34.35296463900554
20.201364960840024,19.220488801059563,22.219720264925648,18.578687365318427,22.01243062737165,21.81042058166633,35.00983166322794
18.787426766337582,14.174232533505075,13.572762857356219,17.105394355000513,16.46108265005006,19.64244357919173,31.438912893631404
16.80022645784551,15.778583543913967,17.15031387210528,16.28727696691162,19.797858831790304,18.4898921792403,36.05676404040594
18.195279441367735,18.136095478486173,22.4840601944678,20.082637408680366,18.243102078147118,17.813708459795535,35.59440177345318
18.5557074558701,14.279464903430581,18.8042793336226,16.819255742715118,17.6376793958886,15.838775688576426,34.731817801863635
16.96851401817381,12.299455976941816,17.060205393160455,17.539189266941797,20.518329978461214,18.538554772955663,32.777810700465174
17.703719012910355,13.662172239655904,16.533692954230908,17.280811463327552,20.637634894576852,18.915893730574446,32.459540610809476
17.678448255787206,15.70155318481763,16.77839903880509,17.789291328217086,21.742480126935675,19.9802064143193,33.61147576085084
18.406558162313438,13.359287593432505,15.438545189965957,16.056283372216416,16.310360647966068,18.83786024201538,31.697553163777833
18.362585773957733,13.575905789845923,17.62832863846002,17.408796086146065,16.385042841325877,19.668838244261917,31.19161595710927
19.387506847553343,13.887099543531237,18.91039985203813,18.734528357625823,17.55280735288027,17.160458591144586,32.77989722432544
17.96582963512161,14.860509929796136,17.43754946702233,15.754033611767568,16.933523384214045,16.21014836951572,32.364316830503185
18.379009413473575,16.225013794599025,19.058570226814375,20.844014794167336,17.660794933901233,16.540341510791375,34.42692445943874
18.225419800611377,14.187361951991996,18.267049509093223,21.104599742872225,17.64884537387517,21.440123225540223,32.97794779523113
17.28606246155247,11.527543229104301,15.300522281139651,15.419378938247801,14.437047382486451,16.86707438465967,34.09828611701484
16.93470683130611,14.4098337286428,18.981121480162596,17.607501511639455,17.92363925496704,18.11243192656946,33.188626164419546
19.018605949255594,18.47678087866246,19.43979880282781,15.162162100778813,19.45243768168408,20.488182693621987,35.101428805821
17.587992211990276,15.194295130254378,16.996965353670138,18.569149240787137,16.336435104110123,19.8812894270843,31.598242854008053
18.391739905431447,16.266659130381264,16.376575173303266,16.826107421647038,18.732031085906417,17.264654529441543,34.99795402717152
18.490403798817233,15.736101398578437,20.94801797884577,19.373072772845866,18.75969918217538,17.81277736778369,35.40418348122846
18.304158818439422,18.100334945376172,21.63919738276027,18.493552385561806,18.900876351414286,17.09131003655672,34.96477176159956
17.564808871170317,10.586845115555297,16.718116915063835,16.497044650685538,18.44474566604454,16.560797243808416,33.2034806264319
18.29755271696657,13.300891583085665,15.375354005648822,16.428801842740402,17.99637595338061,16.080507547944144,33.83974507294053
17.22759719764607,14.679493730945296,14.5936499177499,15.959509248426992,19.50661665120308,19.222762432203226,34.14861008141635
18.86627327711208,17.13306962503557,20.89784520345204,17.828077051693334,19.38525004341611,18.20367546144544,37.47389081442332
17.749938224934624,11.020698766156427,15.053321139890022,15.29762890142346,16.312405250400435,16.25025775015132,35.93363849332821
20.283077332945727,12.769641177672366,14.999545282734468,17.1601984417094,16.562932832685135,16.76989396989739,35.780697672450216
16.11729691327071,12.053884215980927,15.294805598694277,16.038810317794972,15.8656816423005,16.883998695421734,33.66262399551616
19.389279684409487,16.36556530404942,19.36019586441625,16.784619748431584,16.32826832200315,18.927733829357347,35.18769850107418
16.483334598954283,9.304654440218199,13.61518644942587,15.319753867937157,14.64798325465775,15.26286738118716,31.063513525435493
17.960781048940827,11.013776674744632,14.38584010473386,15.493954029762303,16.146934348953028,15.835174953391814,37.06972918880197
17.104051869881694,13.646356407681067,15.676994288991235,17.524402229306375,15.602906076481146,16.546992635922827,34.80878508113262
19.989413558126817,16.472738296097216,18.8854540941116,18.57939876515575,15.662508804731495,17.540650108011686,37.84254405766693
19.785238395835588,14.399004708234996,15.782804759890166,18.784223971731695,16.96423228845687,17.05876030852974,33.52572755869042
18.51697202884189,13.472007757296902,15.629743317458843,17.34078044352782,16.703088648260472,17.444583719336602,34.28817998935008
17.634272235952654,11.809232846742349,14.514290754509375,15.915032076387888,18.03643725734893,17.221639733293557,30.908217575572724
19.154243887429004,15.98676840208518,18.76042491331213,19.20931088877088,18.384372390415496,19.065820610173184,34.253333073668344
17.282752561106363,10.614238861333048,12.570759337263228,15.720674127099338,15.790365294994444,16.32162382445616,31.599145542465752
19.379844328518324,11.498745123070954,15.344865672139578,16.3775140065535,17.930540962733513,18.086774225441147,33.94525743206112
16.500879704587092,10.335152989827655,13.380665911734695,14.606889991984714,16.27284102327126,17.639988914385526,33.353113437786426
16.801145307639374,11.350930356276258,14.546752238894841,17.54831682396224,17.530250319273723,17.473301196447895,35.14259696139815
18.871246151132862,12.954653586951379,17.3538125087705,16.250784053599933,16.249795124900402,16.041558971887756,34.37755270523428
17.678438495996673,10.68292868357283,17.62248308321702,15.934866800188901,19.38452306424989,16.30684007978739,34.046218696979395
16.119699890695607,12.67180908117017,17.11684721865008,17.506967199193888,17.82018385016618,18.132240575349943,33.494518015272654
18.363643283416792,15.747588315451658,14.841664687176019,16.025302892357804,16.219185294834425,16.91770279481095,33.090396816279146
18.108151928138618,14.151722593489582,17.11981967170908,16.60243580528126,18.746990022586544,17.541681531727583,33.42584188619788
17.272997448438925,10.45131267940653,13.401862358885262,15.80319323483985,16.78375504826139,16.95158560809607,33.16602826738192
17.24966402127005,12.401172159418952,15.106880047476716,17.118215400901143,18.58991975915336,16.686511555385618,32.738166647588024
18.244649384831067,12.797405400075089,15.92807677038806,17.665438029584724,16.823742031778522,16.92259466352209,34.95881253484093
17.43261632723128,18.269786343273672,19.77678333747844,17.716926769989268,21.005721113921155,18.902398299511294,36.00463362944084
20.006689984903595,13.914502436420877,15.971007172049699,18.040625810171797,18.12203023974081,17.345549495790348,31.435617248203187
17.419344955824343,12.94355595117065,15.628823625430696,16.773631449361105,17.51339213485885,18.635849138275656,32.99853811577686
19.690572047215355,16.25281091184775,16.461667950295986,16.37875858128006,17.850666561213767,18.683165842676473,33.699638222785396
17.81742633405371,12.19392384258736,16.48795142592256,17.646836644308262,18.22275686764377,19.765918058460883,33.58025537317323
18.302384217205294,10.123716344945182,14.400570743311835,16.28340099245837,17.667121949308324,17.023906104607907,33.78109155698692
16.824042734025554,13.048898547668212,17.57995506492926,15.825108631281129,18.0666058935317,19.859391307394812,32.07622536777034
17.52849204110757,13.148650410848127,16.676229589525484,17.013657621239904,19.30108588371344,20.584500335978543,33.4288371342865
21.29377547099169,11.246396081376684,18.9932393049535,17.360372680344973,18.850793428770913,17.84916147855021,37.64413210143112
22.912208163998038,11.90713429545455,14.441807244556365,20.285355784279144,14.810410069267885,16.400240998802875,37.502648571348466
23.74386588146995,16.165415480866326,20.30037429415804,19.780658611924185,17.709788858184,16.961059555423706,35.61223506703665
26.126046382320204,13.446924152056475,17.791255297506346,19.063936325005933,19.192941992000893,18.86586013239464,35.40163629486953
30.13441029493617,8.176155891453446,18.551272509384642,19.16164614090619,17.833157324810845,17.504188472801296,34.24147687183973
27.780138174413185,11.623885718843233,20.20868984974202,19.700684968854116,17.125064932790092,17.00296836453844,33.357075275129795
27.83423313641961,12.994369838388506,16.989947427448218,19.219887408147198,18.742295709958526,16.619740662492273,33.41442679195636
29.047215814952814,13.231063112400284,15.724316848256871,17.16433650772598,17.003036594504337,15.693842859799561,31.611139429865315
27.619922356012292,13.630357044059386,18.036624499082837,18.882760408797065,19.75630933123601,16.028252033765376,30.633206357986413
24.80707939982749,16.7125645866666,18.801501904918055,21.277209304928963,17.737608740289897,16.43218890765926,30.71299201615886
23.569559582073715,16.108740968364913,20.623515066119637,19.137819931708126,17.872686861520524,17.49125959320906,33.85868516213533
